t4 p4 v4 u4 t1 p1 v1 u1 t2 p2 v2 u2 t3 p3 v3 u3 tr pr vr 
0.0000000000 0.0000000000 0.0000000000 132.6114655610 0.0000000000 0.0000000000 0.0000000000 -0.0698131701 0.0000000000 0.0000000000 0.0000000000 33.1005065127 0.0000000000 0.0000000000 0.0000000000 84.5515711284 0.0000000000 0.0000000000 0.0000000000 
0.3602705417 4.1716029415 17.3446905959 109.1858591974 0.0468026930 0.6723881926 16.2523251363 160.9664780392 0.0475721767 0.5676063947 13.6141158200 162.3580445108 0.0565246850 0.5007097265 9.8576231044 166.5049699278 0.0502512563 0.0661092871 2.6311496261 
0.3802360304 4.5317321137 18.8198862675 110.8561294238 0.0973393167 1.5813110776 19.4180828284 167.4072081920 0.0984677637 1.3444636748 16.7519783683 171.3353502766 0.1186814413 1.1547897748 11.0498390822 178.8617623599 0.1005025126 0.2644371484 5.2622992522 
0.3999930359 4.9103569043 19.7065788735 105.9750506567 0.1473892485 2.5878993758 20.4444902787 149.0133140171 0.1488022857 2.2370406954 18.4002908311 161.2272220331 0.1751778581 1.8084173372 12.1909259371 178.6656869123 0.1507537688 0.5949835838 7.8934488784 
0.6555502116 12.2530596535 35.6086550693 100.5924144539 0.1971205420 3.6014079170 20.3285233264 116.7078391552 0.1986428813 3.1659636974 18.7382802633 133.4156281427 0.2258930021 2.4599462984 13.5000647317 164.6306057459 0.2010050251 1.0577485934 10.5245985045 
1.0091937003 28.3147735153 51.6709170462 70.4867908017 0.2470712311 4.6349749360 21.4221819742 97.6129956848 0.2484525016 4.1082075606 19.2797976348 106.3920747923 0.2750391681 3.1503243074 14.5313480057 141.3002124297 0.2512562814 1.6527321772 13.1557481306 
1.1342031994 34.7562949025 49.9692283530 68.8317888755 0.2977354510 5.8060736245 25.3289875182 110.8119266286 0.2986758241 5.1262933226 21.6856661078 100.5096744866 0.3246167912 3.8960327841 15.6289637958 117.1886211783 0.3015075377 2.3799343352 15.7868977567 
1.1591383761 35.9958854248 50.3379702260 78.5372952672 0.3486346799 7.2415780158 30.9014368112 144.1174110060 0.3494354586 6.3471119744 26.7713146123 126.0606897078 0.3745952428 4.7245030629 17.7844042370 103.6033891271 0.3517587940 3.2393550673 18.4180473829 
1.1731902493 36.6951205290 49.3801943663 -112.3830231722 0.3987834987 8.8481409947 32.1827892033 128.2245946158 0.4000849761 7.8390005272 31.4790839292 147.7931169946 0.4248130175 5.7106715216 21.8602676642 113.3626689627 0.4020100503 4.2309943737 21.0491970090 
1.2572891481 40.9940719605 49.9504319119 88.6359945395 0.4483876072 10.4121677393 31.1793709078 84.9802658477 0.4497817386 9.4108281152 31.1929605904 112.0613006724 0.4751910892 6.9570836936 27.6977583550 143.2622302303 0.4522613065 5.3548522542 23.6803466351 
1.2699308396 41.6274675301 49.9615365496 89.4454903201 0.4987242637 12.0482965211 34.8649924080 95.4243326000 0.4995658252 10.9485124554 31.2555946545 80.9867642357 0.5241833366 8.4193837741 31.2338569896 140.7631516092 0.5025125628 6.6109287088 26.3114962612 
1.2861612434 42.4445394436 50.2840588681 93.0008443805 0.5497330111 13.9968109740 40.7687507300 132.3466790478 0.5507768612 12.6637197543 36.4668074397 113.4737017564 0.5722219162 9.9129215309 30.8612184546 96.7583239198 0.5527638191 7.9992237377 28.9426458873 
1.2991908889 43.1001213418 50.1250595258 91.0073915194 0.5993704654 16.0071340777 39.4843256418 86.1552846064 0.6025535714 14.6697875934 39.5574786393 126.8570094424 0.6169415698 11.3387046915 33.4474291588 80.5802177689 0.6030150754 9.5197373407 31.5737955135 
1.3163775624 43.9630963847 50.0069621764 90.8606091228 0.6494644935 17.9954651993 41.4107690139 75.9951335358 0.6524022639 16.5958224298 38.1152736566 74.1145435764 0.6619777744 12.9358821214 37.7436410966 119.8847093512 0.6532663317 11.1724695180 34.2049451396 
1.3832650756 47.3640992340 50.7291029622 96.5803710334 0.7006167773 20.3050069195 48.0246819551 120.7901665950 0.7025579309 18.6055150217 43.3677098090 91.5808729653 0.7091899214 14.8787189266 43.3799708676 115.1795710186 0.7035175879 12.9574202693 36.8360947657 
1.3957486281 47.9955910174 51.0312125930 102.8442667005 0.7500873865 22.6406412963 45.8832847414 64.3153517283 0.7530400553 20.9653340066 48.1057565530 111.3180841122 0.7570894076 16.9303445148 41.4165212681 64.4146566809 0.7537688442 14.8745895949 39.4672443918 
1.4054067321 48.4819717515 50.5536576366 96.5079098037 0.8006539231 25.0323269634 50.6607988998 87.0093788089 0.8023655174 23.2698989018 46.0978299823 56.4579869416 0.8140277483 19.3767325969 46.9826062991 111.5433910851 0.8040201005 16.9239774947 42.0983940180 
1.4167870341 49.0571255312 51.4273103280 104.7769477769 0.8512096409 27.7295293346 53.3799482550 86.8441428154 0.8532945632 25.7670495722 53.0158013753 105.2407604326 0.8679654743 21.9814290860 46.8459185307 82.0996304363 0.8542713568 19.1055839686 44.7295436441 
1.4292933261 49.6912694684 50.1699674403 -105.9248493432 0.9007566488 30.3189367216 53.2153383459 52.4457968283 0.9029176756 28.4204735737 51.6678433112 66.5956848730 0.9217585873 24.4580810278 47.8792147051 71.7237258820 0.9045226131 21.4194090167 47.3606932702 
1.4993825040 53.2880276561 50.5679661993 90.7671013713 0.9519482098 33.2584900012 59.7700762094 96.2231082509 0.9518377118 30.9123223963 52.5275868328 71.0815418536 0.9731704833 27.1109606854 53.9518795561 104.1855988319 0.9547738693 23.8654526389 49.9918428963 
1.5132786510 53.9951303953 50.4183494308 -103.6510621363 1.0011954100 36.1126122630 57.3975199944 37.3065788852 1.0033028952 33.8206662291 58.0913022534 83.9744685267 1.0249931558 29.7728689087 49.5383586041 50.2024710683 1.0050251256 26.4430537425 52.3598775598 
1.5298113806 54.8393018557 50.6357705688 87.0560989277 1.0524635205 39.2040511457 62.2891852177 97.0896524447 1.0530673925 36.6031458947 55.6460483907 48.7675021761 1.0760631952 32.4323415771 53.9909581169 110.5482950442 1.0552763819 29.0742033686 52.3598775598 
1.5454877663 55.6399981275 51.1279442261 91.4961462692 1.1018778080 42.1337532118 56.8667587774 36.1105174698 1.1041158542 39.5920353720 59.4623963194 96.0599611775 1.1274145896 35.1378937113 50.0794951896 58.2475953678 1.1055276382 31.7053529948 52.3598775598 
1.6234142225 59.6957976493 50.6235937780 75.0817426259 1.1530988232 45.1784480020 62.1117297749 99.7203038110 1.1535768624 42.3769700694 54.4083324236 42.3525227072 1.1769189345 37.5988345193 53.1766774465 83.0570653979 1.1557788945 34.3365026209 52.3598775598 
1.6409055025 60.5879883510 51.3359163524 80.9566521505 1.2024003272 48.1113311863 56.6585683902 38.4431707844 1.2053993384 45.2960855806 57.2807333355 106.1505662291 1.2249143507 40.1402111152 51.5604112836 95.8745723569 1.2060301508 36.9676522470 52.3598775598 
1.6534081309 61.2253449596 50.6967044890 71.4921634897 1.2534884476 51.1008021975 61.5050987190 97.0827131899 1.2551045081 47.9869481307 51.6745129105 49.2408403847 1.2780182292 42.7298982751 47.2636487371 58.4739923148 1.2562814070 39.5988018731 52.3598775598 
1.6753113392 62.3443043137 51.7875518466 72.3639697443 1.3030091649 54.0596437640 56.7019552408 43.4856584165 1.3062712589 50.7639020531 58.3532657531 95.2171628787 1.3288951048 45.2583423202 51.5547960180 114.8456987108 1.3065326633 42.2299514993 52.3598775598 
1.8680517164 72.6357574775 52.4074034045 58.9768531720 1.3538371012 56.9881034157 60.6040338843 90.7906768069 1.3563987185 53.6760362062 55.5086991177 55.5968877878 1.3780179926 47.7171105664 47.2165661379 63.7765287088 1.3567839196 44.8611011254 52.3598775598 
2.2199944918 91.5706591890 50.4919164377 59.9308162151 1.4037358040 59.9799248564 57.0455879076 51.8030168781 1.4070656514 56.4728893613 57.4912381029 79.0781447078 1.4300127134 50.1944990863 50.2756682274 88.6224624285 1.4070351759 47.4922507515 52.3598775598 
2.2527614265 93.2020493849 49.5290561049 60.7815699979 1.4541365268 62.8450048583 59.3026840249 79.6431670880 1.4574379974 59.4256321088 56.7721260027 70.6114884814 1.4850553618 53.0371193147 51.0400618293 85.7818525795 1.4572864322 50.1234003776 52.3598775598 
2.3544985661 98.4880485175 49.8885382218 70.6935199172 1.5044420543 65.8632378192 57.7068612491 63.5868460476 1.5072366933 62.1686214038 56.1582055714 60.8667829507 1.5435937506 55.8835236122 49.1970166438 70.4706377052 1.5075376884 52.7545500037 52.3598775598 
2.3670293163 99.1135057837 49.6769209666 71.4253385082 1.5545926390 68.6885495567 57.7800547613 65.7703254310 1.5582826715 65.1585870740 58.2371416077 86.3099881497 1.5936181393 58.4802288890 52.7739667950 106.2639186418 1.5577889447 55.3856996299 52.3598775598 
2.3824584953 99.8852013656 50.0092269200 78.4314814181 1.6052195377 71.7137073279 58.5323264540 77.0424255443 1.6077010358 67.9066048384 55.0394939468 47.7189277540 1.6424725966 60.9447723042 48.7590955802 51.1837880646 1.6080402010 58.0168492560 52.3598775598 
2.4627562715 104.0036523012 50.5604775214 95.1636718176 1.6549464193 74.5070091488 56.3562374097 52.9187759601 1.6590863808 70.8898704990 59.3752612223 98.1831570625 1.6886220213 63.3325637285 54.2680914291 100.7781808842 1.6582914573 60.6479988821 52.3598775598 
2.4755078874 104.6458501791 51.4138815222 105.3044786513 1.7059321575 77.5230172959 59.3402600425 90.0417142498 1.7084643647 73.6761302324 54.4289619531 41.0490292952 1.7322488959 65.7076644295 52.7041787544 78.9256795596 1.7085427136 63.2791485082 52.3598775598 
