n	stdlobatto	gauss	radau	lobatto
1	0	0	0	0
2	0	0	0	0
3	0.777617088158211	0.0360323314143971	0.408602949350656	0.429959629250809
4	0.126714122638673	0.00797747368451796	0.199543519709263	0.157249540000661
5	0.0363783812890014	0.00166810736415351	0.0281673862487822	0.0589200233101762
6	0.0119249457548262	0.000265443250888224	0.0201637870353507	0.0117825840693119
7	0.0119249456016783	4.44964309080503e-05	0.00104205096917278	0.00256234317741078
8	0.0119249449273338	5.66997173347128e-06	0.000164909636713794	0.000469988288853918
9	0.0330274280032159	6.34243944752644e-07	2.23592934759948e-05	7.54165011825902e-05
10	0.0323160793227063	1.11170919858683e-07	3.2737993726599e-06	1.11601733435718e-05
11	0.0318094829476838	1.46561076608265e-08	3.06606737813034e-07	1.36465160238686e-06
12	0.0314295637873811	1.36745786916137e-09	3.56687999032712e-08	1.66562446834995e-07
13	0.0119250331460946	5.24819743219496e-10	6.46763621998947e-09	2.0132992606392e-08
14	0.0119248650874042	2.55323932135676e-10	6.1861890089665e-10	1.56649313833024e-09
15	0.0119250991992256	1.48052464385429e-10	2.11322561879945e-10	4.35385838493119e-10
16	0.0119244732642861	5.18385506395602e-10	2.52840148123878e-10	4.37453406831878e-10
17	0.0304766847415477	3.61281313893125e-10	3.87764804640756e-10	4.21304879871798e-10
18	0.030376640767793	2.5472220166467e-10	6.28015583981067e-10	7.6264884685262e-10
19	0.0302951167351988	1.68881568451962e-10	6.69998168056907e-10	1.88246373350465e-10
20	0.0302178268564782	2.78332468184317e-10	4.3523907047871e-10	6.30023802225543e-10
21	0.0123688400736325	3.6003955372621e-10	3.72167741069518e-10	5.10095077288497e-10
22	0.0119450912505994	4.23883761424548e-10	2.37037355022007e-10	6.09436390242024e-10
23	0.012292291162184	5.08843380625512e-10	5.55200448115745e-10	2.99235081158145e-10
24	0.00990070534440866	3.81523812542639e-10	5.05468396305719e-10	3.28170490782043e-10
25	0.0293248509987421	3.173166174264e-10	8.42046338905833e-10	3.55769642912396e-10
26	0.0249141030927825	5.31528820957305e-10	2.18821606667863e-10	3.98138829196815e-10
27	0.00536596686976376	3.67770340223283e-10	6.87717788966369e-10	4.46349845972804e-10
28	0.170932937640939	2.78858974106511e-10	3.50508511104408e-10	2.24354774341906e-10
29	0.179111706028041	4.12575723585107e-10	4.21227108748923e-10	1.23748413946578e-09
30	0	4.63554195029303e-10	5.94874927095645e-10	7.64804795883034e-10
31	0.0417991584298956	2.21733353900078e-10	4.83734953135584e-10	6.30625123301809e-10
32	0.0186485103613707	1.10486424523271e-09	2.24367718848484e-10	4.6188275426573e-10
33	0.112813479784182	1.86261331011628e-10	9.90270705714114e-10	3.5005054410675e-10
34	0	1.18374426927303e-09	5.3710614601743e-10	5.83282588895173e-10
35	0	4.09862976891162e-10	5.78203174575465e-10	2.93668533934976e-10
