n	stdlobatto	gauss	radau	lobatto
1	0	0	0	0
2	0	0	0	0
3	0.537641031166387	0.00947163098659383	0.893078785144116	1.50000000999043
4	0.248421021252255	0.00136637885106455	1.50000000994315	0.845538052520445
5	0.162161983982211	0.000660752394241015	0.00154870808771138	1.50000000971628
6	0.201076388393652	0.000204750124031247	1.50000000708697	0.000519297690110197
7	0.138904923417906	4.05333864021487e-05	7.6805323595967e-05	8.68156770650295e-05
8	0.0649632377334884	5.67083887698105e-06	9.49791679294432e-06	1.1284229105013e-05
9	0.0141112294987877	3.37619221929542e-06	6.26877793471689e-06	7.3780761480069e-06
10	0.0177994116707803	1.00794603076493e-06	1.95327921599653e-06	2.28996463605413e-06
11	0.0113472093258924	1.86024014036529e-07	4.83015324626024e-07	3.83104561990644e-07
12	0.00501669230616741	9.42664175052066e-08	1.35799541556292e-07	2.9258367639784e-07
13	0.00236057836690717	1.9780066801145e-07	5.33227121013446e-07	3.81669210958169e-08
14	0.00299247833514965	8.17380953477276e-08	2.15140163684069e-07	1.61219836147808e-07
15	0.00185317190346834	2.20986656751521e-08	5.36736274647787e-07	7.46791285810566e-07
16	0.000797830893739526	1.37810518219261e-07	1.29527131209617e-06	9.32008806353579e-07
17	0.00014346911393992	5.43466620650523e-07	1.37128202459813e-07	2.54183534331709e-07
18	0.000181508755482063	6.25251018737671e-08	5.21644813455957e-07	2.170706285054e-06
19	0.00011039023851328	6.13344768307655e-08	1.61294597567085e-06	1.91571508045829e-07
20	4.67716586508571e-05	1.83209540371987e-07	2.78626587191244e-07	1.0202575043694e-06
21	2.02274236128508e-05	3.3672381266614e-07	3.20978095313951e-06	6.02798422066897e-07
22	2.5467803967727e-05	2.68734331898557e-07	1.99428732550189e-06	2.72107187027082e-06
23	1.53022652448209e-05	7.80961894875087e-07	1.31536872172155e-06	1.02920095645942e-06
24	6.41618410995859e-06	6.03631492235301e-07	6.58321363367076e-07	7.96480310039094e-07
25	1.10114619461532e-06	3.5366395528813e-07	3.0621981622625e-06	3.47272545375699e-06
26	1.39689283951139e-06	7.20039324275668e-07	1.58580750919679e-06	1.18109057012372e-06
27	1.05790050758392e-06	1.36697654162798e-06	4.13930236264903e-06	1.71367331791572e-06
28	2.13519005864971e-07	5.8173860961741e-07	4.01429858287727e-06	1.44203428631418e-06
29	1.65817686026415e-07	6.89097760742108e-07	4.27147284892682e-06	4.23617751033056e-06
30	0	3.70984206687908e-07	5.809859101924e-06	1.03591522698787e-06
31	8.12065127198114e-07	2.74962716539928e-07	7.2460742971403e-06	2.04116298685442e-06
32	1.25516456878083e-06	2.30800161304945e-06	7.90625541979839e-07	7.92811237781965e-06
33	2.7752850623175e-07	1.24385808680794e-06	1.38892795131795e-06	1.62666885217266e-06
34	0	2.14570787471224e-06	6.64047868026429e-06	5.23565615900834e-06
35	0	1.21832186472659e-06	5.20923158497943e-06	2.44686651529324e-06
