n	stdlobatto	gauss	radau	lobatto
1	0	0	0	0
2	0	0	0	0
3	0.353965985563372	0.0189432617806959	1.05982261218083	0.786881388599959
4	0.0394115013133904	0.00273276734643979	0.568675490272969	0.805799760510887
5	0.00325332028911463	0.00132150592694158	0.00309741817153729	0.48667959884205
6	0.00666123630096638	0.000409499184298084	0.345378516278835	0.00103859786371679
7	0.00263282973455448	8.10668607948567e-05	0.000153610035799872	0.000173631373807513
8	0.000474921371084069	1.13740995818512e-05	1.90033822947966e-05	2.2529461548515e-05
9	5.71775342681491e-05	6.74606585510107e-06	1.25353037643272e-05	1.47576366759661e-05
10	9.25319076288122e-05	2.01546342368242e-06	3.91180560795068e-06	4.5724862895169e-06
11	3.33545946777924e-05	3.72491890582305e-07	6.39080158064409e-07	7.66291047671341e-07
12	5.76053295497925e-06	5.3699805158125e-08	8.63792620764414e-08	9.57209993490693e-08
13	2.2200298421815e-07	3.26575252951322e-08	5.58068477818363e-08	6.67285533217932e-08
14	3.27895537499678e-07	9.73586544716909e-09	1.73940310835285e-08	2.09602291634248e-08
15	1.10522652030376e-07	1.73851391616076e-09	2.87234604504083e-09	3.49769389840215e-09
16	1.81600735560394e-08	2.54649634712223e-10	3.95797616903337e-10	4.29884572383799e-10
17	2.36808128661892e-09	1.56268054052333e-10	2.56687421318347e-10	3.09074821291944e-10
18	3.55344687008596e-09	4.63738492051391e-11	7.98895602449612e-11	9.65616198111974e-11
19	1.19279230936797e-09	8.15345013727153e-12	1.31222914478979e-11	1.6172230221656e-11
20	1.95296223637342e-10	1.19282361765727e-12	1.834865592798e-12	1.96409555286436e-12
21	6.53566090136337e-12	7.40740802029904e-13	1.20015108961979e-12	1.4434564654664e-12
22	9.65472146674529e-12	2.19602114270856e-13	3.66970343002038e-13	4.5521919567193e-13
23	3.19722026631553e-12	4.64073224293315e-14	5.94108096052537e-14	7.57310880672435e-14
24	5.1769699638271e-13	1.80966353013901e-14	2.57571741713036e-14	1.33226762955019e-14
25	6.87228052242972e-14	5.55111512312578e-15	1.09245945623115e-13	1.4033219031262e-13
26	1.03916875104915e-13	1.57651669496772e-14	3.33066907387547e-14	1.52100554373646e-14
27	6.22835116814713e-14	4.78506123613442e-14	1.63202784619898e-13	2.97539770599542e-14
28	1.13242748511766e-14	1.40998324127395e-14	1.42330591756945e-13	1.95399252334028e-14
29	1.38777878078145e-15	1.54321000422897e-14	1.51101353651484e-13	1.56097357262297e-13
30	0	1.39020739364781e-14	2.674527266322e-13	6.36157793110215e-14
31	1.01030295240889e-14	1.01307850997046e-14	3.82693876588291e-13	3.26405569239796e-14
32	3.46389583683049e-14	1.12354570092066e-13	5.6621374255883e-15	4.41091607683575e-13
33	5.88418203051333e-15	2.73114864057789e-14	2.80886425230165e-14	1.66533453693773e-14
34	0	9.70334923522387e-14	2.674527266322e-13	1.70086167372574e-13
35	0	3.03090885722668e-14	1.53987933515509e-13	3.60822483003176e-14
