Quantiles DWTPU DWCPU BG LNE IE
0.000000000000000000e+00 2.876708302346209223e-06 1.310623761741069870e-07 6.085185308402074611e-04 -2.384185791015625000e-07 -6.076119474229813022e-08
1.000000000000000056e-01 2.214746587535398881e-03 3.467724132049888608e-01 4.056978638394608261e-01 6.069686114788055420e-01 6.533386812718534609e-01
2.000000000000000111e-01 6.341219940461773064e-03 5.342443967930319282e-01 4.632653158350150679e-01 7.204559874806391040e-01 7.661191815543133554e-01
2.999999999999999889e-01 1.339302389345586874e-02 6.757453053477459060e-01 5.013425781378326729e-01 7.809865754254710080e-01 8.262693924409211244e-01
4.000000000000000222e-01 2.457718923853169368e-02 7.742616334373247922e-01 5.333695537521512264e-01 8.240185976028442383e-01 8.698437867868467066e-01
5.000000000000000000e-01 4.200997016073859669e-02 8.388480456609017644e-01 5.625151933807430726e-01 8.596279197598623023e-01 9.062821218829875125e-01
5.999999999999999778e-01 6.903183939334767150e-02 8.825138065633933993e-01 5.882831948773050712e-01 8.908581244689780521e-01 9.375823334704211920e-01
6.999999999999999556e-01 1.185819778241242739e-01 9.255872233032205187e-01 6.158988224077526219e-01 9.228696525096893311e-01 9.699481859860094035e-01
8.000000000000000444e-01 2.102182511102228535e-01 9.670437975152403887e-01 6.443257777505126960e-01 9.579852732415579109e-01 1.004699397133556271e+00
9.000000000000000222e-01 3.855084152072870696e-01 1.017317047074886904e+00 6.771377353400365173e-01 1.001837998409509822e+00 1.048149066934796592e+00
1.000000000000000000e+00 1.929563888053920095e+00 1.735564950992796174e+00 1.352655512192084686e+00 2.000000062224430941e+00 1.521614764110639673e+00
