Quantiles DWTPU DWCPU BG LNE IE
0.000000000000000000e+00 4.753992199868495305e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.791351871805013651e-03
1.000000000000000056e-01 3.904397044272767126e-01 8.592202601323755129e-01 8.450227412726396548e-01 8.729845212111160269e-01 8.734188655299883752e-01
2.000000000000000111e-01 6.798510356079525696e-01 9.099628677038739122e-01 8.977226201012145079e-01 9.171474079577568439e-01 9.172829999108739196e-01
2.999999999999999889e-01 8.476142911316852935e-01 9.437609757907274854e-01 9.331490849261243614e-01 9.470455316928344525e-01 9.470321454865183730e-01
4.000000000000000222e-01 9.574464819548513805e-01 9.712693157849492387e-01 9.624492460366342872e-01 9.720036925671283745e-01 9.720360253469019218e-01
5.000000000000000000e-01 1.054804904922516995e+00 9.964877220871583008e-01 9.893245046287904021e-01 9.950436782091856003e-01 9.948910003877270425e-01
5.999999999999999778e-01 1.135907072378298466e+00 1.019762944989031528e+00 1.013424433293360405e+00 1.016868323590407464e+00 1.016220149625209901e+00
6.999999999999999556e-01 1.210386581937819450e+00 1.045506822423012405e+00 1.041074745352553066e+00 1.040583162387232807e+00 1.040170319693669132e+00
8.000000000000000444e-01 1.278399499626024394e+00 1.076110343327139729e+00 1.071851509605166841e+00 1.068091059270234622e+00 1.067107098090567252e+00
9.000000000000000222e-01 1.356090083040877747e+00 1.116570386958342098e+00 1.113449412882419720e+00 1.104270818320415293e+00 1.103857230775455722e+00
1.000000000000000000e+00 1.925954745893355025e+00 1.600754953286619431e+00 1.580732083209992922e+00 1.977898001670837402e+00 1.472179366093810060e+00
