Quantiles DWTPU DWCPU BG LNE IE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000222e-01 0.000000000000000000e+00 1.000000000000000021e-02 2.000000000000000042e-02 3.448275862068965469e-02 2.325581395348837177e-02
5.000000000000000000e-01 0.000000000000000000e+00 2.857142857142857054e-02 7.692307692307692735e-02 7.142857142857142461e-02 4.000000000000000083e-02
5.999999999999999778e-01 0.000000000000000000e+00 4.000000000000000083e-02 1.428571428571428492e-01 1.700000000000000122e-01 1.052631578947368363e-01
6.999999999999999556e-01 2.000000000000000042e-02 9.090909090909091161e-02 2.000000000000000111e-01 3.333333333333333148e-01 5.000000000000000000e-01
8.000000000000000444e-01 4.285714285714285754e-02 2.000000000000000111e-01 3.333333333333333148e-01 5.000000000000000000e-01 1.000000000000000000e+00
9.000000000000000222e-01 3.333333333333333148e-01 4.000000000000000222e-01 5.000000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 6.666666666666666297e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
