Quantiles DWTPU DWCPU IE BG LNE
0.000000000000000000e+00 8.037270760485881738e-06 -2.531410037143189129e-08 -2.220446049250313081e-16 1.524327144437509496e-03 -2.384185791015625000e-07
1.000000000000000056e-01 2.239141339647754414e-03 4.848404284407223930e-01 2.607731959120942467e-01 4.047208680805616243e-01 6.069686114788055420e-01
2.000000000000000111e-01 4.669953007390814648e-03 6.709925391315709753e-01 3.650711291160234628e-01 4.658397025689229309e-01 7.204559874806391040e-01
2.999999999999999889e-01 7.857561137278756824e-03 7.611919048058216619e-01 4.428007128965566475e-01 5.049754148963040423e-01 7.809865754254710080e-01
4.000000000000000222e-01 1.217660182733903973e-02 8.184599533166647678e-01 5.122947391259520256e-01 5.367667559427642399e-01 8.240185976028442383e-01
5.000000000000000000e-01 1.831188077516232582e-02 8.624297287407284296e-01 5.828073194244840494e-01 5.645496279674592222e-01 8.596279197598623023e-01
5.999999999999999778e-01 2.661459148757316928e-02 8.989573014305934917e-01 6.545870240632611914e-01 5.899872255182041503e-01 8.908581244689780521e-01
6.999999999999999556e-01 3.981746585608048061e-02 9.342531872967436701e-01 7.449490683042738759e-01 6.155584122783788192e-01 9.228696525096893311e-01
8.000000000000000444e-01 6.242786757898965977e-02 9.726987538270239764e-01 8.576990163593357641e-01 6.425872919272279660e-01 9.579852732415579109e-01
9.000000000000000222e-01 1.090075613192210691e-01 1.019563999466922333e+00 9.543999081802830853e-01 6.735122486446349921e-01 1.001837998409509822e+00
1.000000000000000000e+00 1.654019065974611458e+00 1.785309563814972522e+00 2.000000000000000000e+00 1.460184805013346576e+00 2.000000062224430941e+00
