Quantiles DWTPU DWCPU IE BG LNE
0.000000000000000000e+00 -2.220446049250313081e-16 0.000000000000000000e+00 -2.220446049250313081e-16 1.745793658146077565e-01 0.000000000000000000e+00
1.000000000000000056e-01 4.233650814089723324e-01 8.734174353189954054e-01 8.637531239485370937e-01 8.489888189886394265e-01 8.729845212111160269e-01
2.000000000000000111e-01 7.640486895162167391e-01 9.169843439288994924e-01 9.094179360285574720e-01 9.004800643593073861e-01 9.171474079577568439e-01
2.999999999999999889e-01 9.584885811064866035e-01 9.473546308350594414e-01 9.401629715467151316e-01 9.346721376013847893e-01 9.470455316928344525e-01
4.000000000000000222e-01 1.046147034011018828e+00 9.721163243025640055e-01 9.655095951529000242e-01 9.627747651285033514e-01 9.720036925671283745e-01
5.000000000000000000e-01 1.094825911384150530e+00 9.954102367641474158e-01 9.892289377440572906e-01 9.886957420188409174e-01 9.950436782091856003e-01
5.999999999999999778e-01 1.127998077451210390e+00 1.016845532835500387e+00 1.010550820039999076e+00 1.011998169329368702e+00 1.016868323590407464e+00
6.999999999999999556e-01 1.158978888248985761e+00 1.040252507238811130e+00 1.034283384875179124e+00 1.038576661569788007e+00 1.040583162387232807e+00
8.000000000000000444e-01 1.191717151254847007e+00 1.067846238683405335e+00 1.061893773473061575e+00 1.068571454117926756e+00 1.068091059270234622e+00
9.000000000000000222e-01 1.233859019612719043e+00 1.103670752896061646e+00 1.098383825904605926e+00 1.108495879154656194e+00 1.104270818320415293e+00
1.000000000000000000e+00 1.721870902376638757e+00 1.470310990876707580e+00 2.000000000000000000e+00 1.564696629123703220e+00 1.977898001670837402e+00
