Quantiles DWTPU DWCPU IE BG LNE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.545454545454545581e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.818181818181817677e-02 7.499999999999999722e-02 0.000000000000000000e+00
4.000000000000000222e-01 2.439024390243902524e-02 2.597402597402597574e-02 1.142857142857142821e-01 1.333333333333333315e-01 3.448275862068965469e-02
5.000000000000000000e-01 6.666666666666666574e-02 5.128205128205128027e-02 1.904761904761904656e-01 1.707317073170731836e-01 7.142857142857142461e-02
5.999999999999999778e-01 1.499999999999999944e-01 8.333333333333332871e-02 2.500000000000000000e-01 2.500000000000000000e-01 1.700000000000000122e-01
6.999999999999999556e-01 2.000000000000000111e-01 1.176470588235294101e-01 3.333333333333333148e-01 3.333333333333333148e-01 3.333333333333333148e-01
8.000000000000000444e-01 2.999999999999999889e-01 1.666666666666666574e-01 4.285714285714285476e-01 4.000000000000000222e-01 5.000000000000000000e-01
9.000000000000000222e-01 5.000000000000000000e-01 2.500000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
