Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 0.000000000000000000e+00 -2.220446049250313081e-16 -2.220446049250313081e-16 -2.220446049250313081e-16 -2.220446049250313081e-16
1.000000000000000056e-01 0.000000000000000000e+00 1.284787927037693844e-01 5.498055271628277119e-03 4.572237129880529771e-03 5.312031286203866554e-01
2.000000000000000111e-01 0.000000000000000000e+00 1.677773059577014614e-01 9.941579102030972948e-03 8.840830634171736868e-03 5.927032898880980616e-01
2.999999999999999889e-01 0.000000000000000000e+00 1.988621168907275250e-01 1.540903302375928874e-02 1.431180833835377086e-02 6.284820096561225533e-01
4.000000000000000222e-01 0.000000000000000000e+00 2.283063743095046227e-01 2.247657709512351776e-02 2.087218468558715845e-02 6.562099290280352104e-01
5.000000000000000000e-01 0.000000000000000000e+00 2.581127516389521981e-01 3.217099197135597777e-02 2.891412587313002547e-02 6.805753017363946888e-01
5.999999999999999778e-01 0.000000000000000000e+00 2.905719831139796927e-01 4.474303921829225761e-02 3.812008435903513348e-02 7.029262897200021509e-01
6.999999999999999556e-01 0.000000000000000000e+00 3.333031717873571331e-01 6.353560201342411951e-02 5.178355700100867320e-02 7.275421863537492317e-01
8.000000000000000444e-01 0.000000000000000000e+00 3.959869550728096765e-01 9.579320591218232206e-02 7.386893449362419428e-02 7.558123300590360305e-01
9.000000000000000222e-01 0.000000000000000000e+00 5.220483889095310914e-01 2.018797918394676927e-01 1.431884872030841915e-01 7.933648091556674276e-01
1.000000000000000000e+00 0.000000000000000000e+00 1.314655442462540291e+00 1.445034767262007858e+00 1.339700026591922777e+00 1.214112445955529918e+00
