Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 1.110223024625156540e-16 -2.220446049250313081e-16 0.000000000000000000e+00 1.110223024625156540e-16 0.000000000000000000e+00
1.000000000000000056e-01 8.731423819615272697e-01 8.726881546046768579e-01 8.726515554008920095e-01 8.726957521273075447e-01 8.727273905014766298e-01
2.000000000000000111e-01 9.170205901450768637e-01 9.170734002175994215e-01 9.171546447685212655e-01 9.171954824997650135e-01 9.169948908465364035e-01
2.999999999999999889e-01 9.470524209475846833e-01 9.471254168798002304e-01 9.471200836024405989e-01 9.470599786175080137e-01 9.470740467929277262e-01
4.000000000000000222e-01 9.720158543983989929e-01 9.721139290232149177e-01 9.721687085434540521e-01 9.720861339941944124e-01 9.719662050815263132e-01
5.000000000000000000e-01 9.952181369773800412e-01 9.951548255525085596e-01 9.952334019003044041e-01 9.951544537792338385e-01 9.949767718118557314e-01
5.999999999999999778e-01 1.016240083896100765e+00 1.016173234753585453e+00 1.016171687894539932e+00 1.016345980914653557e+00 1.016240865605553267e+00
6.999999999999999556e-01 1.040308843710450626e+00 1.040104652126344842e+00 1.040204061332012042e+00 1.040194685508664785e+00 1.040119891504654559e+00
8.000000000000000444e-01 1.067262313788933437e+00 1.067502550763169911e+00 1.067461804263300174e+00 1.067413085441091036e+00 1.067324850479006049e+00
9.000000000000000222e-01 1.103228542622318731e+00 1.103421037713654629e+00 1.103187510315192910e+00 1.103292343133361220e+00 1.103445924983616822e+00
1.000000000000000000e+00 1.495296319355199355e+00 1.501050000282633912e+00 1.489129999235164092e+00 1.497346814277542792e+00 1.498785658482519434e+00
