tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
1.0,8.576930455025531e12,1.0,2.0659263478526652e13,1.0,3.897666241209109e13,1.0,6.952598416797196e13
11.0,7.069653500595675e12,11.0,1.6729716126771135e13,11.0,3.1562417929059742e13,11.0,5.630057509013224e13
21.0,5.622879551850345e12,21.0,1.3757224985039729e13,21.0,2.595394090215844e13,21.0,4.629626471782181e13
31.0,4.3673064474336743e12,31.0,1.0156802706856322e13,31.0,1.916068747548098e13,31.0,3.4178569416180938e13
41.0,3.5857612349417227e12,41.0,8.263895337885815e12,41.0,1.5589162116202863e13,41.0,2.7807740396928082e13
51.0,2.9416265268839106e12,51.0,6.937689208377329e12,51.0,1.3086884983779998e13,51.0,2.3344219025579188e13
61.0,2.4018902231364688e12,61.0,5.541953528442611e12,61.0,1.045341994610768e13,61.0,1.8646686796217754e13
71.0,2.0296221582835186e12,71.0,4.510858714801472e12,71.0,8.507956932382761e12,71.0,1.5176401420384113e13
81.0,1.5378670653343381e12,81.0,3.6663625573220117e12,81.0,6.91456705409664e12,81.0,1.2334138394252115e13
91.0,1.27575376434512e12,91.0,2.878812350862747e12,91.0,5.428622427232122e12,91.0,9.683534465250543e12
101.0,1.0284168424948236e12,101.0,2.2648812186956147e12,101.0,4.2702611448320425e12,101.0,7.617268393942292e12
111.0,7.701220617942124e11,111.0,1.7327427213901958e12,111.0,3.2662256759395e12,111.0,5.826286206188027e12
121.0,6.563291249869323e11,121.0,1.3900137548603167e12,121.0,2.6195668824950146e12,121.0,4.672786736800566e12
131.0,4.807228922273483e11,131.0,1.0333657516852856e12,131.0,1.9466457408924585e12,131.0,3.472440916644656e12
141.0,3.908258412522665e11,141.0,8.039302875839607e11,141.0,1.5137483937807031e12,141.0,2.7002456488236865e12
151.0,3.1422938466089276e11,151.0,6.600351286929478e11,151.0,1.2422479403083738e12,151.0,2.215947542629802e12
161.0,2.4692417192322607e11,161.0,5.105820729255349e11,161.0,9.602608830202906e11,161.0,1.7129436026024104e12
171.0,2.1728688766983197e11,171.0,4.194226290854503e11,171.0,7.882618350216436e11,171.0,1.406134489956175e12
181.0,1.6832770153888925e11,181.0,3.2689459670424347e11,181.0,6.136805430309441e11,181.0,1.0947192123511437e12
191.0,1.2055197603590582e11,191.0,2.4841164519860754e11,191.0,4.655994186356063e11,191.0,8.305745039702708e11
201.0,1.1002407785763623e11,201.0,2.0360733715726398e11,201.0,3.8106294051856213e11,201.0,6.797797051668947e11
211.0,8.296029813883669e10,211.0,1.5770289078982913e11,211.0,2.944507285358478e11,211.0,5.252822459544852e11
221.0,6.827497843045022e10,221.0,1.22705504365607e11,221.0,2.2841788658513724e11,221.0,4.074939332856502e11
231.0,5.45124186853642e10,231.0,9.862058318139722e10,231.0,1.8297461334541003e11,231.0,3.264329593985692e11
241.0,4.567498355742396e10,241.0,7.895901374823659e10,241.0,1.4587729152985175e11,241.0,2.60259358322168e11
251.0,3.449582673670443e10,251.0,6.190555720151736e10,251.0,1.137009402099874e11,251.0,2.0286370461646402e11
261.0,2.7011615585677155e10,261.0,4.904756833258161e10,261.0,8.944057012135722e10,261.0,1.5958844986377234e11
271.0,2.1125278666469894e10,271.0,4.000166291920079e10,271.0,7.237281439747734e10,271.0,1.2914326397793256e11
281.0,1.6716098831203093e10,281.0,3.051533228561154e10,281.0,5.4474067221704315e10,281.0,9.721576901574283e10
291.0,1.266953583666513e10,291.0,2.384487132196701e10,291.0,4.188828469464482e10,291.0,7.476545423774481e10
301.0,9.855537719288656e9,301.0,1.8382420329028114e10,301.0,3.1581767553393654e10,301.0,5.638085609389139e10
311.0,7.652786135392086e9,311.0,1.4353294492024426e10,311.0,2.397963902958339e10,311.0,4.282030251087848e10
