tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
1.0,8.668888775183506e12,1.0,1.3813867666068305e14,1.0,3.946869663126043e13,1.0,7.040366682919292e13
101.0,5.898358482186027e12,101.0,9.483210012150106e13,101.0,2.7095282991866375e13,101.0,4.833217222919273e13
201.0,4.0706396435228613e12,201.0,6.461525775388186e13,201.0,1.8461825457936316e13,201.0,3.2931950682182348e13
301.0,2.7452745203770054e12,301.0,4.349677412670768e13,301.0,1.2427921274367877e13,301.0,2.2168770246627836e13
401.0,1.922786890242863e12,401.0,2.9780806157601598e13,401.0,8.509039693117059e12,401.0,1.5178332831423672e13
501.0,1.3677959416506316e12,501.0,2.081487120251063e13,501.0,5.947322034302138e12,501.0,1.0608782412997057e13
601.0,9.037507832087512e11,601.0,1.4175610348538125e13,601.0,4.0503741023474556e12,601.0,7.225037453294109e12
701.0,6.13774146014481e11,701.0,9.463274805928967e12,701.0,2.703980978347751e12,701.0,4.823363232105448e12
801.0,4.2060430101272205e11,801.0,6.359601898761617e12,801.0,1.8172096897649004e12,801.0,3.2415549876063086e12
901.0,2.9175882533693024e11,901.0,4.374057586003424e12,901.0,1.2499064521405767e12,901.0,2.2296086718440015e12
1001.0,2.0041479654805533e11,1001.0,3.020873463319658e12,1001.0,8.632791031725059e11,1001.0,1.5399490763874429e12
1101.0,1.3897746228650922e11,1101.0,2.05631084890187e12,1101.0,5.876874225766404e11,1101.0,1.048353105594818e12
1201.0,9.2147941100609e10,1201.0,1.3806649412374229e12,1201.0,3.9464408003183716e11,1201.0,7.040055215959797e11
1301.0,6.64397413497222e10,1301.0,9.494851333356582e11,1301.0,2.7144879325372006e11,1301.0,4.842517668025817e11
1401.0,4.409504973496341e10,1401.0,6.454386074685508e11,1401.0,1.845776126890163e11,1401.0,3.292923636331101e11
1501.0,2.9712860244823822e10,1501.0,4.391912784642499e11,1501.0,1.2564929930729515e11,1501.0,2.2417699381706702e11
1601.0,2.1561266222201622e10,1601.0,2.909586827401536e11,1601.0,8.329676608232733e10,1601.0,1.486292318482055e11
1701.0,1.3442015915489794e10,1701.0,1.9564991933536572e11,1701.0,5.606545741493344e10,1701.0,1.0005446503609749e11
1801.0,9.802095000987997e9,1801.0,1.3331268716808931e11,1801.0,3.8254666990463165e10,1801.0,6.828386590055592e10
1901.0,6.757060781200977e9,1901.0,8.923223832962122e10,1901.0,2.5660145084649754e10,1901.0,4.581796196045632e10
2001.0,4.675908426748664e9,2001.0,6.003463891121911e10,2001.0,1.7317902318026196e10,2001.0,3.093720459296565e10
2101.0,3.1516717350964932e9,2101.0,3.9179941564985535e10,2101.0,1.1359366289304226e10,2101.0,2.030846464983997e10
2201.0,2.1927325655817585e9,2201.0,2.60250654878491e10,2201.0,7.600798051288219e9,2201.0,1.360399157662223e10
2301.0,1.4643080522693882e9,2301.0,1.7155846245499828e10,2301.0,5.06671369011111e9,2301.0,9.083732986414412e9
2401.0,9.918390448504847e8,2401.0,1.1129764099738317e10,2401.0,3.3449611764481378e9,2401.0,6.0124987728534355e9
2501.0,6.85392553655581e8,2501.0,7.457507794004035e9,2501.0,2.2957360958275843e9,2501.0,4.140908088503259e9
2601.0,4.915717406839659e8,2601.0,4.832973907729962e9,2601.0,1.5458628437571058e9,2601.0,2.8032963415667295e9
2701.0,3.5601873358403933e8,2701.0,3.167751846873427e9,2701.0,1.070081033994793e9,2701.0,1.9546044646934147e9
2801.0,2.5011152741107532e8,2801.0,2.1321920466160386e9,2801.0,7.74204269288631e8,2801.0,1.4268242898121524e9
2901.0,1.9746186308787608e8,2901.0,1.4534701000183914e9,2901.0,5.802820509440534e8,2901.0,1.0809089814137168e9
3001.0,1.5427793740199298e8,3001.0,9.826343490918169e8,3001.0,4.4575639761381996e8,3001.0,8.409443025003275e8
3101.0,1.2519120746172807e8,3101.0,7.130255744411521e8,3101.0,3.6872465887675774e8,3101.0,7.035363361044867e8
3201.0,1.0521593032796568e8,3201.0,5.215749905384892e8,3201.0,3.140240231895225e8,3201.0,6.05962229202932e8
3301.0,9.278070737779805e7,3301.0,3.8750857115624046e8,3301.0,2.757190036119954e8,3301.0,5.376343564430189e8
3401.0,8.212739689247978e7,3401.0,3.017538822283139e8,3401.0,2.5121745390711904e8,3401.0,4.93928889401888e8
3501.0,7.624032928702092e7,3501.0,2.4967757443109208e8,3501.0,2.363383812885657e8,3501.0,4.673878409471712e8
3601.0,7.066630308282347e7,3601.0,2.1070248132683247e8,3601.0,2.2520254495256314e8,3601.0,4.4752391667213964e8
3701.0,6.797092837497216e7,3701.0,1.8141004104629523e8,3701.0,2.168332045644951e8,3701.0,4.325948230069372e8
3801.0,6.548538395733224e7,3801.0,1.6025981409424394e8,3801.0,2.1079023078179455e8,3801.0,4.218154643675254e8
3901.0,6.268330086941528e7,3901.0,1.470779728200544e8,3901.0,2.0702395813572627e8,3901.0,4.1509724829616034e8
4001.0,6.37588150569459e7,4001.0,1.4080103203433982e8,4001.0,2.0523053111058703e8,4001.0,4.118981622513174e8
4101.0,6.164742077445222e7,4101.0,1.3563839899856848e8,4101.0,2.0375548045720175e8,4101.0,4.092669908155491e8
4201.0,6.434810542492093e7,4201.0,1.3362407356378964e8,4201.0,2.0317995397137296e8,4201.0,4.0824037600298965e8
4301.0,6.2726822616520435e7,4301.0,1.3063682068525234e8,4301.0,2.0232644583322287e8,4301.0,4.0671790202682996e8
4401.0,6.284402195730197e7,4401.0,1.2927346811990048e8,4401.0,2.0193691319001877e8,4401.0,4.0602306001462805e8
4501.0,6.343829479972751e7,4501.0,1.2868642508176544e8,4501.0,2.017691851700401e8,4501.0,4.05723869492504e8
4601.0,6.048763323493084e7,4601.0,1.28964076726565e8,4601.0,2.0184851489137366e8,4601.0,4.0586537656299084e8
