tgradvar,ygradvar,tbound,ybound
1.0,6.810089560500792e13,1.0,8.649964791278699e12
11.0,6.351765063607538e13,11.0,8.119059181377599e12
21.0,5.9252820003622875e13,21.0,7.38503596976537e12
31.0,5.4044207728332945e13,31.0,6.944356560202565e12
41.0,5.048472771695778e13,41.0,6.453448731706591e12
51.0,4.7470613312583586e13,51.0,6.060813437931044e12
61.0,4.41001136738189e13,61.0,5.573731406156755e12
71.0,4.119149401368893e13,71.0,5.359011960085506e12
81.0,3.842617113440902e13,81.0,4.807055331999233e12
91.0,3.556395721680161e13,91.0,4.534786554383265e12
101.0,3.288836428053581e13,101.0,4.2006823766571187e12
111.0,3.026201090838586e13,111.0,3.79269937456579e12
121.0,2.817107048965135e13,121.0,3.6396650596514614e12
131.0,2.5740119569594707e13,131.0,3.2688711623882754e12
141.0,2.3725624518611625e13,141.0,3.0902002193290264e12
151.0,2.2046595848682656e13,151.0,2.7908826506741343e12
161.0,2.025359681021966e13,161.0,2.567235723081297e12
171.0,1.896859446295387e13,171.0,2.501417163217928e12
181.0,1.7535926572311379e13,181.0,2.305408340929361e12
191.0,1.6108997625780105e13,191.0,2.0056021921616125e12
201.0,1.4994875624295477e13,201.0,1.9759985163604236e12
211.0,1.3851148528074809e13,211.0,1.8073851272739683e12
221.0,1.2820854450307812e13,221.0,1.7386120399393794e12
231.0,1.1906746543686691e13,231.0,1.609016413943163e12
241.0,1.0953058808168336e13,241.0,1.5030851766905718e12
251.0,1.0138608643198176e13,251.0,1.350860167474151e12
261.0,9.32837342150043e12,261.0,1.2283244449804382e12
271.0,8.68062967910461e12,271.0,1.112800761887173e12
281.0,7.981371938470558e12,281.0,1.0493528800875205e12
291.0,7.374233112727751e12,291.0,9.717109086813583e11
301.0,6.789081652668718e12,301.0,9.001656989695126e11
311.0,6.240250710801698e12,311.0,8.372194151887494e11
321.0,5.72185939608646e12,321.0,7.799426026770352e11
331.0,5.318335084598826e12,331.0,7.088702098100015e11
341.0,4.954559926622781e12,341.0,6.603578415721815e11
351.0,4.617510818316936e12,351.0,6.322416276589893e11
361.0,4.2571902730894536e12,361.0,5.730364784707015e11
371.0,3.9454016098649175e12,371.0,5.262295396538655e11
381.0,3.6410824430111826e12,381.0,4.9756834579240485e11
391.0,3.399225527170691e12,391.0,4.686965703002257e11
401.0,3.143173870088531e12,401.0,4.294260049991459e11
411.0,2.930855230931487e12,411.0,4.08582820876183e11
421.0,2.6778415150308345e12,421.0,3.7248516525250604e11
431.0,2.486828285601213e12,431.0,3.358677207980664e11
441.0,2.33301854985098e12,441.0,3.2154191988898987e11
451.0,2.1803095885418145e12,451.0,2.955350993013947e11
461.0,1.9863322819929077e12,461.0,2.758292568156463e11
471.0,1.8486272981732444e12,471.0,2.5042732704399124e11
481.0,1.7194352959118938e12,481.0,2.3942610349058057e11
491.0,1.588263987321265e12,491.0,2.2107032548799042e11
501.0,1.46681027646182e12,501.0,1.9580578919221698e11
511.0,1.3734637894602874e12,511.0,1.887798947352244e11
521.0,1.2743438408106816e12,521.0,1.8171248111332727e11
531.0,1.1708730813788704e12,531.0,1.5791656358945413e11
541.0,1.0740423920307423e12,541.0,1.5237455062931873e11
551.0,9.888667876820404e11,551.0,1.4107169246105243e11
561.0,9.08210037506973e11,561.0,1.2838796959207127e11
571.0,8.500588393065472e11,571.0,1.1719220735470357e11
581.0,7.929269940147788e11,581.0,1.1127766114289966e11
591.0,7.361236695960328e11,591.0,1.0627540917362659e11
601.0,6.83658234013849e11,601.0,9.792180082417015e10
611.0,6.335516632242504e11,611.0,9.169203117927187e10
621.0,5.940992161117114e11,621.0,8.344092338323e10
631.0,5.4683974668635345e11,631.0,7.619741866391376e10
641.0,5.040554177973716e11,641.0,7.305428703006134e10
651.0,4.6993529494495013e11,651.0,6.89779414087406e10
661.0,4.3486565568932306e11,661.0,6.316738521887074e10
671.0,4.056529392717786e11,671.0,5.938681883644522e10
681.0,3.7729333008717236e11,681.0,5.4087109336024216e10
691.0,3.568272617613182e11,691.0,5.14157560248279e10
701.0,3.3400491263044305e11,701.0,4.782290987696851e10
711.0,3.090373421052543e11,711.0,4.461860268202813e10
721.0,2.8199274607944666e11,721.0,3.964609773017067e10
731.0,2.5945550154039667e11,731.0,3.812606389706974e10
741.0,2.402421987654245e11,741.0,3.5724716997136734e10
751.0,2.1668223432613422e11,751.0,3.183183966463901e10
761.0,2.0288949715924158e11,761.0,2.92143590971796e10
771.0,1.875273381848937e11,771.0,2.7368581959525784e10
781.0,1.7311613718359866e11,781.0,2.639831979481512e10
791.0,1.5951666160730566e11,791.0,2.3143645971308704e10
801.0,1.4662063240343356e11,801.0,2.1797169421615696e10
811.0,1.357157540212026e11,811.0,1.9969699359444756e10
821.0,1.271373027408439e11,821.0,1.8764545600369152e10
831.0,1.1678854276482036e11,831.0,1.8170965384413425e10
841.0,1.0843112355515465e11,841.0,1.6415081348281359e10
851.0,9.98324386631426e10,851.0,1.4627698407484339e10
861.0,9.284709796978915e10,861.0,1.397004799834845e10
871.0,8.547878825330971e10,871.0,1.3353592225939543e10
881.0,7.809476921135085e10,881.0,1.2158387020080877e10
891.0,7.151827929503014e10,891.0,1.112060378151392e10
901.0,6.671122138371555e10,901.0,1.0604983898847797e10
911.0,6.150124933001598e10,911.0,9.612122773448997e9
921.0,5.6304548930918205e10,921.0,8.75807179840423e9
931.0,5.198967468909443e10,931.0,8.3015717441605215e9
941.0,4.778537972232604e10,941.0,7.231996116079798e9
951.0,4.346911374937369e10,951.0,6.513534320680569e9
961.0,4.066020052218871e10,961.0,6.445308468789388e9
971.0,3.775099702520598e10,971.0,6.111878609832621e9
981.0,3.499592541516467e10,981.0,5.63337285858832e9
991.0,3.176462493350013e10,991.0,5.077990494179256e9
