RANK,FAMILY,NOF_PACPRO
0,pedex,99
1,lebreat,99
2,sillywnse,99
3,esecn,99
4,specx,99
5,amhfbekgo8p,99
6,houndhack,99
7,upantix,99
8,umnfrvxhmzfib,99
9,vmnfrfvkupjib,99
10,bmifbyrbndc,99
11,pahooka,99
12,mooqkel,99
13,gametea,99
14,geegly,99
15,jeefo,99
16,adaebook,99
17,apnfr9otdqaib,99
18,dpsk,99
19,iams,99
20,amhfbokhnef,99
21,stihat,99
22,2olfa0gnepbb,99
23,loring,99
24,xanfpezes,99
25,regrun,99
26,3omfa0gnepbb,99
27,wecod,98
28,picsys,98
29,lunastorm,98
30,vindor,98
31,moarider,97
32,cardspy,97
33,vmprotbad,97
34,safebytes,97
35,cmy3u,97
36,duote,97
37,offend,97
38,polypatch,97
39,kolweb,96
40,dinwod,96
41,mepaow,96
42,xiquitir,96
43,brontok,95
44,prepscram,95
45,rostpay,95
46,vundo,94
47,downer,94
48,lolojan,94
49,qqhack,93
50,woool,93
51,xolxo,93
52,downloadsponsor,93
53,plingky,92
54,qqpass,92
55,mimdau,91
56,roxer,90
57,woozlist,90
58,blackmoon,89
59,stone,88
60,shandaadd,88
61,remoteutilities,88
62,getnow,87
63,opencandy,87
64,qzonit,86
65,airinstaller,85
66,winloadsda,85
67,webdialer,84
68,dluca,83
69,sdbot,82
70,egroupdial,82
71,esaprof,81
72,tonmye,81
73,dodiw,81
74,lunam,81
75,pajetbin,79
76,venik,79
77,diamin,79
78,zvuzona,79
79,tscope,77
80,fasong,77
81,silentall,75
82,goabeny,75
83,siscos,75
84,lokibot,75
85,koobface,74
86,viking,74
87,frosparf,73
88,gator,73
89,hckpk,73
90,mocrt,72
91,trymedia,72
92,benjamin,72
93,sfone,72
94,vrbrothers,71
95,installtoolbar,70
96,beastdoor,69
97,klone,69
98,fakefolder,69
99,subseven,68
100,pistolar,68
101,mydoom,68
102,ksdler,68
103,gofot,67
104,nevereg,67
105,tiggre,67
106,yahlover,67
107,growtopia,66
108,ceatrg,65
109,utorrent,64
110,chrop,63
111,pluto,63
112,spyrix,63
113,induc,62
114,prorat,62
115,installmonster,62
116,staser,62
117,dadobra,62
118,gendal,61
119,fsysna,60
120,reline,60
121,vemply,60
122,ymacco,60
123,cobra,59
124,sohanad,58
125,stampado,58
126,solmyr,58
127,vtflooder,57
128,macri,57
129,hider,57
130,expressdownloader,57
131,xtrat,56
132,bandit,56
133,doina,56
134,banload,56
135,bestafera,56
136,sillyfdc,55
137,xiaobaminer,55
138,alyak,55
139,gimemo,55
140,aauto,55
141,xyligan,54
142,kiser,54
143,ulpm,54
144,wenper,54
145,blamon,53
146,injuke,53
147,mulinex,53
148,convagent,53
149,sytro,53
150,stelega,53
151,yuner,52
152,palevo,52
153,azorult,52
154,killwin,51
155,quasar,50
156,smartpcsolutions,49
157,wsgame,49
158,qqware,49
159,qjwmonkey,48
160,wabot,48
161,johnnie,47
162,urelas,47
163,ipamor,46
164,softpulse,45
165,memery,45
166,jevafus,45
167,schwarzesonne,44
168,youxun,44
169,sabsik,43
170,banbra,43
171,bancos,43
172,refroso,42
173,ldpinch,42
174,hotbar,42
175,fosniw,41
176,orcus,41
177,chifrax,41
178,vilsel,40
179,dumpex,40
180,passteal,40
181,lamer,39
182,nymeria,39
183,formbook,39
184,ramnit,38
185,fesber,38
186,strab,38
187,mudrop,38
188,onescan,37
189,winwrapper,37
190,tweakbit,37
191,sivis,37
192,midie,37
