# 1rVc-bs-float 1rVc-float 2rVc-bs-float 2rVc-float 4rVc-bs-float 4rVc-float 8rVc-bs-float 8rVc-float 1rVc-bs-double 1rVc-double 2rVc-bs-double 2rVc-double 4rVc-bs-double 4rVc-double 8rVc-bs-double 8rVc-double
 8.9392 1.33246 17.45 1.97827 32.4609 2.4712 58.888 2.09062 5.8276 1.07839 11.3237 1.50107 20.7249 1.79355 32.8884 1.35986
 1.57681 0.422459 3.11534 0.571626 6.09944 0.6498 11.4373 0.534849 1.46532 0.409804 2.89192 0.543714 5.65586 0.605473 10.4432 0.461201
 7.93748 2.10396 14.3241 2.58005 23.8658 2.4854 37.7087 1.66578 5.33808 1.52758 9.54685 1.76802 15.6876 1.63068 24.3268 1.08402
 16.0 5.5103 32.0 6.78269 64.0 6.99344 128.0 5.67819 8.0 2.78158 16.0 3.40071 32.0 3.48845 64.0 2.5084
 3.26432 0.676784 4.74359 0.785992 6.98506 0.729241 10.1935 0.458877 2.55459 0.604207 3.58155 0.636439 5.09563 0.544181 7.17196 0.334245
 4.97073 0.897862 9.09644 1.21758 15.5441 1.43999 23.8118 0.996511 4.0514 0.821739 6.97117 1.07171 10.898 1.06338 15.9949 0.684056
 2.20512 0.270806 3.38799 0.36314 5.0457 0.409556 7.09445 0.277981 1.95349 0.270498 2.87584 0.334224 4.19656 0.346735 5.54615 0.227531
 5.51632 0.891661 9.53863 1.23442 15.0049 1.39385 22.6842 0.999811 4.10471 0.783076 6.94771 1.04428 10.6257 1.0261 15.567 0.66088
 5.05545 0.465207 8.19896 0.682525 12.7695 0.860654 18.7614 0.645038 3.8456 0.457029 6.23977 0.613565 9.63549 0.711475 13.8048 0.505279
 8.95403 1.34051 16.4252 1.56525 28.1874 1.95946 43.9071 1.47818 6.99245 1.16058 12.6971 1.34105 21.4457 1.47457 32.7222 1.11881
 3.22503 0.787317 5.20303 0.920195 7.56867 0.807753 10.6379 0.4785 2.53752 0.672432 3.85991 0.723486 5.53927 0.605331 7.6973 0.346937
 11.433 3.21793 21.9784 4.09958 41.3322 4.33359 74.473 3.2668 6.45481 2.00921 12.3105 2.42754 23.0337 2.49024 41.2598 1.78749
 1.26258 0.328004 1.45322 0.264555 1.70723 0.179414 2.09007 0.0936001 1.19521 0.288488 1.33373 0.211759 1.49744 0.142936 1.72463 0.0691491
 10.4024 2.05671 19.5058 2.82405 34.6743 3.29653 59.9121 2.52969 6.18497 1.57372 11.5357 2.00984 20.3068 2.08341 34.6943 1.50229
 8.9973 1.7585 17.7592 2.21951 35.0666 2.91072 68.6295 2.65109 5.98892 1.27728 11.8402 1.82164 23.3988 2.22461 41.9811 1.63692
 6.57389 1.41237 11.0391 1.81001 18.484 1.85414 32.873 1.47013 4.92902 1.21943 8.25144 1.4106 13.1098 1.31686 19.9369 0.84881
 5.45608 0.926976 9.44952 1.26486 14.9079 1.38648 22.4702 0.946922 4.10003 0.814908 6.95211 1.05279 10.6615 1.01935 15.5649 0.682398
 2.88185 0.796106 5.50922 1.03413 10.1624 1.09308 17.3587 0.813349 2.62366 0.732548 4.97966 0.918831 8.99701 0.939188 14.5631 0.645536
 1.87593 0.505167 3.65836 0.67444 6.98594 0.747584 12.5761 0.565454 1.75317 0.488201 3.41863 0.637607 6.5095 0.68992 11.284 0.493337
 11.1872 2.35582 12.1496 1.88205 14.735 1.40329 16.3992 0.69571 5.96766 1.32572 7.29932 1.13898 8.13428 0.776781 8.63005 0.385535
 10.2046 1.92828 19.9885 2.81674 38.3324 3.19422 71.0757 2.65508 6.53441 1.41814 12.8282 1.94759 24.6945 2.2317 37.5171 1.48046
 14.1856 4.21158 28.0035 5.37968 54.7522 5.73568 105.655 4.47289 7.5609 2.46082 14.9948 3.02269 29.5254 3.14786 57.4738 2.33133
 1.07313 0.102885 1.09287 0.0794812 1.11622 0.0572043 1.14542 0.0301134 1.05396 0.087967 1.07215 0.0647835 1.09314 0.0474062 1.11862 0.0261127
