x y y_pred y_pred_upper y_pred_lower
-3.141592741012573242e+00 -5.000000000000000000e-01 -4.868469685316085815e-01 -4.497192800045013428e-01 -5.055508911609649658e-01
-3.015928983688354492e+00 -4.799999892711639404e-01 -4.775737226009368896e-01 -4.448583871126174927e-01 -4.933580681681632996e-01
-2.890265226364135742e+00 -4.600000083446502686e-01 -4.618158936500549316e-01 -4.368117451667785645e-01 -4.773287996649742126e-01
-2.764601469039916992e+00 -4.399999976158142090e-01 -4.426170885562896729e-01 -4.251837134361267090e-01 -4.566622376441955566e-01
-2.638937711715698242e+00 -4.199999868869781494e-01 -4.205861687660217285e-01 -4.055006057024002075e-01 -4.323076531291007996e-01
-2.513274192810058594e+00 -4.000000059604644775e-01 -3.978629112243652344e-01 -3.864197954535484314e-01 -4.095092043280601501e-01
-2.387610435485839844e+00 -3.799999952316284180e-01 -3.745501637458801270e-01 -3.634695708751678467e-01 -3.865439817309379578e-01
-2.261946678161621094e+00 -3.600000143051147461e-01 -3.508861660957336426e-01 -3.418553546071052551e-01 -3.620434030890464783e-01
-2.136282920837402344e+00 -3.400000035762786865e-01 -3.291685730218887329e-01 -3.151465132832527161e-01 -3.379889205098152161e-01
-2.010619401931762695e+00 -3.199999928474426270e-01 -3.056373298168182373e-01 -2.906602397561073303e-01 -3.151945769786834717e-01
-1.884955644607543945e+00 -3.000000119209289551e-01 -2.809561789035797119e-01 -2.656032815575599670e-01 -2.934985756874084473e-01
-1.759291887283325195e+00 -2.800000011920928955e-01 -2.589419931173324585e-01 -2.380655780434608459e-01 -2.741195708513259888e-01
-1.633628129959106445e+00 -2.599999904632568359e-01 -2.399826198816299438e-01 -2.172967046499252319e-01 -2.548569217324256897e-01
-1.507964491844177246e+00 -2.399999946355819702e-01 -2.237944900989532471e-01 -1.965220868587493896e-01 -2.348973155021667480e-01
-1.382300734519958496e+00 -2.199999988079071045e-01 -2.094138860702514648e-01 -1.822429820895195007e-01 -2.172011137008666992e-01
-1.256637096405029297e+00 -2.000000029802322388e-01 -1.939441561698913574e-01 -1.733777895569801331e-01 -2.021091431379318237e-01
-1.130973339080810547e+00 -1.800000071525573730e-01 -1.789679229259490967e-01 -1.615526229143142700e-01 -1.886282488703727722e-01
-1.005309700965881348e+00 -1.599999964237213135e-01 -1.651505678892135620e-01 -1.438822224736213684e-01 -1.759380400180816650e-01
-8.796459436416625977e-01 -1.400000005960464478e-01 -1.511791944503784180e-01 -1.293361037969589233e-01 -1.647581979632377625e-01
-7.539822459220886230e-01 -1.199999973177909851e-01 -1.390125006437301636e-01 -1.094955652952194214e-01 -1.510251909494400024e-01
-6.283185482025146484e-01 -1.000000014901161194e-01 -1.242845132946968079e-01 -8.756605535745620728e-02 -1.373314037919044495e-01
-5.026548504829406738e-01 -7.999999821186065674e-02 -1.083716228604316711e-01 -6.919498741626739502e-02 -1.198473982512950897e-01
-3.769911229610443115e-01 -5.999999865889549255e-02 -8.793624490499496460e-02 -5.072791129350662231e-02 -9.931065514683723450e-02
-2.513274252414703369e-01 -3.999999910593032837e-02 -6.708288192749023438e-02 -3.672719001770019531e-02 -7.920761033892631531e-02
-1.256637126207351685e-01 -1.999999955296516418e-02 -4.348360188305377960e-02 -1.962219923734664917e-02 -5.620444193482398987e-02
4.440892098500626162e-16 7.067899007007528447e-17 -1.818481832742691040e-02 -2.402737736701965332e-04 -3.839550539851188660e-02
1.256637126207351685e-01 1.999999955296516418e-02 2.277709543704986572e-03 2.156172692775726318e-02 -1.478230208158493042e-02
2.513274252414703369e-01 3.999999910593032837e-02 2.486900240182876587e-02 4.375960677862167358e-02 8.117338642477989197e-03
3.769911229610443115e-01 5.999999865889549255e-02 5.125730857253074646e-02 6.491587683558464050e-02 3.274190425872802734e-02
5.026548504829406738e-01 7.999999821186065674e-02 7.212549448013305664e-02 8.640032634139060974e-02 5.778398364782333374e-02
6.283185482025146484e-01 1.000000014901161194e-01 9.683179482817649841e-02 1.102084200829267502e-01 7.591429539024829865e-02
7.539822459220886230e-01 1.199999973177909851e-01 1.167559884488582611e-01 1.341807693243026733e-01 9.030292183160781860e-02
8.796459436416625977e-01 1.400000005960464478e-01 1.406676098704338074e-01 1.540187895298004150e-01 1.123445704579353333e-01
1.005309700965881348e+00 1.599999964237213135e-01 1.597306579351425171e-01 1.734469458460807800e-01 1.336439251899719238e-01
1.130973339080810547e+00 1.800000071525573730e-01 1.786071658134460449e-01 1.904726848006248474e-01 1.572161391377449036e-01
1.256637096405029297e+00 2.000000029802322388e-01 1.973314732313156128e-01 2.082261778414249420e-01 1.789332963526248932e-01
1.382300734519958496e+00 2.199999988079071045e-01 2.153673395514488220e-01 2.268055863678455353e-01 2.006544582545757294e-01
1.507964491844177246e+00 2.399999946355819702e-01 2.321257218718528748e-01 2.434936948120594025e-01 2.200729846954345703e-01
1.633628129959106445e+00 2.599999904632568359e-01 2.497136294841766357e-01 2.603532969951629639e-01 2.376932650804519653e-01
1.759291887283325195e+00 2.800000011920928955e-01 2.658817172050476074e-01 2.778509780764579773e-01 2.551767826080322266e-01
1.884955644607543945e+00 3.000000119209289551e-01 2.838425785303115845e-01 2.946900278329849243e-01 2.728363573551177979e-01
2.010619401931762695e+00 3.199999928474426270e-01 3.014516085386276245e-01 3.162211403250694275e-01 2.912328466773033142e-01
2.136282920837402344e+00 3.400000035762786865e-01 3.209305703639984131e-01 3.333515971899032593e-01 3.102388903498649597e-01
2.261946678161621094e+00 3.600000143051147461e-01 3.409454971551895142e-01 3.542694300413131714e-01 3.291790783405303955e-01
2.387610435485839844e+00 3.799999952316284180e-01 3.617806136608123779e-01 3.746244385838508606e-01 3.512120246887207031e-01
2.513274192810058594e+00 4.000000059604644775e-01 3.841044306755065918e-01 3.961859568953514099e-01 3.714371398091316223e-01
2.638937711715698242e+00 4.199999868869781494e-01 4.064753502607345581e-01 4.188939705491065979e-01 3.940224722027778625e-01
2.764601469039916992e+00 4.399999976158142090e-01 4.303752779960632324e-01 4.449825137853622437e-01 4.127959311008453369e-01
2.890265226364135742e+00 4.600000083446502686e-01 4.523771703243255615e-01 4.692154228687286377e-01 4.277123883366584778e-01
3.015928983688354492e+00 4.799999892711639404e-01 4.740578681230545044e-01 4.941403195261955261e-01 4.417547583580017090e-01
3.141592741012573242e+00 5.000000000000000000e-01 4.936673045158386230e-01 5.159880071878433228e-01 4.557802155613899231e-01
