x y y_pred y_pred_upper y_pred_lower
-3.141592741012573242e+00 -5.000000000000000000e-01 7.292370498180389404e-02 2.632902264595031738e-01 -1.150264739990234375e-01
-3.015928983688354492e+00 -4.799999892711639404e-01 5.701565183699131012e-03 1.696622483432292938e-01 -1.729740872979164124e-01
-2.890265226364135742e+00 -4.600000083446502686e-01 -1.144339628517627716e-01 5.648992024362087250e-02 -2.652516588568687439e-01
-2.764601469039916992e+00 -4.399999976158142090e-01 -1.965051442384719849e-01 -3.779283538460731506e-02 -4.077332541346549988e-01
-2.638937711715698242e+00 -4.199999868869781494e-01 -2.245002686977386475e-01 -2.944709360599517822e-02 -4.578490480780601501e-01
-2.513274192810058594e+00 -4.000000059604644775e-01 -2.055759355425834656e-01 -9.198039770126342773e-04 -3.671992421150207520e-01
-2.387610435485839844e+00 -3.799999952316284180e-01 -1.116897389292716980e-01 2.123986184597015381e-02 -2.390117943286895752e-01
-2.261946678161621094e+00 -3.600000143051147461e-01 -4.835157096385955811e-02 1.144550368189811707e-01 -2.089317515492439270e-01
-2.136282920837402344e+00 -3.400000035762786865e-01 -7.514649629592895508e-02 1.679623126983642578e-01 -1.949801743030548096e-01
-2.010619401931762695e+00 -3.199999928474426270e-01 -3.266136348247528076e-02 1.482326164841651917e-01 -1.807724684476852417e-01
-1.884955644607543945e+00 -3.000000119209289551e-01 -3.533172234892845154e-02 1.663782559335231781e-01 -1.442366801202297211e-01
-1.759291887283325195e+00 -2.800000011920928955e-01 1.895143091678619385e-02 1.784991510212421417e-01 -1.624026522040367126e-01
-1.633628129959106445e+00 -2.599999904632568359e-01 8.005063235759735107e-02 2.307583577930927277e-01 -1.429585516452789307e-01
-1.507964491844177246e+00 -2.399999946355819702e-01 7.527289539575576782e-02 2.236797474324703217e-01 -1.269302070140838623e-01
-1.382300734519958496e+00 -2.199999988079071045e-01 6.958971917629241943e-02 1.772569902241230011e-01 -1.231414936482906342e-01
-1.256637096405029297e+00 -2.000000029802322388e-01 5.477841198444366455e-02 1.952436417341232300e-01 -1.583983786404132843e-01
-1.130973339080810547e+00 -1.800000071525573730e-01 1.479803025722503662e-02 2.251184359192848206e-01 -1.930752210319042206e-01
-1.005309700965881348e+00 -1.599999964237213135e-01 6.115035712718963623e-02 2.289590798318386078e-01 -1.650046110153198242e-01
-8.796459436416625977e-01 -1.400000005960464478e-01 7.408465445041656494e-02 2.191668301820755005e-01 -1.052484214305877686e-01
-7.539822459220886230e-01 -1.199999973177909851e-01 1.166352033615112305e-01 2.537015601992607117e-01 -6.259553134441375732e-03
-6.283185482025146484e-01 -1.000000014901161194e-01 1.503301560878753662e-01 2.980303838849067688e-01 -5.187280476093292236e-03
-5.026548504829406738e-01 -7.999999821186065674e-02 1.450797021389007568e-01 2.693692892789840698e-01 -6.428702920675277710e-02
-3.769911229610443115e-01 -5.999999865889549255e-02 8.279776573181152344e-02 2.310025282204151154e-01 -5.279131419956684113e-02
-2.513274252414703369e-01 -3.999999910593032837e-02 8.447057008743286133e-02 2.078955136239528656e-01 -5.486569553613662720e-02
-1.256637126207351685e-01 -1.999999955296516418e-02 9.203323349356651306e-02 2.454596534371376038e-01 -7.748556882143020630e-02
4.440892098500626162e-16 7.067899007007528447e-17 7.292360812425613403e-02 2.632901966571807861e-01 -1.150266155600547791e-01
1.256637126207351685e-01 1.999999955296516418e-02 5.701545625925064087e-03 1.696622371673583984e-01 -1.729742623865604401e-01
