x y y_pred y_pred_upper y_pred_lower
-3.141592741012573242e+00 -5.000000000000000000e-01 -6.286253780126571655e-02 2.764777466654777527e-01 -3.185190632939338684e-01
-3.015928983688354492e+00 -4.799999892711639404e-01 -1.356044262647628784e-01 2.006634138524532318e-01 -3.735886886715888977e-01
-2.890265226364135742e+00 -4.600000083446502686e-01 -2.418248653411865234e-01 8.764442056417465210e-02 -3.931945115327835083e-01
-2.764601469039916992e+00 -4.399999976158142090e-01 -2.708148509263992310e-01 -1.070324331521987915e-03 -4.043511599302291870e-01
-2.638937711715698242e+00 -4.199999868869781494e-01 -2.917646467685699463e-01 -2.169094420969486237e-02 -4.030100256204605103e-01
-2.513274192810058594e+00 -4.000000059604644775e-01 -2.997400164604187012e-01 -7.361867651343345642e-02 -4.028023928403854370e-01
-2.387610435485839844e+00 -3.799999952316284180e-01 -3.019657582044601440e-01 -1.288097202777862549e-01 -3.992930129170417786e-01
-2.261946678161621094e+00 -3.600000143051147461e-01 -2.890914678573608398e-01 -1.749047264456748962e-01 -4.038070961833000183e-01
-2.136282920837402344e+00 -3.400000035762786865e-01 -2.826571762561798096e-01 -1.956526562571525574e-01 -3.612761721014976501e-01
-2.010619401931762695e+00 -3.199999928474426270e-01 -2.720064520835876465e-01 -1.793517097830772400e-01 -3.543294146656990051e-01
-1.884955644607543945e+00 -3.000000119209289551e-01 -2.613233625888824463e-01 -1.483879275619983673e-01 -3.449395000934600830e-01
-1.759291887283325195e+00 -2.800000011920928955e-01 -2.585243582725524902e-01 -1.340690329670906067e-01 -3.354656621813774109e-01
-1.633628129959106445e+00 -2.599999904632568359e-01 -2.377447783946990967e-01 -1.329820938408374786e-01 -2.930676341056823730e-01
-1.507964491844177246e+00 -2.399999946355819702e-01 -2.051810771226882935e-01 -1.003253385424613953e-01 -2.676987871527671814e-01
-1.382300734519958496e+00 -2.199999988079071045e-01 -1.822008490562438965e-01 -1.033666264265775681e-01 -2.528700679540634155e-01
-1.256637096405029297e+00 -2.000000029802322388e-01 -1.738687604665756226e-01 -8.770199120044708252e-02 -2.141981199383735657e-01
-1.130973339080810547e+00 -1.800000071525573730e-01 -1.525184214115142822e-01 -7.092714682221412659e-02 -2.307895347476005554e-01
-1.005309700965881348e+00 -1.599999964237213135e-01 -1.275815665721893311e-01 -1.598176360130310059e-02 -2.336936965584754944e-01
-8.796459436416625977e-01 -1.400000005960464478e-01 -1.120077520608901978e-01 2.835206687450408936e-03 -2.145315557718276978e-01
-7.539822459220886230e-01 -1.199999973177909851e-01 -8.809025958180427551e-02 -1.491315662860870361e-02 -2.118171788752079010e-01
-6.283185482025146484e-01 -1.000000014901161194e-01 -7.686720788478851318e-02 -7.981806993484497070e-03 -1.845994666218757629e-01
-5.026548504829406738e-01 -7.999999821186065674e-02 -6.864811480045318604e-02 1.266103982925415039e-02 -1.233592554926872253e-01
-3.769911229610443115e-01 -5.999999865889549255e-02 -3.737895190715789795e-02 2.466347813606262207e-02 -1.065649017691612244e-01
-2.513274252414703369e-01 -3.999999910593032837e-02 -2.176340669393539429e-02 5.232600122690200806e-02 -9.214301779866218567e-02
-1.256637126207351685e-01 -1.999999955296516418e-02 -6.568349897861480713e-03 7.678857445716857910e-02 -7.932529225945472717e-02
4.440892098500626162e-16 7.067899007007528447e-17 9.712770581245422363e-03 9.123542159795761108e-02 -7.989993318915367126e-02
1.256637126207351685e-01 1.999999955296516418e-02 1.604853570461273193e-02 8.210536278784275055e-02 -8.076351322233676910e-02
2.513274252414703369e-01 3.999999910593032837e-02 1.551853865385055542e-02 9.602843597531318665e-02 -7.025559246540069580e-02
3.769911229610443115e-01 5.999999865889549255e-02 2.166937291622161865e-02 1.063163131475448608e-01 -9.659400954842567444e-02
5.026548504829406738e-01 7.999999821186065674e-02 2.788036316633224487e-02 1.234457343816757202e-01 -1.349745169281959534e-01
6.283185482025146484e-01 1.000000014901161194e-01 4.464144259691238403e-02 1.985842548310756683e-01 -1.416070684790611267e-01
7.539822459220886230e-01 1.199999973177909851e-01 7.163470238447189331e-02 2.048208527266979218e-01 -1.019193325191736221e-01
8.796459436416625977e-01 1.400000005960464478e-01 1.160020008683204651e-01 1.988186240196228027e-01 -1.944819651544094086e-02
1.005309700965881348e+00 1.599999964237213135e-01 1.425676494836807251e-01 1.940354630351066589e-01 3.712404798716306686e-02
1.130973339080810547e+00 1.800000071525573730e-01 1.611065939068794250e-01 2.270385511219501495e-01 7.226610928773880005e-02
1.256637096405029297e+00 2.000000029802322388e-01 1.806114315986633301e-01 2.708328440785408020e-01 1.143557615578174591e-01
1.382300734519958496e+00 2.199999988079071045e-01 2.204380482435226440e-01 3.279575854539871216e-01 1.328868083655834198e-01
1.507964491844177246e+00 2.399999946355819702e-01 2.678147554397583008e-01 3.791160583496093750e-01 1.619394607841968536e-01
1.633628129959106445e+00 2.599999904632568359e-01 3.203219026327133179e-01 4.088326990604400635e-01 2.109934687614440918e-01
1.759291887283325195e+00 2.800000011920928955e-01 3.387366235256195068e-01 4.188778698444366455e-01 2.522106617689132690e-01
1.884955644607543945e+00 3.000000119209289551e-01 3.330232352018356323e-01 4.120425581932067871e-01 2.793768495321273804e-01
2.010619401931762695e+00 3.199999928474426270e-01 3.243723958730697632e-01 3.852800726890563965e-01 2.437007427215576172e-01
2.136282920837402344e+00 3.400000035762786865e-01 3.087120801210403442e-01 4.032066389918327332e-01 1.630553379654884338e-01
2.261946678161621094e+00 3.600000143051147461e-01 2.856590896844863892e-01 3.820156455039978027e-01 1.004211045801639557e-01
2.387610435485839844e+00 3.799999952316284180e-01 2.515179663896560669e-01 3.362411186099052429e-01 8.368290960788726807e-02
2.513274192810058594e+00 4.000000059604644775e-01 1.851998269557952881e-01 3.018563613295555115e-01 8.276391774415969849e-03
2.638937711715698242e+00 4.199999868869781494e-01 1.294372826814651489e-01 3.108050897717475891e-01 -8.697904273867607117e-02
2.764601469039916992e+00 4.399999976158142090e-01 1.262394934892654419e-01 2.984929606318473816e-01 -1.309493966400623322e-01
2.890265226364135742e+00 4.600000083446502686e-01 5.742370337247848511e-02 3.123552873730659485e-01 -1.871580071747303009e-01
3.015928983688354492e+00 4.799999892711639404e-01 -3.192521352320909500e-02 2.998349890112876892e-01 -2.622540965676307678e-01
3.141592741012573242e+00 5.000000000000000000e-01 -6.286258995532989502e-02 2.764777019619941711e-01 -3.185190185904502869e-01
