x y y_pred y_pred_upper y_pred_lower
-3.141592741012573242e+00 -5.000000000000000000e-01 1.386308670043945312e-02 1.128577403724193573e-01 -1.078116372227668762e-01
-3.015928983688354492e+00 -4.799999892711639404e-01 -1.604910567402839661e-02 8.900283835828304291e-02 -1.232864968478679657e-01
-2.890265226364135742e+00 -4.600000083446502686e-01 -3.213274478912353516e-02 7.898081466555595398e-02 -1.188381984829902649e-01
-2.764601469039916992e+00 -4.399999976158142090e-01 -3.624837100505828857e-02 6.605874001979827881e-02 -1.359081789851188660e-01
-2.638937711715698242e+00 -4.199999868869781494e-01 -4.383330047130584717e-02 6.119133532047271729e-02 -1.412596777081489563e-01
-2.513274192810058594e+00 -4.000000059604644775e-01 -5.511596798896789551e-02 2.812828868627548218e-02 -1.437960192561149597e-01
-2.387610435485839844e+00 -3.799999952316284180e-01 -7.023773342370986938e-02 5.389120429754257202e-03 -1.548312082886695862e-01
-2.261946678161621094e+00 -3.600000143051147461e-01 -9.554774314165115356e-02 -3.126417100429534912e-02 -1.609911620616912842e-01
-2.136282920837402344e+00 -3.400000035762786865e-01 -1.144258081912994385e-01 -5.778977274894714355e-02 -1.758421212434768677e-01
-2.010619401931762695e+00 -3.199999928474426270e-01 -1.403320431709289551e-01 -7.809237390756607056e-02 -1.970665827393531799e-01
-1.884955644607543945e+00 -3.000000119209289551e-01 -1.501911506056785583e-01 -9.669855982065200806e-02 -2.058324217796325684e-01
-1.759291887283325195e+00 -2.800000011920928955e-01 -1.529038250446319580e-01 -8.362438902258872986e-02 -2.162353992462158203e-01
-1.633628129959106445e+00 -2.599999904632568359e-01 -1.452647447586059570e-01 -9.405490010976791382e-02 -1.966331526637077332e-01
-1.507964491844177246e+00 -2.399999946355819702e-01 -1.310114562511444092e-01 -6.957650184631347656e-02 -1.777979359030723572e-01
-1.382300734519958496e+00 -2.199999988079071045e-01 -1.048294752836227417e-01 -3.640291094779968262e-02 -1.708800345659255981e-01
-1.256637096405029297e+00 -2.000000029802322388e-01 -7.855010032653808594e-02 -1.896025985479354858e-02 -1.535615772008895874e-01
-1.130973339080810547e+00 -1.800000071525573730e-01 -6.589033640921115875e-02 2.493932843208312988e-04 -1.424981281161308289e-01
-1.005309700965881348e+00 -1.599999964237213135e-01 -5.969005823135375977e-02 1.620571315288543701e-02 -1.355241611599922180e-01
-8.796459436416625977e-01 -1.400000005960464478e-01 -5.423257686197757721e-02 1.143770664930343628e-02 -1.417812332510948181e-01
-7.539822459220886230e-01 -1.199999973177909851e-01 -6.438763439655303955e-02 8.797176182270050049e-03 -1.299003474414348602e-01
-6.283185482025146484e-01 -1.000000014901161194e-01 -6.040328741073608398e-02 4.895515739917755127e-03 -1.325432881712913513e-01
-5.026548504829406738e-01 -7.999999821186065674e-02 -5.867958068847656250e-02 1.262951269745826721e-02 -1.160075366497039795e-01
-3.769911229610443115e-01 -5.999999865889549255e-02 -5.560079216957092285e-02 1.382689177989959717e-02 -9.488634765148162842e-02
-2.513274252414703369e-01 -3.999999910593032837e-02 -4.199356213212013245e-02 3.621748462319374084e-02 -8.288278430700302124e-02
-1.256637126207351685e-01 -1.999999955296516418e-02 -2.151343226432800293e-02 4.356583952903747559e-02 -6.168855354189872742e-02
4.440892098500626162e-16 7.067899007007528447e-17 1.186907291412353516e-03 5.395630002021789551e-02 -4.463376849889755249e-02
