x y y_pred y_pred_upper y_pred_lower
-3.141592741012573242e+00 -5.000000000000000000e-01 -4.595854580402374268e-01 -3.960439339280128479e-01 -4.998933300375938416e-01
-3.015928983688354492e+00 -4.799999892711639404e-01 -4.675376117229461670e-01 -4.080730229616165161e-01 -4.926727414131164551e-01
-2.890265226364135742e+00 -4.600000083446502686e-01 -4.630700498819351196e-01 -4.160457327961921692e-01 -4.857001677155494690e-01
-2.764601469039916992e+00 -4.399999976158142090e-01 -4.508173018693923950e-01 -4.273214191198348999e-01 -4.755796715617179871e-01
-2.638937711715698242e+00 -4.199999868869781494e-01 -4.342321455478668213e-01 -4.098399430513381958e-01 -4.633294865489006042e-01
-2.513274192810058594e+00 -4.000000059604644775e-01 -4.161120355129241943e-01 -3.931129500269889832e-01 -4.477049335837364197e-01
-2.387610435485839844e+00 -3.799999952316284180e-01 -3.935971260070800781e-01 -3.723820224404335022e-01 -4.254845082759857178e-01
-2.261946678161621094e+00 -3.600000143051147461e-01 -3.664421290159225464e-01 -3.496189638972282410e-01 -3.966004252433776855e-01
-2.136282920837402344e+00 -3.400000035762786865e-01 -3.436123877763748169e-01 -3.232213556766510010e-01 -3.665596768260002136e-01
-2.010619401931762695e+00 -3.199999928474426270e-01 -3.164042979478836060e-01 -2.967938408255577087e-01 -3.398611918091773987e-01
-1.884955644607543945e+00 -3.000000119209289551e-01 -2.896589934825897217e-01 -2.734298631548881531e-01 -3.084390684962272644e-01
-1.759291887283325195e+00 -2.800000011920928955e-01 -2.673986703157424927e-01 -2.418181896209716797e-01 -2.845780551433563232e-01
-1.633628129959106445e+00 -2.599999904632568359e-01 -2.429205179214477539e-01 -2.155296728014945984e-01 -2.589394152164459229e-01
-1.507964491844177246e+00 -2.399999946355819702e-01 -2.202862426638603210e-01 -1.974602416157722473e-01 -2.358686625957489014e-01
-1.382300734519958496e+00 -2.199999988079071045e-01 -1.995179802179336548e-01 -1.721683293581008911e-01 -2.147936299443244934e-01
-1.256637096405029297e+00 -2.000000029802322388e-01 -1.784229278564453125e-01 -1.491269320249557495e-01 -1.987767294049263000e-01
-1.130973339080810547e+00 -1.800000071525573730e-01 -1.583475619554519653e-01 -1.242195591330528259e-01 -1.809104755520820618e-01
-1.005309700965881348e+00 -1.599999964237213135e-01 -1.432404071092605591e-01 -1.065461933612823486e-01 -1.647392101585865021e-01
-8.796459436416625977e-01 -1.400000005960464478e-01 -1.310803741216659546e-01 -8.724411576986312866e-02 -1.509535163640975952e-01
-7.539822459220886230e-01 -1.199999973177909851e-01 -1.157274395227432251e-01 -7.741872221231460571e-02 -1.369541212916374207e-01
-6.283185482025146484e-01 -1.000000014901161194e-01 -9.897479414939880371e-02 -7.271306216716766357e-02 -1.238063722848892212e-01
-5.026548504829406738e-01 -7.999999821186065674e-02 -8.448784053325653076e-02 -6.648690253496170044e-02 -1.093710884451866150e-01
-3.769911229610443115e-01 -5.999999865889549255e-02 -7.027032971382141113e-02 -4.650753363966941833e-02 -9.118897095322608948e-02
-2.513274252414703369e-01 -3.999999910593032837e-02 -5.301140993833541870e-02 -3.293430060148239136e-02 -7.165522873401641846e-02
-1.256637126207351685e-01 -1.999999955296516418e-02 -3.641888499259948730e-02 -1.778975874185562134e-02 -5.412369221448898315e-02
4.440892098500626162e-16 7.067899007007528447e-17 -1.482299715280532837e-02 4.438422620296478271e-04 -3.660437464714050293e-02
1.256637126207351685e-01 1.999999955296516418e-02 8.776254951953887939e-03 2.138467319309711456e-02 -1.706967875361442566e-02
2.513274252414703369e-01 3.999999910593032837e-02 3.009963780641555786e-02 4.264374449849128723e-02 4.054348915815353394e-03
3.769911229610443115e-01 5.999999865889549255e-02 5.158014595508575439e-02 6.593381613492965698e-02 1.824077963829040527e-02
5.026548504829406738e-01 7.999999821186065674e-02 7.496824115514755249e-02 9.329315833747386932e-02 3.345773369073867798e-02
6.283185482025146484e-01 1.000000014901161194e-01 9.982313960790634155e-02 1.185741368681192398e-01 4.824890941381454468e-02
7.539822459220886230e-01 1.199999973177909851e-01 1.236152425408363342e-01 1.398455426096916199e-01 7.358742505311965942e-02
8.796459436416625977e-01 1.400000005960464478e-01 1.475384086370468140e-01 1.638937667012214661e-01 1.049692258238792419e-01
1.005309700965881348e+00 1.599999964237213135e-01 1.680928096175193787e-01 1.873874962329864502e-01 1.367056630551815033e-01
1.130973339080810547e+00 1.800000071525573730e-01 1.880433559417724609e-01 2.100622281432151794e-01 1.580872461199760437e-01
1.256637096405029297e+00 2.000000029802322388e-01 2.107321023941040039e-01 2.294021882116794586e-01 1.839881837368011475e-01
1.382300734519958496e+00 2.199999988079071045e-01 2.296290397644042969e-01 2.476017922163009644e-01 2.098951600492000580e-01
1.507964491844177246e+00 2.399999946355819702e-01 2.465494722127914429e-01 2.653503417968750000e-01 2.278082966804504395e-01
1.633628129959106445e+00 2.599999904632568359e-01 2.627515196800231934e-01 2.834226489067077637e-01 2.461941912770271301e-01
1.759291887283325195e+00 2.800000011920928955e-01 2.804915308952331543e-01 3.019113242626190186e-01 2.626488506793975830e-01
1.884955644607543945e+00 3.000000119209289551e-01 2.994207739830017090e-01 3.150293380022048950e-01 2.801408246159553528e-01
2.010619401931762695e+00 3.199999928474426270e-01 3.151953369379043579e-01 3.328584656119346619e-01 2.986659258604049683e-01
2.136282920837402344e+00 3.400000035762786865e-01 3.312961161136627197e-01 3.522950485348701477e-01 3.118865117430686951e-01
2.261946678161621094e+00 3.600000143051147461e-01 3.497174233198165894e-01 3.657421767711639404e-01 3.281429186463356018e-01
2.387610435485839844e+00 3.799999952316284180e-01 3.689648509025573730e-01 3.824599459767341614e-01 3.448651731014251709e-01
2.513274192810058594e+00 4.000000059604644775e-01 3.864115476608276367e-01 3.995289355516433716e-01 3.623472154140472412e-01
2.638937711715698242e+00 4.199999868869781494e-01 4.038455337285995483e-01 4.208461120724678040e-01 3.832395672798156738e-01
2.764601469039916992e+00 4.399999976158142090e-01 4.257306009531021118e-01 4.445781484246253967e-01 4.008237645030021667e-01
2.890265226364135742e+00 4.600000083446502686e-01 4.461158215999603271e-01 4.697738736867904663e-01 4.236611872911453247e-01
3.015928983688354492e+00 4.799999892711639404e-01 4.749083071947097778e-01 4.966653510928153992e-01 4.361508786678314209e-01
3.141592741012573242e+00 5.000000000000000000e-01 5.007896721363067627e-01 5.229402333498001099e-01 4.444588124752044678e-01
