RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1190,60%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 13% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 775/775 	 1085/1085 CV 0/0 VDDRQ 310/310 SYS5V 1768/1768
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1190,0%@1190,33%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 15% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 775/775 	 930/1007 CV 0/0 VDDRQ 310/310 SYS5V 1728/1748
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [50%@1599,66%@2187,33%@2187,33%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 10%@318 APE 150 MTS fg 0% bg 29% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/826 	 1085/1033 CV 0/0 VDDRQ 465/361 SYS5V 1768/1754
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [40%@1420,33%@1420,40%@1420,33%@1420,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 24%@318 APE 150 MTS fg 0% bg 11% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/852 	 1085/1046 CV 0/0 VDDRQ 465/387 SYS5V 1768/1758
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [66%@1190,0%@1190,50%@1190,33%@1264,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 10%@318 APE 150 MTS fg 1% bg 9% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/868 	 1085/1054 CV 0/0 VDDRQ 465/403 SYS5V 1768/1760
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1260,0%@1190,25%@1190,0%@1335,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 14%@318 APE 150 MTS fg 0% bg 8% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/878 	 1085/1059 CV 0/0 VDDRQ 465/413 SYS5V 1768/1761
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [66%@1190,33%@1190,0%@1190,50%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 14%@318 APE 150 MTS fg 0% bg 9% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/885 	 1085/1062 CV 0/0 VDDRQ 465/420 SYS5V 1768/1762
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 14%@318 APE 150 MTS fg 0% bg 8% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/891 	 1085/1065 CV 0/0 VDDRQ 465/426 SYS5V 1768/1763
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@1190,33%@1190,33%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 7% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.1C Tboard@27C GPU 465/465 	 930/895 	 1085/1067 CV 0/0 VDDRQ 465/430 SYS5V 1768/1763
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [25%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 465/465 	 930/899 	 1085/1069 CV 0/0 VDDRQ 465/434 SYS5V 1768/1764
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [50%@1190,50%@1190,66%@1190,66%@1262,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 27% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 465/465 	 930/901 	 1085/1070 CV 0/0 VDDRQ 465/436 SYS5V 1808/1768
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@2187,0%@2188,33%@2187,33%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 4%@318 APE 150 MTS fg 0% bg 8% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@24.5C 	@26C thermal@25.15C Tboard@27C GPU 465/465 	 930/904 	 1085/1072 CV 0/0 VDDRQ 465/439 SYS5V 1808/1771
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1774,33%@1804,25%@1804,75%@1804,off,off,off,off] EMC_FREQ 2%@665 GR3D_FREQ 16%@318 APE 150 MTS fg 0% bg 21% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 465/465 	 930/906 	 1085/1073 CV 0/0 VDDRQ 465/441 SYS5V 1808/1774
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@2187,33%@2187,50%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 85%@318 APE 150 MTS fg 0% bg 12% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 620/476 	 1085/918 	 1085/1073 CV 0/0 VDDRQ 465/442 SYS5V 1808/1776
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@2187,33%@2187,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 89%@318 APE 150 MTS fg 0% bg 10% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 620/485 	 1240/940 	 1084/1074 CV 0/0 VDDRQ 465/444 SYS5V 1848/1781
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1521,0%@1265,50%@2038,66%@2186,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 55%@624 APE 150 MTS fg 0% bg 21% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@24.5C 	@26.5C thermal@25.15C Tboard@27C GPU 620/494 	 1239/959 	 1084/1075 CV 0/0 VDDRQ 465/445 SYS5V 1848/1785
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@2187,0%@2187,66%@2187,0%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 35%@624 APE 150 MTS fg 0% bg 17% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 620/501 	 1239/975 	 1084/1075 CV 0/0 VDDRQ 465/446 SYS5V 1848/1789
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1423,25%@1420,0%@1420,0%@1420,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 14%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/508 	 1239/990 	 1084/1076 CV 0/0 VDDRQ 465/447 SYS5V 1889/1794
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 5% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@24.5C 	@26C thermal@25.15C Tboard@27C GPU 620/513 	 1239/1003 	 1084/1076 CV 0/0 VDDRQ 465/448 SYS5V 1889/1799
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/519 	 1239/1015 	 1084/1076 CV 0/0 VDDRQ 465/449 SYS5V 1848/1802
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/524 	 1085/1018 	 1084/1077 CV 0/0 VDDRQ 465/450 SYS5V 1848/1804
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/528 	 1085/1021 	 1085/1077 CV 0/0 VDDRQ 465/450 SYS5V 1848/1806
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@1190,0%@1190,50%@1190,33%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/532 	 1085/1024 	 1085/1077 CV 0/0 VDDRQ 465/451 SYS5V 1848/1808
RAM 4362/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 2%@420 APE 150 MTS fg 0% bg 7% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26C thermal@25.15C Tboard@27C GPU 620/536 	 1085/1026 	 1085/1078 CV 0/0 VDDRQ 465/452 SYS5V 1848/1809
RAM 4365/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [40%@1190,50%@1190,50%@1190,75%@1467,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 2% bg 17% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 620/539 	 1085/1029 	 1085/1078 CV 0/0 VDDRQ 465/452 SYS5V 1848/1811
RAM 4365/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [100%@2187,100%@2187,100%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 16%@420 APE 150 MTS fg 5% bg 14% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@27C thermal@25.15C Tboard@27C GPU 620/542 	 1239/1037 	 1084/1078 CV 0/0 VDDRQ 465/453 SYS5V 1889/1814
RAM 4365/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@2187,100%@2187,0%@2187,33%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 47%@420 APE 150 MTS fg 0% bg 12% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 620/545 	 1394/1050 	 1084/1078 CV 0/0 VDDRQ 465/453 SYS5V 1889/1817
RAM 4366/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [0%@2187,100%@2186,0%@2186,0%@2186,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@27C thermal@25.15C Tboard@27C GPU 619/548 	 1394/1062 	 1239/1084 CV 0/0 VDDRQ 465/453 SYS5V 1929/1821
RAM 4367/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@2109,100%@1188,0%@1190,33%@1190,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 9% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@27C thermal@25.15C Tboard@27C GPU 619/550 	 1394/1074 	 1239/1089 CV 0/0 VDDRQ 465/454 SYS5V 1929/1824
RAM 4368/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) 	 [33%@2187,100%@2187,0%@2187,0%@2186,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C 	@26.5C thermal@25.15C Tboard@27C GPU 619/552 	 1549/1089 	 1239/1094 CV 0/0 VDDRQ 465/454 SYS5V 1929/1828
