id, x, y, label, color, size
vflat0, 2.282, 1.476, v0, orange, 0.25
vflat1, 1.625, 2.602, v1, orange, 0.25
vflat2, 1.639, 1.833, v2, orange, 0.25
vflat3, 2.276, 2.242, v3, orange, 0.25
vflat4, 2.268, 3.015, v4, orange, 0.25
vflat5, 2.009, 3.318, v7, cyan, 0.20
vflat6, 2.375, 2.656, v8, cyan, 0.20
vflat7, 2.647, 2.976, v11, cyan, 0.20
vflat8, 1.561, 2.206, v14, cyan, 0.20
vflat9, 1.253, 1.754, v16, cyan, 0.20
vflat10, 2.116, 1.061, v17, cyan, 0.20
vflat11, 1.359, 1.476, v18, cyan, 0.20
vflat12, 2.422, 1.162, v19, cyan, 0.20
vflat13, 2.695, 2.351, v20, cyan, 0.20
vflat14, 1.986, 2.018, v25, cyan, 0.20
vflat15, 1.288, 1.952, v26, cyan, 0.20
vflat16, 1.970, 2.438, v31, cyan, 0.20
vflat17, 1.518, 1.519, v42, cyan, 0.20
vflat18, 1.640, 2.956, v44, cyan, 0.20
vflat19, 2.618, 1.393, v47, cyan, 0.20
vflat20, 1.917, 2.929, v49, cyan, 0.20
vflat21, 1.842, 1.688, v50, cyan, 0.20
vflat22, 1.336, 2.838, v51, cyan, 0.20
vflat23, 2.525, 2.371, v54, cyan, 0.20
vflat24, 1.406, 2.961, v55, cyan, 0.20
vflat25, 2.246, 3.361, v65, cyan, 0.20
vflat26, 1.850, 1.440, v66, cyan, 0.20
vflat27, 1.315, 2.458, v67, cyan, 0.20
vflat28, 2.556, 3.232, v73, cyan, 0.20
vflat29, 1.874, 2.727, v83, cyan, 0.20
vflat30, 2.624, 2.075, v84, cyan, 0.20
vflat31, 1.949, 1.543, v95, cyan, 0.20
vflat32, 1.253, 2.664, v99, cyan, 0.20
vflat33, 2.395, 1.851, v100, cyan, 0.20
