id, x, y, label, color, size
hvflat0, 4.121, 2.016, v0, orange, 0.25
hvflat1, 3.974, 4.058, v1, orange, 0.25
hvflat2, 4.522, 2.915, v2, orange, 0.25
hvflat3, 3.688, 3.258, v3, orange, 0.25
hvflat4, 2.920, 4.326, v4, orange, 0.25
hvflat5, 2.429, 4.617, v5, cyan, 0.20
hvflat6, 3.201, 3.772, v6, cyan, 0.20
hvflat7, 2.394, 4.364, v7, cyan, 0.20
hvflat8, 4.367, 3.539, v8, cyan, 0.20
hvflat9, 4.921, 2.488, v9, cyan, 0.20
hvflat10, 3.963, 1.515, v10, cyan, 0.20
hvflat11, 4.698, 2.563, v11, cyan, 0.20
hvflat12, 4.500, 1.606, v12, cyan, 0.20
hvflat13, 4.040, 3.422, v13, cyan, 0.20
hvflat14, 4.119, 3.025, v14, cyan, 0.20
hvflat15, 5.000, 2.789, v15, cyan, 0.20
hvflat16, 3.782, 3.702, v16, cyan, 0.20
hvflat17, 4.983, 3.045, v17, cyan, 0.20
hvflat18, 3.595, 4.163, v18, cyan, 0.20
hvflat19, 4.226, 1.468, v19, cyan, 0.20
hvflat20, 3.384, 4.363, v20, cyan, 0.20
hvflat21, 4.851, 3.236, v21, cyan, 0.20
hvflat22, 4.356, 4.323, v22, cyan, 0.20
hvflat23, 3.296, 3.289, v23, cyan, 0.20
hvflat24, 3.715, 4.520, v24, cyan, 0.20
hvflat25, 2.919, 4.858, v25, cyan, 0.20
hvflat26, 4.319, 2.390, v26, cyan, 0.20
hvflat27, 3.933, 4.593, v27, cyan, 0.20
hvflat28, 2.639, 4.783, v28, cyan, 0.20
hvflat29, 4.173, 4.489, v29, cyan, 0.20
hvflat30, 3.482, 2.937, v30, cyan, 0.20
hvflat31, 4.516, 2.281, v31, cyan, 0.20
hvflat32, 4.429, 4.095, v32, cyan, 0.20
hvflat33, 3.825, 2.583, v33, cyan, 0.20
hvflat34, 1.619, 2.112, v34, orange, 0.25
hvflat35, 1.828, 1.453, v35, cyan, 0.20
hvflat36, 1.561, 2.569, v36, cyan, 0.20
hvflat37, 1.583, 2.791, v37, cyan, 0.20
hvflat38, 1.042, 1.976, v38, cyan, 0.20
hvflat39, 1.129, 2.588, v39, cyan, 0.20
hvflat40, 0.984, 2.188, v40, cyan, 0.20
hvflat41, 2.206, 2.192, v41, cyan, 0.20
hvflat42, 1.828, 2.571, v42, cyan, 0.20
hvflat43, 1.782, 2.745, v43, cyan, 0.20
hvflat44, 1.364, 2.771, v44, cyan, 0.20
hvflat45, 1.290, 2.611, v45, cyan, 0.20
hvflat46, 1.372, 2.366, v46, cyan, 0.20
hvflat47, 1.057, 2.407, v47, cyan, 0.20
hvflat48, 1.166, 2.200, v48, cyan, 0.20
hvflat49, 1.302, 1.953, v49, cyan, 0.20
hvflat50, 1.574, 1.766, v50, cyan, 0.20
hvflat51, 1.689, 1.541, v51, cyan, 0.20
hvflat52, 1.375, 1.569, v52, cyan, 0.20
hvflat53, 1.888, 1.758, v53, cyan, 0.20
hvflat54, 1.246, 1.674, v54, cyan, 0.20
hvflat55, 1.527, 1.465, v55, cyan, 0.20
hvflat56, 2.005, 1.542, v56, cyan, 0.20
hvflat57, 2.139, 1.666, v57, cyan, 0.20
hvflat58, 2.029, 2.568, v58, cyan, 0.20
hvflat59, 1.982, 2.026, v59, cyan, 0.20
hvflat60, 2.235, 1.999, v60, cyan, 0.20
hvflat61, 2.126, 2.372, v61, cyan, 0.20
hvflat62, 1.895, 2.327, v62, cyan, 0.20
hvflat63, 2.190, 1.837, v63, cyan, 0.20
hvflat64, 1.115, 1.789, v64, cyan, 0.20
