id, x, y, label, color, layer
plv0, 2.531, 2.267, v0, orange, 3
plv1, 3.328, 2.249, v1, orange, 3
plv2, 1.749, 2.094, v2, orange, 3
plv3, 2.359, 3.068, v3, orange, 3
plv4, 1.998, 1.651, v4, orange, 3
plv5, 2.962, 2.308, v10, cyan, 4
plv6, 2.153, 2.439, v14, cyan, 4
plv7, 2.128, 2.012, v15, cyan, 4
plv8, 3.676, 2.162, v27, cyan, 4
plv9, 1.492, 2.311, v34, cyan, 4
plv10, 3.430, 1.836, v35, cyan, 4
plv11, 2.187, 2.223, v48, cyan, 4
plv12, 3.490, 2.641, v60, cyan, 4
plv13, 2.647, 2.636, v68, cyan, 4
plv14, 2.640, 3.322, v70, cyan, 4
plv15, 2.402, 1.831, v82, cyan, 4
plv16, 2.441, 2.713, v91, cyan, 4
plv17, 2.245, 2.583, v96, cyan, 4
plv18, 2.765, 1.851, v98, cyan, 4
plv19, 2.837, 2.546, v99, cyan, 4
plv20, 2.569, 1.908, v100, cyan, 4
plv21, 2.864, 2.089, v104, cyan, 4
