thr,lut
2.136230468750000000e+04,5.345286836757162809e+08
7.120768229166666970e+03,3.826389894515321851e+08
7.120768229166666970e+03,3.630852685952534080e+08
7.120768229166666970e+03,3.533084081671140790e+08
3.560384114583333485e+03,3.435315477389747500e+08
7.120768229166666970e+03,3.433443074819606543e+08
3.560384114583333485e+03,3.383622571393839121e+08
7.120768229166666970e+03,1.949604243402615190e+08
3.560384114583333485e+03,1.207684827694119662e+08
3.560384114583333485e+03,1.568487107291363776e+08
3.560384114583333485e+03,1.871237246044794917e+08
3.560384114583333485e+03,1.909484543438634574e+08
7.120768229166666970e+03,1.938960038825460970e+08
7.120768229166666970e+03,1.933637936536884010e+08
7.120768229166666970e+03,1.928315834248307049e+08
3.560384114583333485e+03,1.925654783104018569e+08
3.560384114583333485e+03,1.914067289274157882e+08
7.120768229166666970e+03,1.913966213555375040e+08
7.120768229166666970e+03,1.906791403208908737e+08
7.120768229166666970e+03,1.899616592862442732e+08
3.560384114583333485e+03,1.896029187689209878e+08
3.560384114583333485e+03,1.829982104203824699e+08
7.120768229166666970e+03,1.867757258955780566e+08
7.120768229166666970e+03,1.835897925049118102e+08
7.120768229166666970e+03,1.819968258095786870e+08
7.120768229166666970e+03,1.804038591142455637e+08
7.120768229166666970e+03,1.796073757665790021e+08
7.120768229166666970e+03,1.788108924189124405e+08
7.120768229166666970e+03,1.784126507450791597e+08
7.120768229166666970e+03,1.780144090712458789e+08
3.560384114583333485e+03,1.776161673974125981e+08
3.560384114583333485e+03,1.399026954601207674e+08
3.560384114583333485e+03,1.330360760705173016e+08
2.373589409722222172e+03,1.296027663757155985e+08
3.560384114583333485e+03,1.299941864202978462e+08
2.373589409722222172e+03,1.269522967700783759e+08
3.560384114583333485e+03,7.374873125375311077e+07
1.780192057291666742e+03,4.562600367048073560e+07
2.373589409722222172e+03,5.406854422002205253e+07
2.670288085937500000e+03,7.080046173204068840e+07
2.373589409722222172e+03,7.119188177662299573e+07
3.560384114583333485e+03,7.348262613932426274e+07
3.560384114583333485e+03,7.321652102489541471e+07
2.373589409722222172e+03,7.308346846768099070e+07
