thr,lut
1.158979203965928795e+00,5.424712622288257116e+05
2.317958407931857590e+00,5.491979784660512814e+05
3.476937611897786606e+00,5.559246947032772005e+05
4.635916815863715179e+00,5.626514109405031195e+05
6.953875223795573213e+00,8.166265266353655607e+05
9.271833631727430358e+00,8.300799591098172823e+05
1.390775044759114643e+01,1.338030190499542281e+06
1.854366726345486072e+01,1.364937055448445491e+06
2.781550089518229285e+01,2.380837518227895256e+06
3.708733452690972143e+01,2.434651248125702143e+06
7.417466905381944287e+01,4.017397488845804706e+06
1.112620035807291714e+02,4.875346120903521776e+06
1.483493381076388857e+02,5.989637827965002507e+06
1.668930053710937500e+02,7.540908650037277490e+06
2.225240071614583428e+02,7.731865647858833894e+06
2.966986762152777715e+02,9.150641980051076040e+06
3.337860107421875000e+02,1.231139471081427671e+07
4.450480143229166856e+02,1.263509761983872764e+07
5.933973524305555429e+02,1.549283288766538724e+07
6.675720214843750000e+02,2.052082038447727263e+07
8.900960286458333712e+02,2.113019771934969723e+07
1.186794704861111086e+03,2.684566825500302762e+07
1.335144042968750000e+03,3.693967173180326819e+07
1.780192057291666742e+03,3.812039791837164015e+07
2.373589409722222172e+03,4.955133898967827111e+07
2.670288085937500000e+03,7.080046173204068840e+07
3.560384114583333485e+03,7.210079831641553342e+07
7.120768229166666970e+03,1.780144090712458789e+08
2.136230468750000000e+04,5.345286836757162809e+08
