thr,lut
2.136230468750000000e+04,1.381862323092669678e+10
1.068115234375000000e+04,7.310157435962192535e+09
5.340576171875000000e+03,6.920078158723167419e+09
1.068115234375000000e+04,6.981217221140658379e+09
5.340576171875000000e+03,6.816747113729884148e+09
5.340576171875000000e+03,3.806417067423480988e+09
5.340576171875000000e+03,3.726984323658408165e+09
5.340576171875000000e+03,6.720952332044800758e+09
1.068115234375000000e+04,6.969879805562779427e+09
5.340576171875000000e+03,6.964211097773839951e+09
5.340576171875000000e+03,6.952919836987169266e+09
1.068115234375000000e+04,6.955578057092277527e+09
5.340576171875000000e+03,6.948427182857027054e+09
5.340576171875000000e+03,6.936069448278779984e+09
1.068115234375000000e+04,6.938600597210013390e+09
1.068115234375000000e+04,6.930111867268880844e+09
5.340576171875000000e+03,6.925867502298315048e+09
5.340576171875000000e+03,3.675878969786630630e+09
2.670288085937500000e+03,3.480521274762363434e+09
5.340576171875000000e+03,3.511408862375859737e+09
2.670288085937500000e+03,3.429173808670474052e+09
2.670288085937500000e+03,1.910608164894712448e+09
2.670288085937500000e+03,1.884292413634734392e+09
2.670288085937500000e+03,3.380958361423185349e+09
5.340576171875000000e+03,3.505740154586920261e+09
2.670288085937500000e+03,3.502905800692450047e+09
2.670288085937500000e+03,3.497246341759778023e+09
5.340576171875000000e+03,3.498589280351669312e+09
2.670288085937500000e+03,3.495013843234043598e+09
2.670288085937500000e+03,3.492485418139912605e+09
5.340576171875000000e+03,3.494344915381103039e+09
2.670288085937500000e+03,3.492222732895820141e+09
2.670288085937500000e+03,1.867228466639977694e+09
1.335144042968750000e+03,1.769231562723095655e+09
2.670288085937500000e+03,1.784993412934592962e+09
1.335144042968750000e+03,1.743875886081899405e+09
1.335144042968750000e+03,9.711924435714609623e+08
1.335144042968750000e+03,9.714351885640300512e+08
1.335144042968750000e+03,1.719450106053505898e+09
2.670288085937500000e+03,1.782159059040123224e+09
1.335144042968750000e+03,1.780741882092888117e+09
1.335144042968750000e+03,1.777898324087215185e+09
2.670288085937500000e+03,1.778583621922497749e+09
1.335144042968750000e+03,1.776795903363684893e+09
1.335144042968750000e+03,1.774949055137377739e+09
2.670288085937500000e+03,1.776461439437214613e+09
1.335144042968750000e+03,1.775400348194573164e+09
1.335144042968750000e+03,9.629032150666517019e+08
6.675720214843750000e+02,9.135867067034627199e+08
1.335144042968750000e+03,9.217856882139589787e+08
6.675720214843750000e+02,9.012269247876131535e+08
6.675720214843750000e+02,5.014845829098349214e+08
6.675720214843750000e+02,5.150065760286773443e+08
6.675720214843750000e+02,8.886959783686667681e+08
1.335144042968750000e+03,9.203685112667239904e+08
6.675720214843750000e+02,9.196599227931065559e+08
6.675720214843750000e+02,9.182243152509331703e+08
1.335144042968750000e+03,9.185807927079113722e+08
6.675720214843750000e+02,9.176869334285049438e+08
6.675720214843750000e+02,9.161808736361097097e+08
1.335144042968750000e+03,9.175197014652698040e+08
6.675720214843750000e+02,5.107405892799881697e+08
3.337860107421875000e+02,4.857642786936448216e+08
6.675720214843750000e+02,4.901818258536425829e+08
3.337860107421875000e+02,4.799024441404690742e+08
3.337860107421875000e+02,2.666306525790221989e+08
3.337860107421875000e+02,2.867922697610016465e+08
3.337860107421875000e+02,4.733189145262474418e+08
6.675720214843750000e+02,4.894732373800251484e+08
3.337860107421875000e+02,4.891189431432163715e+08
3.337860107421875000e+02,4.883873108327927589e+08
6.675720214843750000e+02,4.885793781006187201e+08
3.337860107421875000e+02,4.881324484609155655e+08
3.337860107421875000e+02,4.867967828854763508e+08
3.337860107421875000e+02,2.851898220079778433e+08
1.668930053710937500e+02,2.723836103100574017e+08
3.337860107421875000e+02,2.749104402948049307e+08
1.668930053710937500e+02,2.697707494382181764e+08
1.668930053710937500e+02,1.497342330349366367e+08
1.668930053710937500e+02,1.732156622484844923e+08
1.668930053710937500e+02,2.661609282263587713e+08
3.337860107421875000e+02,2.745561460579962134e+08
1.668930053710937500e+02,2.743789989395918250e+08
1.668930053710937500e+02,2.739993542450431585e+08
3.337860107421875000e+02,2.741092164182929993e+08
1.668930053710937500e+02,2.738857515984414220e+08
1.668930053710937500e+02,2.723707157643405199e+08
1.668930053710937500e+02,1.724144383719725609e+08
8.344650268554687500e+01,1.656932761182635128e+08
1.668930053710937500e+02,1.672747475153858960e+08
8.344650268554687500e+01,1.647049020870926976e+08
8.344650268554687500e+01,9.128602326289384067e+07
8.344650268554687500e+01,1.164273584922258705e+08
8.344650268554687500e+01,1.625819350764141977e+08
1.668930053710937500e+02,1.670976003969815373e+08
8.344650268554687500e+01,1.670090268377793431e+08
8.344650268554687500e+01,1.668053759511680901e+08
1.668930053710937500e+02,1.668741355771299303e+08
8.344650268554687500e+01,1.667624031672041416e+08
8.344650268554687500e+01,1.651576822037723958e+08
8.344650268554687500e+01,1.160267465539699197e+08
4.172325134277343750e+01,1.123481090223665833e+08
8.344650268554687500e+01,1.134569011256765574e+08
4.172325134277343750e+01,1.121719784115299582e+08
4.172325134277343750e+01,6.206191837687245756e+07
4.172325134277343750e+01,8.803320661409656703e+07
4.172325134277343750e+01,1.107924385014419258e+08
8.344650268554687500e+01,1.133683275664743781e+08
4.172325134277343750e+01,1.133240407868732810e+08
4.172325134277343750e+01,1.132083868042307496e+08
8.344650268554687500e+01,1.132565951565485746e+08
4.172325134277343750e+01,1.132007289515856802e+08
4.172325134277343750e+01,1.115511654234885275e+08
4.172325134277343750e+01,8.783290064496858418e+07
2.086162567138671875e+01,8.567552547441817820e+07
4.172325134277343750e+01,8.654797793082192540e+07
2.086162567138671875e+01,4.744986593386172503e+07
2.086162567138671875e+01,8.489769021395583451e+07
4.172325134277343750e+01,8.650369115122082829e+07
2.086162567138671875e+01,8.640989223076212406e+07
4.172325134277343750e+01,8.644782494625793397e+07
2.086162567138671875e+01,8.474790703334662318e+07
2.086162567138671875e+01,8.479753722939184308e+07
2.086162567138671875e+01,4.569942523243167251e+07
1.043081283569335938e+01,2.615036923395156860e+07
1.043081283569335938e+01,4.487428137399861962e+07
2.086162567138671875e+01,4.562767359256792814e+07
1.043081283569335938e+01,4.559179777263605595e+07
2.086162567138671875e+01,4.392775567965661734e+07
1.043081283569335938e+01,4.307779672320096195e+07
1.043081283569335938e+01,4.310261182122357190e+07
1.043081283569335938e+01,2.355355582274349406e+07
5.215406417846679688e+00,1.377902782350344025e+07
5.215406417846679688e+00,2.314098389352698252e+07
1.043081283569335938e+01,2.351768000281162560e+07
5.215406417846679688e+00,2.349974209284568951e+07
1.043081283569335938e+01,2.266772104635596648e+07
5.215406417846679688e+00,2.224274156812813878e+07
5.215406417846679688e+00,2.225514911713945493e+07
5.215406417846679688e+00,1.248062111789941043e+07
2.607703208923339844e+00,7.593357118279383518e+06
2.607703208923339844e+00,1.227433515329114720e+07
5.215406417846679688e+00,1.246268320793347619e+07
2.607703208923339844e+00,1.245371425295050815e+07
5.215406417846679688e+00,1.203770372970564663e+07
2.607703208923339844e+00,1.182521399059173092e+07
2.607703208923339844e+00,1.183141776509738341e+07
2.607703208923339844e+00,6.944153765477357432e+06
1.303851604461669922e+00,4.500521765667347237e+06
1.303851604461669922e+00,6.841010783173229545e+06
2.607703208923339844e+00,6.935184810494389385e+06
1.303851604461669922e+00,6.930700333002905361e+06
2.607703208923339844e+00,6.722695071380475536e+06
1.303851604461669922e+00,6.616450201823518611e+06
1.303851604461669922e+00,6.619552089076347649e+06
1.303851604461669922e+00,4.175920089266334195e+06
6.519258022308349609e-01,2.954104089361330494e+06
6.519258022308349609e-01,4.124348598114273977e+06
1.303851604461669922e+00,4.171435611774850637e+06
6.519258022308349609e-01,4.169193373029108625e+06
1.303851604461669922e+00,4.065190742217893712e+06
6.519258022308349609e-01,4.012068307439415250e+06
6.519258022308349609e-01,4.013619251065833028e+06
6.519258022308349609e-01,2.791803251160824671e+06
3.259629011154174805e-01,2.766017505584792700e+06
6.519258022308349609e-01,2.789561012415082194e+06
3.259629011154174805e-01,2.788439893042211421e+06
6.519258022308349609e-01,2.736438577636604197e+06
3.259629011154174805e-01,2.710652832060572226e+06
1.629814505577087402e-01,2.697759959272557870e+06
3.259629011154174805e-01,2.709531712687701453e+06
1.629814505577087402e-01,2.708971153001266066e+06
1.629814505577087402e-01,2.696638839899686631e+06
1.629814505577087402e-01,2.696078280213251244e+06
