thr,lut
1.629814505577087402e-01,2.696078280213251244e+06
3.259629011154174805e-01,2.709531712687701453e+06
6.519258022308349609e-01,2.736438577636604197e+06
1.303851604461669922e+00,4.065190742217893712e+06
2.607703208923339844e+00,6.722695071380475536e+06
5.215406417846679688e+00,1.203770372970564663e+07
1.043081283569335938e+01,2.266772104635596648e+07
2.086162567138671875e+01,4.392775567965661734e+07
4.172325134277343750e+01,6.206191837687245756e+07
8.344650268554687500e+01,9.128602326289384067e+07
1.668930053710937500e+02,1.497342330349366367e+08
3.337860107421875000e+02,2.666306525790221989e+08
6.675720214843750000e+02,4.885793781006187201e+08
1.335144042968750000e+03,9.175197014652698040e+08
2.670288085937500000e+03,1.776461439437214613e+09
5.340576171875000000e+03,3.494344915381103039e+09
1.068115234375000000e+04,6.930111867268880844e+09
2.136230468750000000e+04,1.381862323092669678e+10
