thr,lut
1.537796831695641131e-01,2.892550000000000000e+05
1.537796831695641131e-01,2.894660000000000000e+05
1.537796831695641131e-01,2.896770000000000000e+05
1.537796831695641131e-01,2.898880000000000000e+05
1.537796831695641131e-01,2.900990000000000000e+05
1.537796831695641131e-01,2.903100000000000000e+05
1.537796831695641131e-01,2.905210000000000000e+05
1.537796831695641131e-01,2.907320000000000000e+05
2.402807549524439701e-01,2.909430000000000000e+05
2.402807549524439701e-01,2.911540000000000000e+05
2.402807549524439701e-01,2.913650000000000000e+05
2.402807549524439701e-01,2.915760000000000000e+05
2.402807549524439701e-01,2.917870000000000000e+05
2.402807549524439701e-01,2.919980000000000000e+05
2.402807549524439701e-01,2.922090000000000000e+05
2.402807549524439701e-01,2.924200000000000000e+05
2.402807549524439701e-01,2.926310000000000000e+05
2.402807549524439701e-01,2.928420000000000000e+05
2.402807549524439701e-01,2.930530000000000000e+05
2.402807549524439701e-01,2.932640000000000000e+05
2.402807549524439701e-01,2.934750000000000000e+05
2.402807549524439701e-01,2.936860000000000000e+05
2.402807549524439701e-01,2.938970000000000000e+05
4.613390495086924226e-01,2.941080000000000000e+05
4.613390495086924226e-01,2.917850000000000000e+05
4.613390495086924226e-01,2.894620000000000000e+05
4.613390495086924226e-01,2.871390000000000000e+05
4.613390495086924226e-01,2.848160000000000000e+05
4.613390495086924226e-01,2.824930000000000000e+05
4.613390495086924226e-01,2.801700000000000000e+05
4.613390495086924226e-01,2.778470000000000000e+05
4.613390495086924226e-01,2.755240000000000000e+05
5.406316986429988702e-01,2.732010000000000000e+05
5.406316986429988702e-01,2.734120000000000000e+05
5.406316986429988702e-01,2.736230000000000000e+05
5.406316986429988702e-01,2.738340000000000000e+05
5.406316986429988702e-01,2.740450000000000000e+05
5.406316986429988702e-01,2.742560000000000000e+05
7.208422648573318270e-01,2.744670000000000000e+05
7.208422648573318270e-01,2.721440000000000000e+05
7.208422648573318270e-01,2.698210000000000000e+05
7.208422648573318270e-01,2.674980000000000000e+05
7.208422648573318270e-01,2.651750000000000000e+05
7.208422648573318270e-01,2.628520000000000000e+05
7.208422648573318270e-01,2.605290000000000000e+05
7.208422648573318270e-01,2.582060000000000000e+05
7.208422648573318270e-01,2.558830000000000000e+05
7.208422648573318270e-01,2.535600000000000000e+05
7.208422648573318270e-01,2.512370000000000000e+05
7.208422648573318270e-01,2.489140000000000000e+05
7.208422648573318270e-01,2.465910000000000000e+05
7.208422648573318270e-01,2.442680000000000000e+05
7.208422648573318270e-01,2.419450000000000000e+05
9.611230198097758803e-01,2.396220000000000000e+05
9.611230198097758803e-01,2.398330000000000000e+05
9.611230198097758803e-01,2.400440000000000000e+05
1.384017148526077046e+00,2.402550000000000000e+05
1.384017148526077046e+00,2.379320000000000000e+05
1.384017148526077046e+00,2.356090000000000000e+05
1.384017148526077046e+00,2.332860000000000000e+05
1.384017148526077046e+00,2.309630000000000000e+05
1.384017148526077046e+00,2.286400000000000000e+05
1.384017148526077046e+00,2.263170000000000000e+05
1.384017148526077046e+00,2.265280000000000000e+05
1.384017148526077046e+00,2.267390000000000000e+05
1.384017148526077046e+00,2.269500000000000000e+05
1.384017148526077046e+00,2.246270000000000000e+05
1.384017148526077046e+00,2.223040000000000000e+05
1.384017148526077046e+00,2.199810000000000000e+05
1.384017148526077046e+00,2.201920000000000000e+05
1.384017148526077046e+00,2.204030000000000000e+05
1.384017148526077046e+00,2.206140000000000000e+05
1.384017148526077046e+00,2.208250000000000000e+05
1.384017148526077046e+00,2.185020000000000000e+05
1.384017148526077046e+00,2.161790000000000000e+05
1.384017148526077046e+00,2.138560000000000000e+05
1.384017148526077046e+00,2.115330000000000000e+05
1.384017148526077046e+00,2.092100000000000000e+05
1.384017148526077046e+00,2.068870000000000000e+05
1.384017148526077046e+00,2.045640000000000000e+05
1.384017148526077046e+00,2.047750000000000000e+05
1.384017148526077046e+00,2.024520000000000000e+05
1.384017148526077046e+00,2.050350000000000000e+05
1.384017148526077046e+00,2.076180000000000000e+05
1.384017148526077046e+00,2.102010000000000000e+05
1.384017148526077046e+00,2.127840000000000000e+05
1.384017148526077046e+00,2.153670000000000000e+05
1.384017148526077046e+00,2.179500000000000000e+05
1.384017148526077046e+00,2.205330000000000000e+05
1.384017148526077046e+00,2.231160000000000000e+05
2.162526794571995481e+00,2.256990000000000000e+05
2.162526794571995481e+00,2.282820000000000000e+05
2.162526794571995481e+00,2.308650000000000000e+05
2.162526794571995481e+00,2.334480000000000000e+05
2.162526794571995481e+00,2.360310000000000000e+05
2.162526794571995481e+00,2.386140000000000000e+05
2.162526794571995481e+00,2.411970000000000000e+05
2.162526794571995481e+00,2.437800000000000000e+05
2.162526794571995481e+00,2.463630000000000000e+05
2.162526794571995481e+00,2.489460000000000000e+05
2.162526794571995481e+00,2.515290000000000000e+05
2.162526794571995481e+00,2.541120000000000000e+05
2.162526794571995481e+00,2.566950000000000000e+05
2.162526794571995481e+00,2.592780000000000000e+05
2.162526794571995481e+00,2.618610000000000000e+05
4.865685287786989832e+00,2.644440000000000000e+05
4.865685287786989832e+00,2.670270000000000000e+05
4.865685287786989832e+00,2.696100000000000000e+05
4.865685287786989832e+00,2.721930000000000000e+05
4.865685287786989832e+00,2.747760000000000000e+05
4.865685287786989832e+00,2.773590000000000000e+05
5.536068594104308183e+00,2.799420000000000000e+05
5.536068594104308183e+00,2.816810000000000000e+05
5.536068594104308183e+00,2.834200000000000000e+05
5.536068594104308183e+00,2.851590000000000000e+05
5.536068594104308183e+00,2.868980000000000000e+05
5.536068594104308183e+00,2.886370000000000000e+05
5.536068594104308183e+00,2.903760000000000000e+05
5.536068594104308183e+00,2.921150000000000000e+05
5.536068594104308183e+00,2.938540000000000000e+05
8.063833564539569565e+00,2.955930000000000000e+05
8.063833564539569565e+00,2.972470000000000000e+05
8.063833564539569565e+00,2.989010000000000000e+05
8.304102891156462718e+00,3.005550000000000000e+05
8.304102891156462718e+00,3.015460000000000000e+05
8.304102891156462718e+00,3.025360000000000000e+05
8.304102891156462718e+00,3.035270000000000000e+05
8.304102891156462718e+00,3.045170000000000000e+05
8.304102891156462718e+00,3.055080000000000000e+05
8.304102891156462718e+00,3.064980000000000000e+05
8.304102891156462718e+00,3.074890000000000000e+05
8.304102891156462718e+00,3.084790000000000000e+05
8.304102891156462718e+00,3.094700000000000000e+05
8.304102891156462718e+00,3.104600000000000000e+05
8.304102891156462718e+00,3.114510000000000000e+05
8.304102891156462718e+00,3.124410000000000000e+05
8.304102891156462718e+00,3.134320000000000000e+05
8.304102891156462718e+00,3.144220000000000000e+05
8.304102891156462718e+00,3.154130000000000000e+05
8.304102891156462718e+00,3.164030000000000000e+05
8.650107178287981924e+00,3.173940000000000000e+05
8.650107178287981924e+00,3.191330000000000000e+05
8.650107178287981924e+00,3.208720000000000000e+05
8.650107178287981924e+00,3.226110000000000000e+05
8.650107178287981924e+00,3.243500000000000000e+05
8.650107178287981924e+00,3.260890000000000000e+05
8.650107178287981924e+00,3.278280000000000000e+05
8.650107178287981924e+00,3.295670000000000000e+05
8.650107178287981924e+00,3.313060000000000000e+05
8.650107178287981924e+00,3.330450000000000000e+05
8.650107178287981924e+00,3.347840000000000000e+05
8.650107178287981924e+00,3.365230000000000000e+05
8.650107178287981924e+00,3.382620000000000000e+05
8.650107178287981924e+00,3.400010000000000000e+05
8.650107178287981924e+00,3.417400000000000000e+05
8.650107178287981924e+00,3.434790000000000000e+05
8.650107178287981924e+00,3.444680000000000000e+05
8.650107178287981924e+00,3.454570000000000000e+05
1.038012861394557973e+01,3.464460000000000000e+05
1.245615433915900461e+01,3.474360000000000000e+05
1.245615433915900461e+01,3.491770000000000000e+05
1.245615433915900461e+01,3.509180000000000000e+05
1.245615433915900461e+01,3.526590000000000000e+05
1.245615433915900461e+01,3.544000000000000000e+05
1.245615433915900461e+01,3.561410000000000000e+05
1.245615433915900461e+01,3.578820000000000000e+05
1.245615433915900461e+01,3.596230000000000000e+05
1.245615433915900461e+01,3.613640000000000000e+05
1.297516076743197289e+01,3.631050000000000000e+05
1.297516076743197289e+01,3.640960000000000000e+05
1.297516076743197289e+01,3.650860000000000000e+05
1.297516076743197289e+01,3.660770000000000000e+05
1.297516076743197289e+01,3.670670000000000000e+05
1.297516076743197289e+01,3.680580000000000000e+05
1.297516076743197289e+01,3.690480000000000000e+05
1.297516076743197289e+01,3.700390000000000000e+05
1.297516076743197289e+01,3.710290000000000000e+05
1.297516076743197289e+01,3.720200000000000000e+05
1.297516076743197289e+01,3.730100000000000000e+05
1.297516076743197289e+01,3.740010000000000000e+05
1.297516076743197289e+01,3.749910000000000000e+05
1.297516076743197289e+01,3.759820000000000000e+05
1.297516076743197289e+01,3.769720000000000000e+05
1.297516076743197289e+01,3.779630000000000000e+05
1.297516076743197289e+01,3.789530000000000000e+05
1.297516076743197289e+01,3.799440000000000000e+05
1.297516076743197289e+01,3.809340000000000000e+05
1.297516076743197289e+01,3.819250000000000000e+05
1.297516076743197289e+01,3.829150000000000000e+05
1.297516076743197289e+01,3.839060000000000000e+05
1.297516076743197289e+01,3.848960000000000000e+05
1.297516076743197289e+01,3.858870000000000000e+05
1.297516076743197289e+01,3.868770000000000000e+05
1.297516076743197289e+01,3.878680000000000000e+05
1.297516076743197289e+01,3.888580000000000000e+05
1.297516076743197289e+01,3.898490000000000000e+05
1.297516076743197289e+01,3.908390000000000000e+05
1.557019292091836782e+01,3.918290000000000000e+05
1.612766712907913913e+01,3.928210000000000000e+05
1.612766712907913913e+01,3.940130000000000000e+05
1.612766712907913913e+01,3.952050000000000000e+05
1.660820578231292544e+01,3.963970000000000000e+05
1.660820578231292544e+01,3.969580000000000000e+05
1.660820578231292544e+01,3.975670000000000000e+05
1.660820578231292544e+01,3.981280000000000000e+05
1.660820578231292544e+01,3.987370000000000000e+05
1.660820578231292544e+01,3.992980000000000000e+05
1.660820578231292544e+01,3.999070000000000000e+05
1.660820578231292544e+01,4.004680000000000000e+05
1.660820578231292544e+01,4.010770000000000000e+05
1.660820578231292544e+01,4.016380000000000000e+05
1.660820578231292544e+01,4.022470000000000000e+05
1.660820578231292544e+01,4.028080000000000000e+05
1.660820578231292544e+01,4.034170000000000000e+05
1.660820578231292544e+01,4.039780000000000000e+05
1.660820578231292544e+01,4.045870000000000000e+05
1.660820578231292544e+01,4.051480000000000000e+05
1.660820578231292544e+01,4.057570000000000000e+05
1.695421006944444642e+01,4.063180000000000000e+05
1.695421006944444642e+01,4.079730000000000000e+05
1.695421006944444642e+01,4.096280000000000000e+05
1.730021435657596385e+01,4.112830000000000000e+05
1.730021435657596385e+01,4.118420000000000000e+05
1.730021435657596385e+01,4.124010000000000000e+05
1.730021435657596385e+01,4.129600000000000000e+05
1.946274115114795933e+01,4.139490000000000000e+05
1.946274115114795933e+01,4.156900000000000000e+05
1.946274115114795933e+01,4.174310000000000000e+05
1.946274115114795933e+01,4.191720000000000000e+05
1.946274115114795933e+01,4.209130000000000000e+05
1.946274115114795933e+01,4.226540000000000000e+05
1.946274115114795933e+01,4.243950000000000000e+05
1.946274115114795933e+01,4.261360000000000000e+05
1.946274115114795933e+01,4.278770000000000000e+05
1.946274115114795933e+01,4.296180000000000000e+05
1.946274115114795933e+01,4.313590000000000000e+05
1.946274115114795933e+01,4.331000000000000000e+05
1.946274115114795933e+01,4.348410000000000000e+05
1.946274115114795933e+01,4.365820000000000000e+05
1.946274115114795933e+01,4.383230000000000000e+05
1.946274115114795933e+01,4.400640000000000000e+05
1.946274115114795933e+01,4.410540000000000000e+05
1.946274115114795933e+01,4.445340000000000000e+05
1.946274115114795933e+01,4.455230000000000000e+05
1.946274115114795933e+01,4.465130000000000000e+05
1.946274115114795933e+01,4.499930000000000000e+05
1.946274115114795933e+01,4.509820000000000000e+05
1.946274115114795933e+01,4.519720000000000000e+05
1.946274115114795933e+01,4.554520000000000000e+05
1.946274115114795933e+01,4.564410000000000000e+05
1.946274115114795933e+01,4.574310000000000000e+05
1.946274115114795933e+01,4.609110000000000000e+05
1.946274115114795933e+01,4.619000000000000000e+05
1.946274115114795933e+01,4.628900000000000000e+05
1.946274115114795933e+01,4.663700000000000000e+05
1.946274115114795933e+01,4.673590000000000000e+05
1.946274115114795933e+01,4.708390000000000000e+05
1.946274115114795933e+01,4.718300000000000000e+05
1.946274115114795933e+01,4.728200000000000000e+05
1.946274115114795933e+01,4.738100000000000000e+05
2.076025722789115946e+01,4.748000000000000000e+05
2.076025722789115946e+01,4.757910000000000000e+05
2.214427437641723273e+01,4.764000000000000000e+05
2.214427437641723273e+01,4.781420000000000000e+05
2.214427437641723273e+01,4.798840000000000000e+05
2.214427437641723273e+01,4.816260000000000000e+05
2.214427437641723273e+01,4.833680000000000000e+05
2.214427437641723273e+01,4.851100000000000000e+05
2.214427437641723273e+01,4.868520000000000000e+05
2.214427437641723273e+01,4.885940000000000000e+05
2.214427437641723273e+01,4.903360000000000000e+05
2.419150070276290521e+01,4.920780000000000000e+05
2.419150070276290521e+01,4.932750000000000000e+05
2.419150070276290521e+01,4.944720000000000000e+05
2.491230867346938993e+01,4.956690000000000000e+05
2.491230867346938993e+01,4.962290000000000000e+05
2.491230867346938993e+01,4.967390000000000000e+05
2.491230867346938993e+01,4.972990000000000000e+05
2.491230867346938993e+01,4.978090000000000000e+05
2.491230867346938993e+01,4.983690000000000000e+05
2.491230867346938993e+01,4.988790000000000000e+05
2.491230867346938993e+01,4.994390000000000000e+05
2.491230867346938993e+01,4.999490000000000000e+05
2.491230867346938993e+01,5.005090000000000000e+05
2.491230867346938993e+01,5.010190000000000000e+05
2.491230867346938993e+01,5.015790000000000000e+05
2.491230867346938993e+01,5.020890000000000000e+05
2.491230867346938993e+01,5.026490000000000000e+05
2.491230867346938993e+01,5.031590000000000000e+05
2.491230867346938993e+01,5.037190000000000000e+05
2.491230867346938993e+01,5.042290000000000000e+05
2.595032153486394577e+01,5.047890000000000000e+05
2.595032153486394577e+01,5.056110000000000000e+05
2.595032153486394577e+01,5.061710000000000000e+05
2.595032153486394577e+01,5.069930000000000000e+05
2.595032153486394577e+01,5.075530000000000000e+05
2.595032153486394577e+01,5.083750000000000000e+05
2.595032153486394577e+01,5.089350000000000000e+05
2.595032153486394577e+01,5.097570000000000000e+05
2.595032153486394577e+01,5.103170000000000000e+05
2.595032153486394577e+01,5.111390000000000000e+05
2.595032153486394577e+01,5.116990000000000000e+05
2.595032153486394577e+01,5.125210000000000000e+05
2.595032153486394577e+01,5.130810000000000000e+05
2.595032153486394577e+01,5.139030000000000000e+05
2.595032153486394577e+01,5.144630000000000000e+05
2.595032153486394577e+01,5.152850000000000000e+05
2.595032153486394577e+01,5.158450000000000000e+05
2.595032153486394577e+01,5.166670000000000000e+05
2.595032153486394577e+01,5.172270000000000000e+05
2.595032153486394577e+01,5.180490000000000000e+05
2.595032153486394577e+01,5.186090000000000000e+05
2.595032153486394577e+01,5.194310000000000000e+05
2.595032153486394577e+01,5.199910000000000000e+05
2.595032153486394577e+01,5.208130000000000000e+05
2.595032153486394577e+01,5.213730000000000000e+05
2.595032153486394577e+01,5.221950000000000000e+05
2.595032153486394577e+01,5.227550000000000000e+05
2.595032153486394577e+01,5.235770000000000000e+05
2.595032153486394577e+01,5.241370000000000000e+05
2.595032153486394577e+01,5.246950000000000000e+05
2.595032153486394577e+01,5.256850000000000000e+05
2.595032153486394577e+01,5.262470000000000000e+05
2.595032153486394577e+01,5.268090000000000000e+05
3.114038584183673564e+01,5.273710000000000000e+05
3.114038584183673564e+01,5.284920000000000000e+05
3.225533425815827826e+01,5.290020000000000000e+05
3.225533425815827826e+01,5.306560000000000000e+05
3.225533425815827826e+01,5.330370000000000000e+05
3.225533425815827826e+01,5.354180000000000000e+05
3.321641156462585087e+01,5.377990000000000000e+05
3.321641156462585087e+01,5.383590000000000000e+05
3.321641156462585087e+01,5.389190000000000000e+05
3.321641156462585087e+01,5.394790000000000000e+05
3.321641156462585087e+01,5.400390000000000000e+05
3.321641156462585087e+01,5.405990000000000000e+05
3.321641156462585087e+01,5.411590000000000000e+05
3.321641156462585087e+01,5.417190000000000000e+05
3.321641156462585087e+01,5.422790000000000000e+05
3.321641156462585087e+01,5.428390000000000000e+05
3.321641156462585087e+01,5.433990000000000000e+05
3.321641156462585087e+01,5.439590000000000000e+05
3.321641156462585087e+01,5.445190000000000000e+05
3.321641156462585087e+01,5.450790000000000000e+05
3.321641156462585087e+01,5.456390000000000000e+05
3.321641156462585087e+01,5.461990000000000000e+05
3.321641156462585087e+01,5.467590000000000000e+05
3.339702814541226417e+01,5.473190000000000000e+05
3.339702814541226417e+01,5.489750000000000000e+05
3.339702814541226417e+01,5.506300000000000000e+05
3.390842013888889284e+01,5.522850000000000000e+05
3.390842013888889284e+01,5.546700000000000000e+05
3.390842013888889284e+01,5.570550000000000000e+05
