thr,lut
1.384017148526077046e+00,2.024520000000000000e+05
2.162526794571995481e+00,2.256990000000000000e+05
4.865685287786989832e+00,2.644440000000000000e+05
5.536068594104308183e+00,2.799420000000000000e+05
8.063833564539569565e+00,2.955930000000000000e+05
8.304102891156462718e+00,3.005550000000000000e+05
8.650107178287981924e+00,3.173940000000000000e+05
1.038012861394557973e+01,3.464460000000000000e+05
1.245615433915900461e+01,3.474360000000000000e+05
1.297516076743197289e+01,3.631050000000000000e+05
1.557019292091836782e+01,3.918290000000000000e+05
1.612766712907913913e+01,3.928210000000000000e+05
1.660820578231292544e+01,3.963970000000000000e+05
1.695421006944444642e+01,4.063180000000000000e+05
1.730021435657596385e+01,4.112830000000000000e+05
1.946274115114795933e+01,4.139490000000000000e+05
2.076025722789115946e+01,4.748000000000000000e+05
2.214427437641723273e+01,4.764000000000000000e+05
2.419150070276290521e+01,4.920780000000000000e+05
2.491230867346938993e+01,4.956690000000000000e+05
2.595032153486394577e+01,5.047890000000000000e+05
3.114038584183673564e+01,5.273710000000000000e+05
3.225533425815827826e+01,5.290020000000000000e+05
3.321641156462585087e+01,5.377990000000000000e+05
3.339702814541226417e+01,5.473190000000000000e+05
3.390842013888889284e+01,5.522850000000000000e+05
3.460042871315192770e+01,5.594400000000000000e+05
3.892548230229591866e+01,6.312160000000000000e+05
4.152051445578231892e+01,6.604290000000000000e+05
4.838300142381420699e+01,6.693060000000000000e+05
4.982461734693877986e+01,6.764670000000000000e+05
4.982461738572771992e+01,6.975640000000000000e+05
5.190064306972789154e+01,7.289200000000000000e+05
6.228077168367347127e+01,7.654850000000000000e+05
6.451066851631655652e+01,7.677130000000000000e+05
6.643282312925170174e+01,7.720370000000000000e+05
6.679405629082452833e+01,7.910280000000000000e+05
6.781684027777778567e+01,7.946000000000000000e+05
6.920085742630385539e+01,8.068250000000000000e+05
7.257450216315390890e+01,8.079420000000000000e+05
7.785096460459183731e+01,8.191230000000000000e+05
8.304102891156463784e+01,9.899660000000000000e+05
8.857709750566893092e+01,9.971650000000000000e+05
9.676600292078201448e+01,1.028485000000000000e+06
9.964923469387755972e+01,1.044022000000000000e+06
1.001910844362367925e+02,1.066573000000000000e+06
1.038012861394557831e+02,1.070154000000000000e+06
1.245615433673469425e+02,1.121432000000000000e+06
1.290213370326331130e+02,1.154222000000000000e+06
1.328656462585034035e+02,1.156540000000000000e+06
1.335881125816490567e+02,1.194760000000000000e+06
1.356336805555555713e+02,1.201919000000000000e+06
1.384017148526077108e+02,1.230548000000000000e+06
1.451490044909033941e+02,1.358482000000000000e+06
1.557019292091836746e+02,1.387147000000000000e+06
1.660820578231292757e+02,1.568449000000000000e+06
1.935320061341783742e+02,1.572911000000000000e+06
1.992984700083782172e+02,1.591169000000000000e+06
2.003821688724735850e+02,1.638167000000000000e+06
2.076025722789115662e+02,1.645264000000000000e+06
2.491230867346938851e+02,1.767405000000000000e+06
2.657312925170068070e+02,1.840251000000000000e+06
2.671762251632981133e+02,1.916386000000000000e+06
2.712673611111111427e+02,1.918548000000000000e+06
2.902980096401890933e+02,1.973696000000000000e+06
3.005732533087103775e+02,2.041128000000000000e+06
3.114038584183673493e+02,2.053275000000000000e+06
3.321641156462585514e+02,2.633342000000000000e+06
3.543083900226757237e+02,2.642332000000000000e+06
4.007643377449471700e+02,2.684300000000000000e+06
4.152051445578231323e+02,2.693223000000000000e+06
5.343524503265962267e+02,2.883691000000000000e+06
5.425347222222222854e+02,2.886755000000000000e+06
5.438518634540249650e+02,3.001367000000000000e+06
5.536068594104308431e+02,3.002558000000000000e+06
5.805960219139074070e+02,3.287489000000000000e+06
6.011465066174207550e+02,3.430544000000000000e+06
6.228077168367346985e+02,3.460217000000000000e+06
7.971938874809906110e+02,4.391365000000000000e+06
8.015286754898943400e+02,4.485379000000000000e+06
8.304102891156462647e+02,4.492382000000000000e+06
1.068704900653192453e+03,4.911541000000000000e+06
1.085069444444444571e+03,4.924341000000000000e+06
1.087703726908049930e+03,5.153184000000000000e+06
1.107213718820861686e+03,5.155571000000000000e+06
1.161192054361931696e+03,5.191350000000000000e+06
1.202293013234841510e+03,5.486311000000000000e+06
1.245615433673469397e+03,5.523676000000000000e+06
1.328656462585034205e+03,7.817323000000000000e+06
