thr,lut
2.214425457327051650e-01,1.227140000000000000e+05
2.214425604406816406e-01,1.231350000000000000e+05
3.138357494284092497e-01,1.235560000000000000e+05
5.406307120219351336e-01,1.237670000000000000e+05
5.649038832874073712e-01,1.239780000000000000e+05
6.151174734915223485e-01,1.178760000000000000e+05
6.151174905063265808e-01,1.180870000000000000e+05
6.151174990078169813e-01,1.182980000000000000e+05
8.857684345240651735e-01,1.187190000000000000e+05
8.857684638969939295e-01,1.191400000000000000e+05
9.415054603566492819e-01,1.195610000000000000e+05
1.107209866661015729e+00,1.172380000000000000e+05
1.107209939832743961e+00,1.111360000000000000e+05
1.621887144122087010e+00,1.050340000000000000e+05
1.708654326520266942e+00,1.027110000000000000e+05
1.845345933494075830e+00,1.029220000000000000e+05
1.845345984254354255e+00,1.005990000000000000e+05
2.824500923488649118e+00,9.827600000000000000e+04
2.824500956895710235e+00,9.217400000000000000e+04
2.824501106230267400e+00,9.238500000000000000e+04
2.824501243598130262e+00,9.259600000000000000e+04
2.824501380966005559e+00,9.280700000000000000e+04
2.824501438306501910e+00,8.670500000000000000e+04
2.824501495647000926e+00,8.060300000000000000e+04
2.824501512849150853e+00,7.828000000000000000e+04
2.824501524566557897e+00,7.849100000000000000e+04
2.824501573679944588e+00,7.616800000000000000e+04
2.824501618804427849e+00,7.384500000000000000e+04
2.824501663928913331e+00,7.152200000000000000e+04
2.824501667169898145e+00,6.919900000000000000e+04
2.824501669164350748e+00,6.941000000000000000e+04
2.824501669164350748e+00,6.708700000000000000e+04
2.824503553923145116e+00,7.150100000000000000e+04
4.865624621999173449e+00,7.408400000000000000e+04
5.535991852916070322e+00,7.666700000000000000e+04
5.535998978400589188e+00,8.108100000000000000e+04
5.536006103903449826e+00,8.549500000000000000e+04
5.536008287528966676e+00,8.807800000000000000e+04
1.129785589956252423e+01,9.066100000000000000e+04
1.129786595134336658e+01,9.423100000000000000e+04
1.537754411336797844e+01,9.597000000000000000e+04
1.537756127215899227e+01,1.003840000000000000e+05
1.694666425953069933e+01,1.029670000000000000e+05
1.694666425953069933e+01,1.039570000000000000e+05
1.694666425953069933e+01,1.049470000000000000e+05
1.946210214532689164e+01,1.059370000000000000e+05
1.946211322445572733e+01,1.094170000000000000e+05
2.214346150489569709e+01,1.104070000000000000e+05
2.214349950575968506e+01,1.139770000000000000e+05
2.214353750675410382e+01,1.175470000000000000e+05
2.214354915224624420e+01,1.192860000000000000e+05
2.214355926544672570e+01,1.210250000000000000e+05
2.214359282295086473e+01,1.254390000000000000e+05
2.372526438920278835e+01,1.298530000000000000e+05
2.541986920427930130e+01,1.308430000000000000e+05
2.541989464723869219e+01,1.344150000000000000e+05
3.188646837284758462e+01,1.361560000000000000e+05
3.321504812883049595e+01,1.387390000000000000e+05
3.321504812883049595e+01,1.397300000000000000e+05
3.321504812883049595e+01,1.407200000000000000e+05
3.321504812883049595e+01,1.417110000000000000e+05
3.321504812883049595e+01,1.427010000000000000e+05
3.321504812883049595e+01,1.436920000000000000e+05
3.321504812883049595e+01,1.446830000000000000e+05
3.389287786201595765e+01,1.456730000000000000e+05
3.389287786201595765e+01,1.462340000000000000e+05
3.389288586721031038e+01,1.467350000000000000e+05
3.767282479748188706e+01,1.472960000000000000e+05
3.767286356056147412e+01,1.498790000000000000e+05
3.892370323905244334e+01,1.524620000000000000e+05
4.518999867687214334e+01,1.535810000000000000e+05
4.519007908611944657e+01,1.607240000000000000e+05
4.613152516034321593e+01,1.642050000000000000e+05
4.613152516034321593e+01,1.651940000000000000e+05
4.613152516034321593e+01,1.661850000000000000e+05
4.744949880336256598e+01,1.671740000000000000e+05
4.744949880336256598e+01,1.681640000000000000e+05
4.982185394302210568e+01,1.686650000000000000e+05
4.982195012912160337e+01,1.722370000000000000e+05
4.982204631559249464e+01,1.758090000000000000e+05
4.982207579216598958e+01,1.775500000000000000e+05
5.083882653804697327e+01,1.792910000000000000e+05
5.083882653804697327e+01,1.798510000000000000e+05
5.083880852671769190e+01,1.804710000000000000e+05
5.189789427610574535e+01,1.810310000000000000e+05
6.150801217446152691e+01,1.820220000000000000e+05
6.150810368160781394e+01,1.855920000000000000e+05
6.642847677614730628e+01,1.873310000000000000e+05
6.642847677614730628e+01,1.878920000000000000e+05
6.642852076570349595e+01,1.885010000000000000e+05
6.642852076570349595e+01,1.890620000000000000e+05
6.642856475531795013e+01,1.896710000000000000e+05
6.642856475531795013e+01,1.902320000000000000e+05
6.642856475531795013e+01,1.907910000000000000e+05
6.642856475531795013e+01,1.917810000000000000e+05
6.642856475531795013e+01,1.923400000000000000e+05
6.642856475531795013e+01,1.933310000000000000e+05
6.642856475531795013e+01,1.943220000000000000e+05
6.642856475531795013e+01,1.953130000000000000e+05
6.778416107695085202e+01,1.963040000000000000e+05
6.778416107695085202e+01,1.974230000000000000e+05
6.778419309622928779e+01,1.981810000000000000e+05
7.117317166528287942e+01,1.993000000000000000e+05
7.784512880208183105e+01,1.999200000000000000e+05
7.784521742769486252e+01,2.068850000000000000e+05
7.784521742769486252e+01,2.091250000000000000e+05
7.784521742769486252e+01,2.101150000000000000e+05
7.971345434459294665e+01,2.126980000000000000e+05
7.971345434459294665e+01,2.136880000000000000e+05
8.664449830173195721e+01,2.146800000000000000e+05
8.664449830173195721e+01,2.156700000000000000e+05
8.664449830173195721e+01,2.166590000000000000e+05
8.664449830173195721e+01,2.176490000000000000e+05
8.856977236808739917e+01,2.186380000000000000e+05
8.856995475551939023e+01,2.222110000000000000e+05
8.857013714370256707e+01,2.257840000000000000e+05
8.857019303700583635e+01,2.275260000000000000e+05
8.857024157598434044e+01,2.292680000000000000e+05
8.857042053328392228e+01,2.328380000000000000e+05
9.226075912645627852e+01,2.364080000000000000e+05
9.226075912645627852e+01,2.369680000000000000e+05
9.226075912645627852e+01,2.375260000000000000e+05
9.489657362561266041e+01,2.380860000000000000e+05
9.489663638175447602e+01,2.386950000000000000e+05
9.964113885755109834e+01,2.391100000000000000e+05
9.964113885755109834e+01,2.396700000000000000e+05
9.964103988434503378e+01,2.401800000000000000e+05
9.964103988434503378e+01,2.407400000000000000e+05
9.964094091133556219e+01,2.412500000000000000e+05
9.964094091133556219e+01,2.418100000000000000e+05
9.964094091133556219e+01,2.423700000000000000e+05
1.016742568008595811e+02,2.429320000000000000e+05
1.016743730996056740e+02,2.465050000000000000e+05
1.016743730996056740e+02,2.470660000000000000e+05
1.016743010589621576e+02,2.479860000000000000e+05
1.016743501628874782e+02,2.497280000000000000e+05
1.037923841329410237e+02,2.502890000000000000e+05
1.107112434348038050e+02,2.508470000000000000e+05
1.186184143341323818e+02,2.518380000000000000e+05
1.186184143341323818e+02,2.523940000000000000e+05
1.186184143341323818e+02,2.529560000000000000e+05
1.186184143341323818e+02,2.535120000000000000e+05
1.275375633346308462e+02,2.538550000000000000e+05
1.328513064471889891e+02,2.573350000000000000e+05
1.328513064471889891e+02,2.578950000000000000e+05
1.328513064471889891e+02,2.584550000000000000e+05
1.328513064471889891e+02,2.590150000000000000e+05
1.328513064471889891e+02,2.595750000000000000e+05
1.328513064471889891e+02,2.601350000000000000e+05
1.328513064471889891e+02,2.606950000000000000e+05
1.328513500193314201e+02,2.611240000000000000e+05
1.328513500193314201e+02,2.616870000000000000e+05
1.328513715296401188e+02,2.620250000000000000e+05
1.328513715296401188e+02,2.625830000000000000e+05
1.328513930399557808e+02,2.629210000000000000e+05
1.355623491732508796e+02,2.634790000000000000e+05
1.355623491732508796e+02,2.657220000000000000e+05
1.355624772391394970e+02,2.661050000000000000e+05
1.383863826467506613e+02,2.683480000000000000e+05
1.383866794846463506e+02,2.719180000000000000e+05
1.383869763238154746e+02,2.754880000000000000e+05
1.383871379101887840e+02,2.790610000000000000e+05
1.383872061356597385e+02,2.808030000000000000e+05
1.383872971030589270e+02,2.825420000000000000e+05
1.383873761011605268e+02,2.842810000000000000e+05
1.383876077097509381e+02,2.878530000000000000e+05
1.383876077097509381e+02,2.884120000000000000e+05
1.383876077097509381e+02,2.889730000000000000e+05
1.383877172303621137e+02,2.907140000000000000e+05
1.423412406924702793e+02,2.912730000000000000e+05
1.423410994985658817e+02,2.917830000000000000e+05
1.506814092321524754e+02,2.927030000000000000e+05
1.506817192964047933e+02,2.961830000000000000e+05
1.556845863460905832e+02,2.996630000000000000e+05
1.556845863460905832e+02,3.002240000000000000e+05
1.556845863460905832e+02,3.047110000000000000e+05
1.594205902488069455e+02,3.058320000000000000e+05
