thr,lut
6.151178383581832332e-01,1.132170000000000000e+05
6.151179064411345099e-01,1.136380000000000000e+05
8.857693323362214599e-01,1.140590000000000000e+05
8.857693911312369828e-01,1.144800000000000000e+05
1.384013425066721314e+00,1.149010000000000000e+05
1.708657558594914860e+00,1.153220000000000000e+05
2.460463384679862475e+00,1.155330000000000000e+05
3.075576047806932944e+00,1.159540000000000000e+05
3.075576385381029176e+00,1.098520000000000000e+05
3.075576722955199127e+00,1.037500000000000000e+05
3.543061640561319781e+00,9.764800000000000000e+04
4.428820828926825826e+00,9.806900000000000000e+04
4.428821117014136277e+00,9.196700000000000000e+04
4.575227581585159520e+00,8.586500000000000000e+04
5.125944818604131648e+00,8.607600000000000000e+04
6.920004525488334224e+00,8.375300000000000000e+04
8.649980702426919521e+00,7.765100000000000000e+04
1.230211905267416128e+01,7.786200000000000000e+04
1.372547337017874014e+01,7.176000000000000000e+04
1.537757162509147335e+01,6.943700000000000000e+04
1.537757332471769445e+01,6.333500000000000000e+04
1.537757342078353773e+01,6.101200000000000000e+04
1.537757347990097756e+01,6.122300000000000000e+04
1.537757347990097756e+01,5.890000000000000000e+04
1.537760646750411908e+01,6.331400000000000000e+04
1.537763945524878473e+01,6.772800000000000000e+04
1.537766339805532922e+01,7.214200000000000000e+04
2.214365892693461291e+01,7.472500000000000000e+04
2.214370029958699959e+01,7.913900000000000000e+04
3.459912818381832977e+01,8.355300000000000000e+04
4.117562061064707279e+01,8.796700000000000000e+04
6.150805603638010410e+01,9.055000000000000000e+04
6.150823195758778184e+01,9.412000000000000000e+04
6.150840787980177282e+01,9.769000000000000000e+04
6.150853556590993065e+01,1.012600000000000000e+05
6.150872709606617406e+01,1.056740000000000000e+05
6.919693034329606007e+01,1.074130000000000000e+05
7.784599442541671976e+01,1.084020000000000000e+05
8.857077820490313513e+01,1.109850000000000000e+05
8.857110915791210459e+01,1.153990000000000000e+05
8.857132979462545563e+01,1.189690000000000000e+05
9.226179095777506234e+01,1.225390000000000000e+05
9.226179095777506234e+01,1.235290000000000000e+05
9.226179095777506234e+01,1.245210000000000000e+05
9.226179095777506234e+01,1.255110000000000000e+05
9.226179095777506234e+01,1.265030000000000000e+05
9.226179095777506234e+01,1.274930000000000000e+05
1.328531657345256178e+02,1.284840000000000000e+05
1.328531657345256178e+02,1.294750000000000000e+05
1.328531657345256178e+02,1.304650000000000000e+05
1.328531657345256178e+02,1.314560000000000000e+05
1.383881726703913841e+02,1.324460000000000000e+05
1.383886179392313522e+02,1.360180000000000000e+05
1.383890632109366265e+02,1.395900000000000000e+05
1.383893863938076549e+02,1.431620000000000000e+05
1.383897359117967767e+02,1.467320000000000000e+05
1.383897359117967767e+02,1.477240000000000000e+05
1.383898454357764933e+02,1.494650000000000000e+05
1.509695634532729684e+02,1.500250000000000000e+05
1.509695634532729684e+02,1.510160000000000000e+05
1.646926684909896608e+02,1.520050000000000000e+05
1.845149054268708255e+02,1.554850000000000000e+05
1.845149054268708255e+02,1.560460000000000000e+05
1.845149054268708255e+02,1.566030000000000000e+05
1.845149054268708255e+02,1.571640000000000000e+05
1.845149054268708255e+02,1.577210000000000000e+05
1.845149054268708255e+02,1.582820000000000000e+05
1.845149054268708255e+02,1.592740000000000000e+05
1.845149054268708255e+02,1.598330000000000000e+05
1.845149054268708255e+02,1.608220000000000000e+05
1.845149054268708255e+02,1.618120000000000000e+05
1.992743089763230557e+02,1.628030000000000000e+05
1.992748674032816609e+02,1.663750000000000000e+05
2.075775678693588873e+02,1.699470000000000000e+05
2.214142945310721302e+02,1.705060000000000000e+05
2.441060452347191188e+02,1.714950000000000000e+05
2.460123710626580191e+02,1.716890000000000000e+05
2.460137782092227212e+02,1.788320000000000000e+05
2.460151853718847974e+02,1.859750000000000000e+05
2.460162067097053011e+02,1.931180000000000000e+05
2.460172280560061324e+02,1.966880000000000000e+05
2.656963954626478426e+02,2.001690000000000000e+05
2.656963954626478426e+02,2.011600000000000000e+05
2.656965697431181184e+02,2.014980000000000000e+05
2.656965697431181184e+02,2.020570000000000000e+05
2.656967440238170184e+02,2.023950000000000000e+05
2.767659423939799694e+02,2.029540000000000000e+05
2.767659423939799694e+02,2.035140000000000000e+05
2.767659423939799694e+02,2.040740000000000000e+05
2.767659423939799694e+02,2.046340000000000000e+05
2.767659423939799694e+02,2.051940000000000000e+05
2.767659423939799694e+02,2.057540000000000000e+05
2.767659423939799694e+02,2.063140000000000000e+05
2.767659423939799694e+02,2.068710000000000000e+05
3.019227654109977266e+02,2.079940000000000000e+05
3.019227654109977266e+02,2.085520000000000000e+05
3.113564355494927440e+02,2.090000000000000000e+05
3.113573201553293757e+02,2.125720000000000000e+05
3.113573201553293757e+02,2.135620000000000000e+05
3.321119725271164498e+02,2.170420000000000000e+05
3.542490633613251703e+02,2.180330000000000000e+05
3.542508281069758596e+02,2.216030000000000000e+05
3.542518869628059974e+02,2.251760000000000000e+05
3.690110791944075004e+02,2.287490000000000000e+05
3.690110791944075004e+02,2.298680000000000000e+05
3.690110791944075004e+02,2.309870000000000000e+05
3.690110791944075004e+02,2.321060000000000000e+05
3.690110791944075004e+02,2.332250000000000000e+05
3.690110791944075004e+02,2.343440000000000000e+05
3.690110791944075004e+02,2.349010000000000000e+05
3.690110791944075004e+02,2.360260000000000000e+05
3.690110791944075004e+02,2.365850000000000000e+05
3.690110791944075004e+02,2.371470000000000000e+05
3.985267685853627881e+02,2.377050000000000000e+05
3.985263764900223578e+02,2.384840000000000000e+05
3.985263764900223578e+02,2.390460000000000000e+05
3.985259843954535199e+02,2.398250000000000000e+05
4.078145994287613689e+02,2.403870000000000000e+05
4.151281546991154414e+02,2.420410000000000000e+05
4.151281546991154414e+02,2.426010000000000000e+05
4.237750208608220532e+02,2.437180000000000000e+05
4.427978912608349447e+02,2.447020000000000000e+05
4.528594440401690804e+02,2.452610000000000000e+05
4.528594440401690804e+02,2.458220000000000000e+05
4.881747262165487200e+02,2.464950000000000000e+05
5.313363896411287897e+02,2.468670000000000000e+05
5.313363896411287897e+02,2.474250000000000000e+05
5.313363896411287897e+02,2.479860000000000000e+05
5.313363896411287897e+02,2.485490000000000000e+05
5.313363896411287897e+02,2.491100000000000000e+05
5.534699300003229610e+02,2.496730000000000000e+05
5.534699300003229610e+02,2.507940000000000000e+05
5.534699300003229610e+02,2.519190000000000000e+05
5.534734910974350441e+02,2.590650000000000000e+05
5.534734910974350441e+02,2.601860000000000000e+05
5.534734910974350441e+02,2.613110000000000000e+05
5.534770522403727000e+02,2.684570000000000000e+05
5.534770522403727000e+02,2.695780000000000000e+05
5.534770522403727000e+02,2.701380000000000000e+05
5.534796369695927751e+02,2.772840000000000000e+05
5.534796369695927751e+02,2.783950000000000000e+05
5.534796369695927751e+02,2.789570000000000000e+05
5.534822217229543639e+02,2.825290000000000000e+05
5.534822217229543639e+02,2.830840000000000000e+05
5.534839449052741429e+02,2.866540000000000000e+05
5.534856680983236856e+02,2.902240000000000000e+05
5.534884635232033361e+02,2.973670000000000000e+05
5.534884635232033361e+02,2.984860000000000000e+05
5.534884635232033361e+02,2.990470000000000000e+05
5.534893394926318706e+02,3.025310000000000000e+05
6.037949000048662356e+02,3.030910000000000000e+05
6.037949000048662356e+02,3.042120000000000000e+05
6.226590694476956287e+02,3.049140000000000000e+05
6.226590694476956287e+02,3.065970000000000000e+05
6.586715738796706319e+02,3.077180000000000000e+05
6.641616082025784635e+02,3.146830000000000000e+05
6.641616082025784635e+02,3.152450000000000000e+05
6.641626971962610924e+02,3.152860000000000000e+05
6.641626971962610924e+02,3.158400000000000000e+05
6.641637861935147384e+02,3.158810000000000000e+05
6.641637861935147384e+02,3.164350000000000000e+05
7.379399936945333138e+02,3.167730000000000000e+05
7.379399936945333138e+02,3.173320000000000000e+05
7.379432440240982487e+02,3.167410000000000000e+05
7.379432440240982487e+02,3.173000000000000000e+05
7.379464943822957821e+02,3.167090000000000000e+05
7.379464943822957821e+02,3.172680000000000000e+05
7.379464943822957821e+02,3.183870000000000000e+05
7.379464943822957821e+02,3.189500000000000000e+05
7.379464943822957821e+02,3.200670000000000000e+05
7.379464943822957821e+02,3.211880000000000000e+05
7.969652856989174552e+02,3.223090000000000000e+05
7.969652856989174552e+02,3.228700000000000000e+05
7.969637176663881064e+02,3.245120000000000000e+05
7.969637176663881064e+02,3.256350000000000000e+05
7.969621496400289971e+02,3.272770000000000000e+05
7.969621595642270222e+02,3.284000000000000000e+05
7.969666254784351622e+02,3.319720000000000000e+05
7.969710914426947284e+02,3.391180000000000000e+05
8.155491790936822554e+02,3.462640000000000000e+05
8.301782990795929891e+02,3.467340000000000000e+05
8.301782990795929891e+02,3.484260000000000000e+05
8.301741854613021587e+02,3.512520000000000000e+05
8.301741854613021587e+02,3.529440000000000000e+05
8.301700718837779505e+02,3.557700000000000000e+05
8.301700718837779505e+02,3.574620000000000000e+05
8.301700718837779505e+02,3.591420000000000000e+05
8.301700718837779505e+02,3.602670000000000000e+05
8.474602529886016100e+02,3.597030000000000000e+05
8.855024324198379873e+02,3.622580000000000000e+05
9.056224266526492102e+02,3.623900000000000000e+05
9.056224266526492102e+02,3.635050000000000000e+05
9.762372564047800552e+02,3.650470000000000000e+05
9.838596290572487533e+02,3.652280000000000000e+05
9.838633799931566273e+02,3.687980000000000000e+05
9.838671309576651538e+02,3.723680000000000000e+05
9.838698534498181516e+02,3.759380000000000000e+05
9.838780210166800089e+02,3.830810000000000000e+05
9.961734952569767074e+02,3.848200000000000000e+05
1.062561301693379164e+03,3.855990000000000000e+05
1.062561301693379164e+03,3.861580000000000000e+05
1.062561301693379164e+03,3.872790000000000000e+05
1.062561301693379164e+03,3.883960000000000000e+05
1.062561301693379164e+03,3.895170000000000000e+05
1.106818901997256489e+03,3.906340000000000000e+05
1.106818901997256489e+03,3.928540000000000000e+05
1.106818901997256489e+03,3.950980000000000000e+05
1.106818901997256489e+03,3.973180000000000000e+05
1.106818901997256489e+03,3.995620000000000000e+05
1.106818901997256489e+03,4.017820000000000000e+05
1.106818901997256489e+03,4.029070000000000000e+05
1.106818901997256489e+03,4.051430000000000000e+05
1.106818901997256489e+03,4.062660000000000000e+05
1.106818901997256489e+03,4.073850000000000000e+05
1.106817140993440717e+03,4.083700000000000000e+05
1.106817408971920713e+03,4.077790000000000000e+05
1.106817408971920713e+03,4.088940000000000000e+05
1.106817408971920713e+03,4.103980000000000000e+05
1.207397725866383325e+03,4.143270000000000000e+05
1.207399320347376261e+03,4.146210000000000000e+05
