thr,lut
1.537757347990097756e+01,5.890000000000000000e+04
1.537760646750411908e+01,6.331400000000000000e+04
1.537763945524878473e+01,6.772800000000000000e+04
1.537766339805532922e+01,7.214200000000000000e+04
2.214365892693461291e+01,7.472500000000000000e+04
2.214370029958699959e+01,7.913900000000000000e+04
3.459912818381832977e+01,8.355300000000000000e+04
4.117562061064707279e+01,8.796700000000000000e+04
6.150805603638010410e+01,9.055000000000000000e+04
6.150823195758778184e+01,9.412000000000000000e+04
6.150840787980177282e+01,9.769000000000000000e+04
6.150853556590993065e+01,1.012600000000000000e+05
6.150872709606617406e+01,1.056740000000000000e+05
6.919693034329606007e+01,1.074130000000000000e+05
7.784599442541671976e+01,1.084020000000000000e+05
8.857077820490313513e+01,1.109850000000000000e+05
8.857110915791210459e+01,1.153990000000000000e+05
8.857132979462545563e+01,1.189690000000000000e+05
9.226179095777506234e+01,1.225390000000000000e+05
1.328531657345256178e+02,1.284840000000000000e+05
1.383881726703913841e+02,1.324460000000000000e+05
1.383886179392313522e+02,1.360180000000000000e+05
1.383890632109366265e+02,1.395900000000000000e+05
1.383893863938076549e+02,1.431620000000000000e+05
1.383897359117967767e+02,1.467320000000000000e+05
1.383898454357764933e+02,1.494650000000000000e+05
1.509695634532729684e+02,1.500250000000000000e+05
1.646926684909896608e+02,1.520050000000000000e+05
1.845149054268708255e+02,1.554850000000000000e+05
1.992743089763230557e+02,1.628030000000000000e+05
1.992748674032816609e+02,1.663750000000000000e+05
2.075775678693588873e+02,1.699470000000000000e+05
2.214142945310721302e+02,1.705060000000000000e+05
2.441060452347191188e+02,1.714950000000000000e+05
2.460123710626580191e+02,1.716890000000000000e+05
2.460137782092227212e+02,1.788320000000000000e+05
2.460151853718847974e+02,1.859750000000000000e+05
2.460162067097053011e+02,1.931180000000000000e+05
2.460172280560061324e+02,1.966880000000000000e+05
2.656963954626478426e+02,2.001690000000000000e+05
2.656965697431181184e+02,2.014980000000000000e+05
2.656967440238170184e+02,2.023950000000000000e+05
2.767659423939799694e+02,2.029540000000000000e+05
3.019227654109977266e+02,2.079940000000000000e+05
3.113564355494927440e+02,2.090000000000000000e+05
3.113573201553293757e+02,2.125720000000000000e+05
3.321119725271164498e+02,2.170420000000000000e+05
3.542490633613251703e+02,2.180330000000000000e+05
3.542508281069758596e+02,2.216030000000000000e+05
3.542518869628059974e+02,2.251760000000000000e+05
3.690110791944075004e+02,2.287490000000000000e+05
3.985267685853627881e+02,2.377050000000000000e+05
4.078145994287613689e+02,2.403870000000000000e+05
4.151281546991154414e+02,2.420410000000000000e+05
4.237750208608220532e+02,2.437180000000000000e+05
4.427978912608349447e+02,2.447020000000000000e+05
4.528594440401690804e+02,2.452610000000000000e+05
4.881747262165487200e+02,2.464950000000000000e+05
5.313363896411287897e+02,2.468670000000000000e+05
5.534699300003229610e+02,2.496730000000000000e+05
5.534734910974350441e+02,2.590650000000000000e+05
5.534770522403727000e+02,2.684570000000000000e+05
5.534796369695927751e+02,2.772840000000000000e+05
5.534822217229543639e+02,2.825290000000000000e+05
5.534839449052741429e+02,2.866540000000000000e+05
5.534856680983236856e+02,2.902240000000000000e+05
5.534884635232033361e+02,2.973670000000000000e+05
5.534893394926318706e+02,3.025310000000000000e+05
6.037949000048662356e+02,3.030910000000000000e+05
6.226590694476956287e+02,3.049140000000000000e+05
6.586715738796706319e+02,3.077180000000000000e+05
6.641616082025784635e+02,3.146830000000000000e+05
6.641626971962610924e+02,3.152860000000000000e+05
6.641637861935147384e+02,3.158810000000000000e+05
7.379464943822957821e+02,3.167090000000000000e+05
7.969652856989174552e+02,3.223090000000000000e+05
7.969666254784351622e+02,3.319720000000000000e+05
7.969710914426947284e+02,3.391180000000000000e+05
8.155491790936822554e+02,3.462640000000000000e+05
8.301782990795929891e+02,3.467340000000000000e+05
8.474602529886016100e+02,3.597030000000000000e+05
8.855024324198379873e+02,3.622580000000000000e+05
9.056224266526492102e+02,3.623900000000000000e+05
9.762372564047800552e+02,3.650470000000000000e+05
9.838596290572487533e+02,3.652280000000000000e+05
9.838633799931566273e+02,3.687980000000000000e+05
9.838671309576651538e+02,3.723680000000000000e+05
9.838698534498181516e+02,3.759380000000000000e+05
9.838780210166800089e+02,3.830810000000000000e+05
9.961734952569767074e+02,3.848200000000000000e+05
1.062561301693379164e+03,3.855990000000000000e+05
1.106818901997256489e+03,3.906340000000000000e+05
1.207397725866383325e+03,4.143270000000000000e+05
1.207399320347376261e+03,4.146210000000000000e+05
1.220222891251791225e+03,4.162960000000000000e+05
1.223184148252059231e+03,4.168510000000000000e+05
1.245104356670726474e+03,4.187680000000000000e+05
1.245116371494321356e+03,4.294840000000000000e+05
1.245128386549796460e+03,4.402000000000000000e+05
1.245137107299806985e+03,4.509160000000000000e+05
1.245144180886764389e+03,4.580620000000000000e+05
1.245146797165314410e+03,4.649110000000000000e+05
1.328119192721010222e+03,4.763070000000000000e+05
1.328123547364870092e+03,4.770820000000000000e+05
1.328127902037285821e+03,4.772980000000000000e+05
1.416632191594191454e+03,4.789850000000000000e+05
1.416640658029585666e+03,4.825580000000000000e+05
1.416649124566178898e+03,4.897000000000000000e+05
1.475685997999523352e+03,4.945340000000000000e+05
1.475692462923803305e+03,4.950700000000000000e+05
1.593702246517548929e+03,4.953110000000000000e+05
1.630837755749123517e+03,5.016420000000000000e+05
1.660096402835672961e+03,5.019610000000000000e+05
1.694617933161885730e+03,5.382710000000000000e+05
1.810912957619826784e+03,5.404320000000000000e+05
1.952089084561418531e+03,5.423660000000000000e+05
1.991906076399744506e+03,5.427460000000000000e+05
1.991906944332270086e+03,5.430960000000000000e+05
2.124614270469704024e+03,5.479780000000000000e+05
2.213111349965764020e+03,5.554450000000000000e+05
2.213183136581928920e+03,5.625610000000000000e+05
2.213216352860829375e+03,5.739640000000000000e+05
2.213239314005091273e+03,5.869510000000000000e+05
2.213259979442273107e+03,5.963250000000000000e+05
2.213266714927408430e+03,6.047170000000000000e+05
2.213280492183782826e+03,6.118610000000000000e+05
2.213294269611680647e+03,6.190050000000000000e+05
2.213320370653696045e+03,6.309480000000000000e+05
2.213329709005935001e+03,6.413930000000000000e+05
2.414431874182747833e+03,6.524030000000000000e+05
2.414434333497665648e+03,6.534610000000000000e+05
2.440072672989428611e+03,6.590480000000000000e+05
2.446041191257222181e+03,6.623480000000000000e+05
2.489891817312902276e+03,6.682660000000000000e+05
2.541736101072136080e+03,7.091330000000000000e+05
2.633853244989505583e+03,7.111280000000000000e+05
2.655800348880873116e+03,7.163510000000000000e+05
2.950702656817282332e+03,7.477300000000000000e+05
3.012135942778077151e+03,7.607940000000000000e+05
3.186597648280977864e+03,7.647540000000000000e+05
3.186597806943556861e+03,7.731680000000000000e+05
3.186633506425622272e+03,7.803140000000000000e+05
3.186662066587196023e+03,7.910290000000000000e+05
3.319378803152330875e+03,8.017440000000000000e+05
3.540509961777982426e+03,8.549520000000000000e+05
3.620916313608467135e+03,8.594300000000000000e+05
3.903121594678874771e+03,8.644340000000000000e+05
3.933582443831515775e+03,8.653080000000000000e+05
3.933612423134754863e+03,8.724510000000000000e+05
3.933642402894964107e+03,8.795940000000000000e+05
3.933664162684548955e+03,8.867370000000000000e+05
3.982818122619021324e+03,8.903070000000000000e+05
4.424964766218048680e+03,9.043310000000000000e+05
4.878084473788832838e+03,9.434850000000000000e+05
4.889915771200840936e+03,9.477350000000000000e+05
