thr,lut
4.271651725152343371e-01,8.072100000000000000e+04
4.271651823629168954e-01,8.093200000000000000e+04
4.271651922105999533e-01,8.114300000000000000e+04
4.271652020582834552e-01,8.135400000000000000e+04
4.271652045159277655e-01,8.156500000000000000e+04
6.151175308026838318e-01,8.177600000000000000e+04
6.151175648441236099e-01,8.198700000000000000e+04
6.151175988855670518e-01,8.219800000000000000e+04
7.208407545792956395e-01,8.240900000000000000e+04
9.611203375575750885e-01,8.008600000000000000e+04
9.611203707837918664e-01,8.029700000000000000e+04
9.611204040100109758e-01,8.050800000000000000e+04
9.611204372362324166e-01,8.071900000000000000e+04
9.611204704624560780e-01,8.093000000000000000e+04
9.611204870611351758e-01,8.114100000000000000e+04
9.611205036598148288e-01,8.135200000000000000e+04
1.281492916103498469e+00,8.156300000000000000e+04
1.281492945509574488e+00,7.924000000000000000e+04
1.281492974915651617e+00,7.691700000000000000e+04
1.281493004321730078e+00,7.459400000000000000e+04
1.281493011557781170e+00,7.227100000000000000e+04
1.845347196649007815e+00,6.994800000000000000e+04
1.845347298488954513e+00,6.762500000000000000e+04
1.845347400328912313e+00,6.530200000000000000e+04
2.162514852627169581e+00,6.297900000000000000e+04
2.162514866510441891e+00,6.319000000000000000e+04
2.162514922189670674e+00,6.086700000000000000e+04
2.162514977868902122e+00,5.854400000000000000e+04
2.162515033548136678e+00,5.622100000000000000e+04
2.162515089227374343e+00,5.389800000000000000e+04
2.162515116847784746e+00,5.157500000000000000e+04
2.162515144468195594e+00,4.925200000000000000e+04
2.162515172088607329e+00,4.692900000000000000e+04
2.162515176326659905e+00,4.460600000000000000e+04
2.162515177495777596e+00,4.481700000000000000e+04
2.162515177495777596e+00,4.249400000000000000e+04
3.844456660625970912e+00,4.507700000000000000e+04
3.844457924303306129e+00,4.766000000000000000e+04
3.844459187981472681e+00,5.024300000000000000e+04
3.844460451660468792e+00,5.282600000000000000e+04
3.844461465929738253e+00,5.540900000000000000e+04
5.536007217743794229e+00,5.799200000000000000e+04
5.536009976009000688e+00,6.057500000000000000e+04
5.536012734276956948e+00,6.315800000000000000e+04
8.649977536515171650e+00,6.574100000000000000e+04
8.649981801377624180e+00,6.832400000000000000e+04
8.649986066244281346e+00,7.090700000000000000e+04
8.649990331115143150e+00,7.349000000000000000e+04
8.649994595990213142e+00,7.607300000000000000e+04
8.649998299700920157e+00,7.865600000000000000e+04
8.650002003414799745e+00,8.123900000000000000e+04
8.650005707131851906e+00,8.382200000000000000e+04
1.245594846538628886e+01,8.556100000000000000e+04
1.297493738287616516e+01,8.655300000000000000e+04
1.537765453773026891e+01,8.754500000000000000e+04
1.537766127719260467e+01,8.928400000000000000e+04
1.537766801666085037e+01,9.102300000000000000e+04
1.537767475613500245e+01,9.276200000000000000e+04
1.537768016545405381e+01,9.450100000000000000e+04
1.660787599231984402e+01,9.624000000000000000e+04
1.946228825505912141e+01,9.723000000000000000e+04
1.946229379472791265e+01,9.897100000000000000e+04
2.214370960079347128e+01,1.015540000000000000e+05
2.214372431111948814e+01,1.032930000000000000e+05
2.214373902146505202e+01,1.050320000000000000e+05
2.306638754045520301e+01,1.067710000000000000e+05
2.306638754045520301e+01,1.077610000000000000e+05
2.306638754045520301e+01,1.087530000000000000e+05
2.306638754045520301e+01,1.097430000000000000e+05
2.306638754045520301e+01,1.107350000000000000e+05
2.306638754045520301e+01,1.117250000000000000e+05
2.306638754045520301e+01,1.127150000000000000e+05
2.306638754045520301e+01,1.137060000000000000e+05
2.491164973460044862e+01,1.146960000000000000e+05
2.594960654121949872e+01,1.158170000000000000e+05
