thr,lut
2.162515177495777596e+00,4.249400000000000000e+04
3.844456660625970912e+00,4.507700000000000000e+04
3.844457924303306129e+00,4.766000000000000000e+04
3.844459187981472681e+00,5.024300000000000000e+04
3.844460451660468792e+00,5.282600000000000000e+04
3.844461465929738253e+00,5.540900000000000000e+04
5.536007217743794229e+00,5.799200000000000000e+04
5.536009976009000688e+00,6.057500000000000000e+04
5.536012734276956948e+00,6.315800000000000000e+04
8.649977536515171650e+00,6.574100000000000000e+04
8.649981801377624180e+00,6.832400000000000000e+04
8.649986066244281346e+00,7.090700000000000000e+04
8.649990331115143150e+00,7.349000000000000000e+04
8.649994595990213142e+00,7.607300000000000000e+04
8.649998299700920157e+00,7.865600000000000000e+04
8.650002003414799745e+00,8.123900000000000000e+04
8.650005707131851906e+00,8.382200000000000000e+04
1.245594846538628886e+01,8.556100000000000000e+04
1.297493738287616516e+01,8.655300000000000000e+04
1.537765453773026891e+01,8.754500000000000000e+04
1.537766127719260467e+01,8.928400000000000000e+04
1.537766801666085037e+01,9.102300000000000000e+04
1.537767475613500245e+01,9.276200000000000000e+04
1.537768016545405381e+01,9.450100000000000000e+04
1.660787599231984402e+01,9.624000000000000000e+04
1.946228825505912141e+01,9.723000000000000000e+04
1.946229379472791265e+01,9.897100000000000000e+04
2.214370960079347128e+01,1.015540000000000000e+05
2.214372431111948814e+01,1.032930000000000000e+05
2.214373902146505202e+01,1.050320000000000000e+05
2.306638754045520301e+01,1.067710000000000000e+05
2.491164973460044862e+01,1.146960000000000000e+05
2.594960654121949872e+01,1.158170000000000000e+05
3.321524012807603299e+01,1.163740000000000000e+05
3.321525112612481223e+01,1.173430000000000000e+05
3.459916955862518506e+01,1.222960000000000000e+05
3.459918661734471357e+01,1.240370000000000000e+05
3.459920367608105352e+01,1.257780000000000000e+05
3.459922073483421912e+01,1.275190000000000000e+05
3.459924347986460447e+01,1.302500000000000000e+05
3.459926622492489656e+01,1.319890000000000000e+05
3.459928897001509540e+01,1.337280000000000000e+05
3.459931171513518677e+01,1.354670000000000000e+05
3.459933146750059052e+01,1.372060000000000000e+05
3.459935121988853979e+01,1.389450000000000000e+05
3.459937097229904879e+01,1.406840000000000000e+05
3.459938466432411275e+01,1.424250000000000000e+05
3.459939835636001249e+01,1.441660000000000000e+05
3.892420042006327918e+01,1.486380000000000000e+05
4.613210434812418725e+01,1.501880000000000000e+05
4.982251713045465635e+01,1.546670000000000000e+05
4.982252965823089852e+01,1.571130000000000000e+05
4.982256689252564286e+01,1.588540000000000000e+05
5.189845854774549849e+01,1.605950000000000000e+05
