thr,lut
2.16E+00,1.11E+05
2.16E+00,1.12E+05
2.16E+00,1.12E+05
2.16E+00,1.12E+05
2.16E+00,1.12E+05
2.16E+00,1.12E+05
2.16E+00,1.13E+05
2.16E+00,1.13E+05
2.16E+00,1.13E+05
2.16E+00,1.13E+05
2.16E+00,1.14E+05
2.16E+00,1.14E+05
2.16E+00,1.14E+05
2.16E+00,1.14E+05
2.16E+00,1.14E+05
2.16E+00,1.15E+05
2.43E+00,1.15E+05
2.43E+00,1.12E+05
2.43E+00,1.10E+05
2.43E+00,1.08E+05
2.43E+00,1.05E+05
2.43E+00,1.03E+05
2.43E+00,1.01E+05
2.43E+00,9.85E+04
2.43E+00,9.62E+04
2.43E+00,9.39E+04
2.43E+00,9.16E+04
2.43E+00,8.92E+04
2.43E+00,8.69E+04
2.43E+00,8.46E+04
2.43E+00,8.23E+04
2.43E+00,7.99E+04
2.43E+00,7.76E+04
2.43E+00,6.60E+04
2.43E+00,6.69E+04
2.43E+00,6.79E+04
2.43E+00,6.89E+04
2.43E+00,6.99E+04
2.43E+00,7.09E+04
4.87E+00,7.19E+04
4.87E+00,7.29E+04
4.87E+00,7.39E+04
4.87E+00,7.49E+04
4.87E+00,7.59E+04
4.87E+00,7.68E+04
4.87E+00,7.80E+04
4.87E+00,7.91E+04
4.87E+00,8.01E+04
4.87E+00,8.11E+04
4.87E+00,8.21E+04
4.87E+00,8.30E+04
4.87E+00,8.40E+04
4.87E+00,8.50E+04
4.87E+00,8.60E+04
4.87E+00,8.70E+04
4.87E+00,8.80E+04
4.87E+00,8.90E+04
4.87E+00,9.00E+04
4.87E+00,9.11E+04
4.87E+00,9.22E+04
4.87E+00,9.32E+04
4.87E+00,9.42E+04
4.87E+00,9.52E+04
4.87E+00,9.62E+04
4.87E+00,9.72E+04
4.87E+00,9.82E+04
4.87E+00,9.91E+04
4.87E+00,1.00E+05
4.87E+00,1.01E+05
4.87E+00,1.02E+05
4.87E+00,1.03E+05
4.87E+00,1.04E+05
4.87E+00,1.05E+05
4.87E+00,1.06E+05
9.73E+00,1.07E+05
9.73E+00,1.08E+05
9.73E+00,1.10E+05
9.73E+00,1.11E+05
9.73E+00,1.12E+05
9.73E+00,1.13E+05
9.73E+00,1.15E+05
9.73E+00,1.17E+05
9.73E+00,1.19E+05
9.73E+00,1.20E+05
9.73E+00,1.21E+05
9.73E+00,1.22E+05
9.73E+00,1.23E+05
9.73E+00,1.24E+05
9.73E+00,1.25E+05
9.73E+00,1.26E+05
9.73E+00,1.27E+05
9.73E+00,1.29E+05
9.73E+00,1.30E+05
9.73E+00,1.32E+05
9.73E+00,1.34E+05
