thr,lut
2.432831939652010167e+00,6.595500000000000000e+04
4.865642471009440584e+00,7.189500000000000000e+04
9.731199309970874012e+00,1.073270000000000000e+05
1.177350629479187738e+01,1.532180000000000000e+05
1.490075962659332376e+01,1.565240000000000000e+05
1.695369022719522789e+01,1.664520000000000000e+05
1.814303018727227368e+01,1.730690000000000000e+05
1.946205610079196902e+01,1.796850000000000000e+05
2.354651121517992962e+01,2.725290000000000000e+05
2.980071616196372020e+01,2.773030000000000000e+05
3.390634083364673756e+01,2.916150000000000000e+05
3.628486978679528363e+01,3.011550000000000000e+05
3.892274219731827856e+01,3.106950000000000000e+05
4.709101706084518213e+01,4.955090000000000000e+05
5.959822021872209774e+01,5.050530000000000000e+05
6.780852356679991999e+01,5.336850000000000000e+05
7.256497769133756037e+01,5.527730000000000000e+05
7.784000495617041793e+01,5.718610000000000000e+05
9.417401366828390508e+01,9.413950000000000000e+05
9.843867857726688442e+01,9.604810000000000000e+05
1.191835940937221778e+02,9.654610000000000000e+05
1.220433689998023539e+02,1.022719000000000000e+06
1.356004177908197335e+02,1.022913000000000000e+06
1.451109116027542427e+02,1.061085000000000000e+06
1.556580967861080467e+02,1.099281000000000000e+06
1.883159537177175196e+02,1.838836000000000000e+06
1.968423134303794200e+02,1.877008000000000000e+06
2.383170760064687954e+02,1.883230000000000000e+06
2.440341923780488003e+02,1.997746000000000000e+06
2.711359691768562925e+02,1.998118000000000000e+06
2.901475406591229103e+02,2.074510000000000000e+06
2.952128514641611901e+02,2.150822000000000000e+06
3.004099502140446702e+02,2.153317000000000000e+06
3.112341962387337730e+02,2.155167000000000000e+06
3.112343884587597245e+02,3.315671000000000000e+06
3.112345806790231109e+02,3.363604000000000000e+06
3.112347728995239322e+02,3.411101000000000000e+06
3.765127443739788760e+02,3.491041000000000000e+06
3.935544319262227191e+02,3.567385000000000000e+06
4.764458355604074313e+02,3.577104000000000000e+06
4.878709265502849348e+02,3.806296000000000000e+06
5.420281973570062064e+02,3.806477000000000000e+06
5.800159667520347284e+02,3.959101000000000000e+06
5.800364890079550833e+02,3.986501000000000000e+06
5.901580050313551737e+02,4.101209000000000000e+06
6.005387038608812418e+02,4.108926000000000000e+06
6.097357943349733205e+02,4.111783000000000000e+06
6.221665720147162801e+02,4.112338000000000000e+06
6.221681143352121808e+02,5.645442000000000000e+06
6.221696566633548855e+02,5.741110000000000000e+06
6.221711989991442806e+02,5.836778000000000000e+06
6.221727413425805935e+02,5.932010000000000000e+06
6.221731163448853295e+02,6.100875000000000000e+06
6.221734913476421980e+02,6.197050000000000000e+06
6.221738663508511991e+02,6.292351000000000000e+06
7.525928145377882856e+02,6.453094000000000000e+06
7.866361530502898631e+02,6.605912000000000000e+06
9.522089738048351819e+02,6.621424000000000000e+06
9.750260335759660393e+02,7.079238000000000000e+06
1.083172903861144277e+03,7.079618000000000000e+06
1.083250326456104176e+03,7.133354000000000000e+06
1.159108968304998371e+03,7.362773000000000000e+06
1.159149905540149803e+03,7.417499000000000000e+06
1.159190866662712097e+03,7.471043000000000000e+06
1.159231830680280382e+03,7.524587000000000000e+06
1.179487691732635312e+03,7.578131000000000000e+06
1.200203757091586795e+03,7.597498000000000000e+06
1.218570983711418876e+03,7.603215000000000000e+06
1.243420170171375958e+03,7.606515000000000000e+06
1.243432514885975706e+03,8.518723000000000000e+06
1.243444859845695419e+03,8.709864000000000000e+06
1.243457205050542370e+03,8.901005000000000000e+06
1.243469550500523610e+03,9.092146000000000000e+06
1.243481896195646868e+03,9.283287000000000000e+06
1.243494242135918967e+03,9.473990000000000000e+06
1.243497286378046738e+03,9.810904000000000000e+06
1.243500330635080218e+03,1.000293600000000000e+07
1.243503374907018951e+03,1.019496800000000000e+07
1.243506419193863621e+03,1.038612700000000000e+07
1.243507095704075482e+03,1.072462900000000000e+07
1.243507844698382996e+03,1.077256800000000000e+07
1.243508521210146000e+03,1.082060900000000000e+07
1.243509270206170640e+03,1.086854800000000000e+07
1.243509946719484788e+03,1.091484000000000000e+07
