thr,lut
9.93E-01,6.52E+05
1.99E+00,6.57E+05
2.98E+00,6.75E+05
3.97E+00,6.76E+05
5.96E+00,6.88E+05
7.95E+00,6.99E+05
1.19E+01,9.19E+05
1.59E+01,9.41E+05
2.38E+01,1.38E+06
3.18E+01,1.43E+06
4.77E+01,1.54E+06
6.36E+01,1.67E+06
9.54E+01,1.93E+06
1.27E+02,2.23E+06
1.91E+02,2.93E+06
2.54E+02,4.75E+06
3.81E+02,4.98E+06
5.09E+02,7.84E+06
5.72E+02,8.04E+06
7.63E+02,9.37E+06
1.02E+03,1.58E+07
1.14E+03,1.60E+07
1.53E+03,1.93E+07
2.29E+03,3.48E+07
3.05E+03,4.26E+07
4.58E+03,6.43E+07
6.10E+03,8.07E+07
9.16E+03,1.21E+08
1.22E+04,1.62E+08
1.83E+04,2.51E+08
