thr,lut
9.93E-01,3.03E+05
1.99E+00,3.06E+05
2.98E+00,3.19E+05
3.97E+00,3.19E+05
5.96E+00,3.27E+05
7.95E+00,3.34E+05
1.19E+01,4.52E+05
1.59E+01,4.65E+05
2.38E+01,7.02E+05
3.18E+01,7.28E+05
4.77E+01,8.03E+05
6.36E+01,8.81E+05
9.54E+01,1.05E+06
1.27E+02,1.24E+06
1.91E+02,1.67E+06
2.54E+02,2.65E+06
3.81E+02,2.77E+06
5.09E+02,4.25E+06
5.72E+02,4.37E+06
7.63E+02,4.98E+06
1.02E+03,8.05E+06
1.14E+03,8.17E+06
1.53E+03,9.41E+06
2.29E+03,1.58E+07
3.05E+03,1.88E+07
4.58E+03,2.87E+07
6.10E+03,3.48E+07
9.16E+03,5.08E+07
1.22E+04,6.68E+07
1.83E+04,9.88E+07
