thr,lut
6.10E-02,6.52E+05
1.22E-01,6.53E+05
1.83E-01,6.53E+05
2.44E-01,6.53E+05
3.66E-01,6.53E+05
4.88E-01,6.54E+05
7.32E-01,6.55E+05
9.77E-01,6.61E+05
1.22E+00,6.62E+05
1.46E+00,6.63E+05
1.83E+00,6.64E+05
1.95E+00,6.84E+05
2.44E+00,6.86E+05
2.93E+00,6.87E+05
2.98E+00,6.90E+05
3.66E+00,6.90E+05
3.91E+00,7.02E+05
3.97E+00,7.08E+05
5.86E+00,7.09E+05
5.96E+00,7.24E+05
7.32E+00,7.25E+05
7.95E+00,9.36E+05
9.16E+00,9.51E+05
9.77E+00,9.75E+05
1.19E+01,9.91E+05
1.46E+01,9.92E+05
1.59E+01,1.42E+06
1.83E+01,1.45E+06
1.95E+01,1.49E+06
2.38E+01,1.50E+06
2.93E+01,1.53E+06
3.05E+01,1.64E+06
3.58E+01,1.65E+06
3.66E+01,1.66E+06
4.58E+01,1.69E+06
4.88E+01,2.78E+06
6.10E+01,2.83E+06
7.15E+01,2.86E+06
7.32E+01,2.87E+06
9.16E+01,2.94E+06
9.77E+01,5.18E+06
1.22E+02,5.27E+06
1.43E+02,5.33E+06
1.46E+02,5.36E+06
1.83E+02,5.49E+06
1.91E+02,6.05E+06
2.29E+02,6.11E+06
2.44E+02,7.09E+06
2.54E+02,7.46E+06
2.86E+02,7.50E+06
3.66E+02,7.53E+06
3.81E+02,8.74E+06
4.58E+02,8.78E+06
4.88E+02,1.08E+07
5.72E+02,1.15E+07
7.32E+02,1.17E+07
7.63E+02,1.85E+07
9.16E+02,1.91E+07
1.14E+03,1.99E+07
1.22E+03,3.94E+07
1.53E+03,4.06E+07
1.83E+03,4.16E+07
2.29E+03,4.33E+07
2.44E+03,7.36E+07
3.05E+03,7.59E+07
3.66E+03,7.80E+07
4.58E+03,8.14E+07
6.10E+03,1.44E+08
9.16E+03,1.55E+08
1.22E+04,2.98E+08
1.83E+04,3.20E+08
