thr,lut
7.808,6.52E+05
15.616,6.53E+05
23.424,6.53E+05
31.232,6.53E+05
46.848,6.53E+05
62.464,6.54E+05
93.696,6.55E+05
125.056,6.61E+05
156.16,6.62E+05
186.88,6.63E+05
234.24,6.64E+05
249.6,6.84E+05
312.32,6.86E+05
375.04,6.87E+05
381.44,6.90E+05
468.48,6.90E+05
500.48,7.02E+05
508.16,7.08E+05
750.08,7.09E+05
762.88,7.24E+05
936.96,7.25E+05
1017.6,9.36E+05
1172.48,9.51E+05
1250.56,9.75E+05
1523.2,9.91E+05
1868.8,9.92E+05
2035.2,1.42E+06
2342.4,1.45E+06
2496,1.49E+06
3046.4,1.50E+06
3750.4,1.53E+06
3904,1.64E+06
4582.4,1.65E+06
4684.8,1.66E+06
5862.4,1.69E+06
6246.4,2.78E+06
7808,2.83E+06
9152,2.86E+06
9369.6,2.87E+06
11724.8,2.94E+06
12505.6,5.18E+06
15616,5.27E+06
18304,5.33E+06
18688,5.36E+06
23424,5.49E+06
24448,6.05E+06
29312,6.11E+06
31232,7.09E+06
32512,7.46E+06
36608,7.50E+06
46848,7.53E+06
48768,8.74E+06
58624,8.78E+06
62464,1.08E+07
73216,1.15E+07
93696,1.17E+07
97664,1.85E+07
117248,1.91E+07
145920,1.99E+07
156160,3.94E+07
195840,4.06E+07
234240,4.16E+07
293120,4.33E+07
