thr,lut
6.10E-02,3.02E+05
1.22E-01,3.02E+05
1.83E-01,3.02E+05
2.44E-01,3.02E+05
3.66E-01,3.03E+05
4.88E-01,3.03E+05
7.32E-01,3.03E+05
9.77E-01,3.07E+05
1.22E+00,3.08E+05
1.46E+00,3.08E+05
1.83E+00,3.09E+05
1.95E+00,3.23E+05
2.44E+00,3.24E+05
2.93E+00,3.25E+05
2.98E+00,3.26E+05
3.66E+00,3.27E+05
3.91E+00,3.34E+05
3.97E+00,3.37E+05
5.86E+00,3.38E+05
5.96E+00,3.47E+05
7.32E+00,3.48E+05
7.95E+00,4.61E+05
9.16E+00,4.68E+05
9.77E+00,4.82E+05
1.19E+01,4.92E+05
1.46E+01,4.93E+05
1.59E+01,7.21E+05
1.83E+01,7.34E+05
1.95E+01,7.63E+05
2.38E+01,7.74E+05
2.93E+01,7.85E+05
3.05E+01,8.53E+05
3.58E+01,8.64E+05
3.66E+01,8.67E+05
4.58E+01,8.88E+05
4.88E+01,1.47E+06
6.10E+01,1.50E+06
7.15E+01,1.52E+06
7.32E+01,1.53E+06
9.16E+01,1.57E+06
9.77E+01,2.74E+06
1.22E+02,2.79E+06
1.43E+02,2.83E+06
1.46E+02,2.85E+06
1.83E+02,2.93E+06
1.91E+02,3.25E+06
2.29E+02,3.28E+06
2.44E+02,3.81E+06
2.54E+02,4.06E+06
2.86E+02,4.08E+06
3.66E+02,4.09E+06
3.81E+02,4.77E+06
4.58E+02,4.79E+06
4.88E+02,5.85E+06
5.72E+02,6.36E+06
7.32E+02,6.41E+06
7.63E+02,9.69E+06
9.16E+02,1.00E+07
1.14E+03,1.06E+07
1.22E+03,1.84E+07
1.53E+03,1.91E+07
1.83E+03,1.98E+07
2.29E+03,2.09E+07
2.44E+03,3.41E+07
3.05E+03,3.55E+07
3.66E+03,3.69E+07
4.58E+03,3.89E+07
6.10E+03,6.44E+07
9.16E+03,7.13E+07
1.22E+04,1.26E+08
1.83E+04,1.40E+08
