thr,lut
7.808,3.02E+05
15.616,3.02E+05
23.424,3.02E+05
31.232,3.02E+05
46.848,3.03E+05
62.464,3.03E+05
93.696,3.03E+05
125.056,3.07E+05
156.16,3.08E+05
186.88,3.08E+05
234.24,3.09E+05
249.6,3.23E+05
312.32,3.24E+05
375.04,3.25E+05
381.44,3.26E+05
468.48,3.27E+05
500.48,3.34E+05
508.16,3.37E+05
750.08,3.38E+05
762.88,3.47E+05
936.96,3.48E+05
1017.6,4.61E+05
1172.48,4.68E+05
1250.56,4.82E+05
1523.2,4.92E+05
1868.8,4.93E+05
2035.2,7.21E+05
2342.4,7.34E+05
2496,7.63E+05
3046.4,7.74E+05
3750.4,7.85E+05
3904,8.53E+05
4582.4,8.64E+05
4684.8,8.67E+05
5862.4,8.88E+05
6246.4,1.47E+06
7808,1.50E+06
9152,1.52E+06
9369.6,1.53E+06
11724.8,1.57E+06
12505.6,2.74E+06
15616,2.79E+06
18304,2.83E+06
18688,2.85E+06
23424,2.93E+06
24448,3.25E+06
29312,3.28E+06
31232,3.81E+06
32512,4.06E+06
36608,4.08E+06
46848,4.09E+06
48768,4.77E+06
58624,4.79E+06
62464,5.85E+06
73216,6.36E+06
93696,6.41E+06
97664,9.69E+06
117248,1.00E+07
145920,1.06E+07
156160,1.84E+07
195840,1.91E+07
234240,1.98E+07
293120,2.09E+07
312320,3.41E+07
390400,3.55E+07
468480,3.69E+07
586240,3.89E+07
