thr,lut
9.93E-01,8.08E+05
1.99E+00,8.34E+05
2.98E+00,8.54E+05
3.97E+00,8.56E+05
5.96E+00,8.91E+05
7.95E+00,9.24E+05
1.19E+01,1.24E+06
1.59E+01,1.31E+06
2.38E+01,1.94E+06
3.18E+01,2.08E+06
4.77E+01,2.22E+06
6.36E+01,2.37E+06
9.54E+01,2.69E+06
1.27E+02,3.05E+06
1.91E+02,3.86E+06
2.54E+02,6.08E+06
3.81E+02,6.42E+06
5.09E+02,1.00E+07
5.72E+02,1.02E+07
7.63E+02,1.18E+07
1.02E+03,1.97E+07
1.14E+03,1.99E+07
1.53E+03,2.38E+07
2.29E+03,4.22E+07
3.05E+03,5.00E+07
4.58E+03,7.17E+07
6.10E+03,8.81E+07
9.16E+03,1.28E+08
1.22E+04,1.70E+08
1.83E+04,2.59E+08
