thr,lut
9.93E-01,4.59E+05
1.99E+00,4.82E+05
2.98E+00,4.97E+05
3.97E+00,4.99E+05
5.96E+00,5.29E+05
7.95E+00,5.58E+05
1.19E+01,7.79E+05
1.59E+01,8.37E+05
2.38E+01,1.28E+06
3.18E+01,1.39E+06
3.58E+01,1.50E+06
4.77E+01,1.50E+06
6.36E+01,1.60E+06
9.54E+01,1.83E+06
1.27E+02,2.07E+06
1.91E+02,2.59E+06
2.54E+02,4.04E+06
3.81E+02,4.26E+06
5.09E+02,6.54E+06
5.72E+02,6.64E+06
7.63E+02,7.59E+06
1.02E+03,1.22E+07
1.14E+03,1.24E+07
1.53E+03,1.42E+07
2.29E+03,2.38E+07
3.05E+03,2.70E+07
4.58E+03,3.73E+07
6.10E+03,4.36E+07
9.16E+03,6.02E+07
1.22E+04,7.69E+07
1.83E+04,1.10E+08
