# BEGIN PLOT
LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/1bex_M_J1J2  //Users/jlindert/Documents/proj/ttsemi/results/LOtchantqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqqp.yoda/ttsemi_dec/1bex_M_J1J2  //Users/jlindert/Documents/proj/ttsemi/results/LOvbfqqp.yoda/ttsemi_dec/1bex_M_J1J2
DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchantqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOvbfqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqqp.yoda/ttsemi_dec/1bex_M_J1J2
Title=pp $\to \ell^{-} \bar \nu_{\ell}b\bar b q \bar q'$ at 13 TeV
LegendOrder=
RatioPlot1=1
LogX=1
LogY=1
RatioPlot1YMax=3
RatioPlot1YLabel=1/lvqq'bb
RatioPlot1SameStyle=1
XMin=40
YMin=0.0000002
RatioPlot1YSize=5
RatioPlot1YMin=0.002
RatioPlot1Error=1
RatioPlot1LogY=1
RatioPlot1ErrorBands=0
RatioPlot1Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2
RatioPlot1DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchantqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqq.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOvbfqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqqp.yoda/ttsemi_dec/1bex_M_J1J2
XCustomMajorTicks=100	  100	 200	 200	 300	  300	 1000	 1000
XCustomMinorTicks=40	 40	 50	 50	 60	 60	 70	 70	 80	 80	 110	 110	 120	 120	 130	 130	 140	 140	  150	 150	400	 400		500	 500	 600	 600		700	 700	 800	 800	 900	 900
ErrorBands=0
XMax=1000
YLabel=$\mathrm{d}\sigma / \mathrm{d} m_{j_1j_2}$ [pb/GeV]
XLabel=$m_{j_1j_2}$ [GeV]
Legend=1
RatioPlot2=1
RatioPlot2YMax=1.35
RatioPlot2YLabel=1/lvqq'bb
RatioPlot2SameStyle=1
RatioPlot2YSize=5
RatioPlot2YMin=0.55
RatioPlot2Error=1
RatioPlot2ErrorBands=0
RatioPlot2Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2
RatioPlot2DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+stchant+vbf_qqp.yoda/ttsemi_dec/1bex_M_J1J2
RatioPlot2Legend=1
RatioPlot2LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+stchant+vbf_qqp.yoda/ttsemi_dec/1bex_M_J1J2
RatioPlot2LegendXPos=0.5
# END PLOT

# BEGIN SPECIAL label
\psclip{\psframe[linewidth=0, linestyle=none](0,0)(1,1)}
\uput{4pt}[180]{0}\physicscoor(180,0.2){$N_B = 1$}
\endpsclip
# END SPECIAL




# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2
LineColor=blue
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/1bex_M_J1J2
ScaledBy=5.87406875376117812e-11
Title=lvqq'bb
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	1.718126e-06	3.584990e-07	3.584990e-07
1.500000e+01	2.000000e+01	4.199500e-05	1.903221e-06	1.903221e-06
2.000000e+01	2.500000e+01	1.677247e-04	8.205727e-06	8.205727e-06
2.500000e+01	3.000000e+01	3.244350e-04	9.480354e-06	9.480354e-06
3.000000e+01	3.500000e+01	5.127630e-04	7.673226e-06	7.673226e-06
3.500000e+01	4.000000e+01	7.560000e-04	9.709171e-06	9.709171e-06
4.000000e+01	4.500000e+01	1.044779e-03	7.267938e-06	7.267938e-06
4.500000e+01	5.000000e+01	1.487214e-03	1.503138e-05	1.503138e-05
5.000000e+01	5.500000e+01	2.121410e-03	8.394234e-06	8.394234e-06
5.500000e+01	6.000000e+01	3.274016e-03	1.109632e-05	1.109632e-05
6.000000e+01	6.500000e+01	5.511978e-03	9.858460e-06	9.858460e-06
6.500000e+01	7.000000e+01	1.100165e-02	1.198306e-05	1.198306e-05
7.000000e+01	7.500000e+01	3.149472e-02	2.267139e-05	2.267139e-05
7.500000e+01	8.000000e+01	3.598234e-01	7.911078e-05	7.911078e-05
8.000000e+01	8.500000e+01	6.404480e-01	1.117385e-04	1.117385e-04
8.500000e+01	9.000000e+01	4.260428e-02	2.613590e-05	2.613590e-05
9.000000e+01	9.500000e+01	1.393685e-02	1.842660e-05	1.842660e-05
9.500000e+01	1.000000e+02	6.916806e-03	1.624150e-05	1.624150e-05
1.000000e+02	1.050000e+02	4.177362e-03	9.721512e-06	9.721512e-06
1.050000e+02	1.100000e+02	2.778956e-03	9.366961e-06	9.366961e-06
1.100000e+02	1.150000e+02	2.001278e-03	1.267102e-05	1.267102e-05
1.150000e+02	1.200000e+02	1.512217e-03	1.949790e-05	1.949790e-05
1.200000e+02	1.300000e+02	1.044098e-03	9.174160e-06	9.174160e-06
1.300000e+02	1.400000e+02	6.589116e-04	7.159639e-06	7.159639e-06
1.400000e+02	1.500000e+02	4.223427e-04	5.492844e-06	5.492844e-06
1.500000e+02	1.600000e+02	2.884071e-04	1.362191e-05	1.362191e-05
1.600000e+02	1.700000e+02	1.573740e-04	5.971275e-06	5.971275e-06
1.700000e+02	1.800000e+02	1.189240e-04	4.769597e-06	4.769597e-06
1.800000e+02	1.900000e+02	1.244242e-04	2.390174e-05	2.390174e-05
1.900000e+02	2.000000e+02	9.660090e-05	1.087703e-05	1.087703e-05
2.000000e+02	2.500000e+02	7.143014e-05	5.647634e-07	5.647634e-07
2.500000e+02	3.000000e+02	3.969374e-05	2.108028e-07	2.108028e-07
3.000000e+02	3.500000e+02	2.401614e-05	1.295181e-07	1.295181e-07
3.500000e+02	4.000000e+02	1.522279e-05	9.196254e-08	9.196254e-08
4.000000e+02	4.500000e+02	1.012455e-05	7.457466e-08	7.457466e-08
4.500000e+02	5.000000e+02	6.917966e-06	5.504453e-08	5.504453e-08
5.000000e+02	6.000000e+02	4.302146e-06	3.641099e-08	3.641099e-08
6.000000e+02	7.000000e+02	2.399045e-06	2.631210e-08	2.631210e-08
7.000000e+02	8.000000e+02	1.369359e-06	1.242534e-08	1.242534e-08
8.000000e+02	9.000000e+02	8.708559e-07	1.289781e-08	1.289781e-08
9.000000e+02	1.000000e+03	5.427457e-07	7.825084e-09	7.825084e-09
# END HISTO1D


# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/1bex_M_J1J2
LineColor=black
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/1bex_M_J1J2
Scale=6
ScaledBy=4.98841944660993763e-10
Title=bb4l-sl ($t\bar t + tW$)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	7.735942e-08	2.258605e-08	2.258605e-08
1.500000e+01	2.000000e+01	3.473044e-06	1.685187e-07	1.685187e-07
2.000000e+01	2.500000e+01	1.544309e-05	4.211131e-07	4.211131e-07
