# BEGIN PLOT
LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2  //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2
DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2
Title=pp $\to \ell^{-} \bar \nu_{\ell}b\bar b j j$ at 13 TeV
LegendOrder=
RatioPlot1=1
LogX=1
LogY=1
RatioPlot1YMax=3
RatioPlot1YLabel=1/lvjjbb
RatioPlot1SameStyle=1
XMin=40
YMin=0.0000002
RatioPlot1YSize=5
#RatioPlotYOffset=6.55
RatioPlot1YMin=0.002
RatioPlot1Error=1
RatioPlot1YSize=5
RatioPlot1LogY=1
RatioPlot1ErrorBands=0
RatioPlot1Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot1DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2 
XCustomMajorTicks=100	  100	 200	 200	 300	  300	 1000	 1000
XCustomMinorTicks=40	 40	 50	 50	 60	 60	 70	 70	 80	 80	 110	 110	 120	 120	 130	 130	 140	 140	  150	 150	400	 400		500	 500	 600	 600		700	 700	 800	 800	 900	 900
ErrorBands=0
XMax=1000
YLabel=$\mathrm{d}\sigma / \mathrm{d} m_{j_1j_2}$ [pb/GeV]
XLabel=$m_{j_1j_2}$ [GeV]
Legend=1
RatioPlot2=1
RatioPlot2YMax=1.35
RatioPlot2YLabel=1/lvjjbb
RatioPlot2SameStyle=1
RatioPlot2YSize=5
RatioPlot2YMin=0.55
RatioPlot2Error=1
RatioPlot2ErrorBands=0
RatioPlot2Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+tchant.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2Legend=1
RatioPlot2LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+tchant.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2LegendXPos=0.25
# END PLOT

# BEGIN SPECIAL label
\psclip{\psframe[linewidth=0, linestyle=none](0,0)(1,1)}
\uput{4pt}[180]{0}\physicscoor(180,0.2){$N_B \ge 2$}
\endpsclip
# END SPECIAL



# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/2b_M_J1J2
LineColor=red
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/2b_M_J1J2
ScaledBy=5.87406875376117812e-11
Title=lvqq'bb
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	2.774768e-06	1.527890e-07	1.527890e-07
1.500000e+01	2.000000e+01	8.102810e-05	1.488565e-06	1.488565e-06
2.000000e+01	2.500000e+01	3.230628e-04	2.559559e-06	2.559559e-06
2.500000e+01	3.000000e+01	7.117810e-04	3.185839e-06	3.185839e-06
3.000000e+01	3.500000e+01	1.209243e-03	3.362137e-06	3.362137e-06
3.500000e+01	4.000000e+01	1.847035e-03	4.977509e-06	4.977509e-06
4.000000e+01	4.500000e+01	2.676296e-03	4.247988e-06	4.247988e-06
4.500000e+01	5.000000e+01	3.856138e-03	4.880030e-06	4.880030e-06
5.000000e+01	5.500000e+01	5.714286e-03	6.327224e-06	6.327224e-06
5.500000e+01	6.000000e+01	8.917210e-03	8.417201e-06	8.417201e-06
6.000000e+01	6.500000e+01	1.522557e-02	1.081053e-05	1.081053e-05
6.500000e+01	7.000000e+01	3.051374e-02	1.551044e-05	1.551044e-05
7.000000e+01	7.500000e+01	8.702866e-02	2.896490e-05	2.896490e-05
7.500000e+01	8.000000e+01	9.796256e-01	9.676687e-05	9.676687e-05
8.000000e+01	8.500000e+01	1.723983e+00	1.300394e-04	1.300394e-04
8.500000e+01	9.000000e+01	1.110455e-01	3.225393e-05	3.225393e-05
9.000000e+01	9.500000e+01	3.471060e-02	1.726479e-05	1.726479e-05
9.500000e+01	1.000000e+02	1.641086e-02	1.180735e-05	1.180735e-05
1.000000e+02	1.050000e+02	9.256206e-03	9.011333e-06	9.011333e-06
1.050000e+02	1.100000e+02	5.738042e-03	7.204451e-06	7.204451e-06
1.100000e+02	1.150000e+02	3.751374e-03	7.016731e-06	7.016731e-06
1.150000e+02	1.200000e+02	2.526594e-03	5.244417e-06	5.244417e-06
1.200000e+02	1.300000e+02	1.441341e-03	3.966913e-06	3.966913e-06
1.300000e+02	1.400000e+02	6.516596e-04	2.760630e-06	2.760630e-06
1.400000e+02	1.500000e+02	2.814877e-04	4.386591e-06	4.386591e-06
1.500000e+02	1.600000e+02	1.183724e-04	2.775201e-06	2.775201e-06
1.600000e+02	1.700000e+02	8.432311e-05	4.102771e-06	4.102771e-06
1.700000e+02	1.800000e+02	7.631840e-05	2.789108e-06	2.789108e-06
1.800000e+02	1.900000e+02	6.514132e-05	4.207920e-06	4.207920e-06
1.900000e+02	2.000000e+02	5.609917e-05	3.385810e-06	3.385810e-06
2.000000e+02	2.500000e+02	4.300108e-05	4.289946e-07	4.289946e-07
2.500000e+02	3.000000e+02	2.692782e-05	8.082648e-08	8.082648e-08
3.000000e+02	3.500000e+02	1.870518e-05	9.435711e-08	9.435711e-08
3.500000e+02	4.000000e+02	1.358243e-05	5.717075e-08	5.717075e-08
4.000000e+02	4.500000e+02	1.014800e-05	4.324259e-08	4.324259e-08
4.500000e+02	5.000000e+02	7.820628e-06	4.053568e-08	4.053568e-08
5.000000e+02	6.000000e+02	5.562827e-06	2.402890e-08	2.402890e-08
6.000000e+02	7.000000e+02	3.566648e-06	1.967726e-08	1.967726e-08
7.000000e+02	8.000000e+02	2.424982e-06	2.680918e-08	2.680918e-08
8.000000e+02	9.000000e+02	1.599370e-06	1.081247e-08	1.081247e-08
9.000000e+02	1.000000e+03	1.116226e-06	2.415380e-08	2.415380e-08
# END HISTO1D


# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
LineColor=blue
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
ScaledBy=2.26982383273032615e-09
Title=lvjjbb
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	1.108436e-05	2.229084e-06	2.229084e-06
1.500000e+01	2.000000e+01	2.408050e-04	9.750130e-06	9.750130e-06
