# BEGIN PLOT
RatioPlotError=1
RatioPlotErrorBands=0
LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqpj-wjjj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj+dec.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchantqqpj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqqpj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwzj.yoda/ttsemi_dec/2b_PT_B2
DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOqqpj-wjjj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj+dec.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchantqqpj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOschantqqpj.yoda/ttsemi_dec/2b_PT_B2 //Users/jlindert/Documents/proj/ttsemi/results/LOwzj.yoda/ttsemi_dec/2b_PT_B2
Title=pp $\to \ell^{-} \bar \nu_{\ell}b\bar b j j$ at 13 TeV
RatioPlotReference=//Users/jlindert/Documents/proj/ttsemi/results/LOqqpj-wjjj.yoda/ttsemi_dec/2b_PT_B2
LegendOrder=
RatioPlotSameStyle=1
RatioPlot=1
LogY=1
RatioPlotYMax=2
RatioPlotYLabel=Ratio
ErrorBands=0
YLabel=$\mathrm{d}\sigma / \mathrm{d} p_{{\rm T}}(j_{B,2})$ [pb/GeV]
XLabel=$p_{{\rm T}}(j_{B,1})$ [GeV]
RatioPlotYSize=5
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOqqpj-wjjj.yoda/ttsemi_dec/2b_PT_B2
LineColor=red
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOqqpj-wjjj.yoda/ttsemi_dec/2b_PT_B2
ScaledBy=7.24126898311969737e-10
Title=lvqq'bbj
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	3.473505e-01	1.443537e-03	1.443537e-03
4.000000e+01	6.000000e+01	4.380727e-01	3.280634e-03	3.280634e-03
6.000000e+01	8.000000e+01	2.613742e-01	1.208632e-03	1.208632e-03
8.000000e+01	1.000000e+02	1.430664e-01	9.467267e-04	9.467267e-04
1.000000e+02	1.200000e+02	7.701900e-02	5.841406e-04	5.841406e-04
1.200000e+02	1.400000e+02	4.308627e-02	4.632438e-04	4.632438e-04
1.400000e+02	1.600000e+02	2.367283e-02	3.187492e-04	3.187492e-04
1.600000e+02	1.800000e+02	1.366977e-02	3.007529e-04	3.007529e-04
1.800000e+02	2.000000e+02	7.838890e-03	1.098424e-04	1.098424e-04
2.000000e+02	2.200000e+02	4.843463e-03	1.247640e-04	1.247640e-04
2.200000e+02	2.400000e+02	2.870238e-03	6.072092e-05	6.072092e-05
2.400000e+02	2.600000e+02	1.771729e-03	4.357422e-05	4.357422e-05
2.600000e+02	2.800000e+02	1.174122e-03	3.065909e-05	3.065909e-05
2.800000e+02	3.000000e+02	7.882660e-04	2.692320e-05	2.692320e-05
3.000000e+02	3.200000e+02	5.606080e-04	3.362663e-05	3.362663e-05
3.200000e+02	3.400000e+02	3.525759e-04	1.477649e-05	1.477649e-05
3.400000e+02	3.600000e+02	2.446769e-04	9.046563e-06	9.046563e-06
3.600000e+02	3.800000e+02	1.758370e-04	9.107361e-06	9.107361e-06
3.800000e+02	4.000000e+02	1.167733e-04	4.894357e-06	4.894357e-06
# END HISTO1D


# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj.yoda/ttsemi_dec/2b_PT_B2
LineColor=blue
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOwwbbj.yoda/ttsemi_dec/2b_PT_B2
Scale=1
ScaledBy=1.13805113082097808e-09
Title=bb4lj-sl (w/o $ {V} \to q\bar q'g$)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	3.315744e-01	2.697933e-03	2.697933e-03
4.000000e+01	6.000000e+01	4.300369e-01	9.852311e-03	9.852311e-03
6.000000e+01	8.000000e+01	2.639911e-01	5.661965e-03	5.661965e-03
