# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
1.0 2.392131711032190425e-14 2.392131711032190425e-14 1.222063177909293343e-14 1.563695808559541439e-14 2.338405083721796217e-14 3.110794728972200684e-14 3.768995428376181599e-14
1.4 1.271775502233392260e-14 1.271775502233392260e-14 8.338741994002258908e-15 1.212412194562186213e-14 1.726521408158040277e-14 2.239184939518290420e-14 2.753611037440628988e-14
1.5 1.391329725763230696e-14 1.391329725763230696e-14 8.570986310121060901e-15 1.233091708893159375e-14 1.764829828732789575e-14 2.382251733461250058e-14 2.772505132649376108e-14
1.6 1.396611921007092567e-14 1.396611921007092567e-14 8.533484587969176932e-15 1.203001449547069594e-14 1.785256251554712974e-14 2.414015694234776557e-14 2.897826724411547741e-14
1.7 1.698836008992000220e-14 1.698836008992000220e-14 8.378788615554369705e-15 1.198253894399607456e-14 1.787201137047396936e-14 2.331898910943828928e-14 2.843003111712475899e-14
1.9 2.140831251822384311e-14 2.140831251822384311e-14 9.268392292301336326e-15 1.290726459419505401e-14 1.895962009350357366e-14 2.437579500597196017e-14 2.987161456144592152e-14
2.0 2.429279645085210200e-14 2.429279645085210200e-14 9.707362680642096825e-15 1.423380286032940283e-14 2.039161937091083688e-14 2.722516311476994159e-14 3.164709543319107832e-14
2.2 2.850597122872352622e-14 2.850597122872352622e-14 1.096621576882841308e-14 1.546657105948718183e-14 2.296844988731554928e-14 2.994891841798359286e-14 3.661195824498879635e-14
2.4 3.212369463899577723e-14 3.212369463899577723e-14 1.269689089913102095e-14 1.845865516652218536e-14 2.592125737107988506e-14 3.502970564591643726e-14 3.993449715749525746e-14
2.6 3.830745188503398743e-14 3.830745188503398743e-14 1.558354773853154823e-14 2.200978824826377489e-14 3.235537560105813384e-14 4.151151775076778029e-14 5.079037607750750788e-14
