# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
1.0 3.335240496417381347e-64 3.335240496417381347e-64 2.271754705944184559e-65 6.089699890113818376e-65 3.045550381540935505e-64 9.538327278655891354e-64 2.055366363453355658e-63
1.4 1.023624719738666745e-64 1.023624719738666745e-64 1.891912696505221045e-65 8.454737504378839014e-65 3.476856897634595629e-64 9.836912374350039303e-64 2.249620806599704474e-63
1.5 1.932289056187771671e-64 1.932289056187771671e-64 2.782755464146165895e-65 1.192156714073159741e-64 5.002224517043205961e-64 1.660743055209564783e-63 3.046781246253799267e-63
1.6 2.539625690635653938e-64 2.539625690635653938e-64 3.539748176512385858e-65 1.398077786460422230e-64 6.780613391992747414e-64 2.266872478545056123e-63 4.707132094602921297e-63
1.7 7.085790685546892590e-64 7.085790685546892590e-64 4.192831635877266358e-65 1.753791190982759060e-64 8.679130451298295575e-64 2.515482881267914581e-63 5.557658123820898236e-63
1.9 2.788245114322225762e-63 2.788245114322225762e-63 9.795324672779326434e-65 3.684156396088846839e-64 1.715219594666390477e-63 4.686367707717213265e-63 1.056905099895594359e-62
2.0 5.675665993938621228e-63 5.675665993938621228e-63 1.447144198858212618e-64 6.689452448437047655e-64 2.817822606119791221e-63 8.953415653078415065e-63 1.634715617095821927e-62
2.2 1.575509025383614223e-62 1.575509025383614223e-62 3.450679886158041092e-64 1.365380482366929595e-63 6.640553351333094035e-63 1.919561791172847515e-62 4.287156713528977611e-62
2.4 3.598601236609674567e-62 3.598601236609674567e-62 8.782563942729052136e-64 3.923123642415088461e-63 1.525653907888848901e-62 5.088358722941301861e-62 8.594579839103104974e-62
2.6 1.002335825535196410e-61 1.002335825535196410e-61 2.745020152050781605e-63 1.092304320281470347e-62 5.101125132892740981e-62 1.382148299548362272e-61 3.097461438812226247e-61
2.7 1.249018119586559422e-61 1.249018119586559422e-61 5.047398269687807825e-63 2.196186731300353088e-62 9.886144995161126097e-62 2.820633664556221540e-61 4.676509099191755775e-61
2.8 9.827610209556883761e-62 9.827610209556883761e-62 8.925679345985988395e-63 3.573493384613111571e-62 1.522637091255896234e-61 4.637375103851684579e-61 9.672455409599560483e-61
2.9 8.188910022942508868e-62 8.188910022942508868e-62 9.778604798775043799e-63 4.711796041698191400e-62 2.088202882565334810e-61 6.295384669633405970e-61 1.250604995931689223e-60
3.0 6.413383843354387937e-62 6.413383843354387937e-62 1.352123426117434826e-62 5.848164460830352235e-62 2.337032629775082370e-61 7.632643227563560998e-61 1.286362967014916284e-60
3.2 4.723262306714409128e-62 3.708615169650118391e-62 1.082414359599736924e-62 4.723262306714409128e-62 2.222102496235561047e-61 6.224596845500925012e-61 1.376442255873050055e-60
3.4 4.381574241122209749e-62 2.698822410223579985e-62 1.034380535044119869e-62 4.381574241122209749e-62 1.851163382819284562e-61 6.285619545783892400e-61 1.026884368440480079e-60
3.8 6.970164915279699124e-62 3.618470152368361108e-62 1.724757543365326769e-62 6.970164915279699124e-62 3.154272466758626825e-61 8.607320998130455423e-61 1.938271265841636327e-60
4.0 9.838763494015960623e-62 7.144854145857624153e-62 2.444940889714458645e-62 9.838763494015960623e-62 4.890107803135149768e-61 1.325020683656229784e-60 3.012061070931727143e-60
4.5 1.238745580503815004e-60 1.238745580503815004e-60 5.671835627394301072e-62 2.278670505213682992e-61 1.071247465964777015e-60 2.967171492849417909e-60 6.661156315704419065e-60
5.0 1.287910730013673434e-60 1.287910730013673434e-60 1.609093787519491805e-62 7.147420684994944827e-62 3.007221364335102954e-61 7.948992467347112031e-61 1.786409405704454890e-60
5.5 1.158244849044576742e-60 1.158244849044576742e-60 1.259332443303202396e-62 5.836763248100040344e-62 2.245449031346364076e-61 6.472048601242755793e-61 1.303997609024704068e-60
6.0 1.455202347935339065e-60 1.455202347935339065e-60 2.527455995603630219e-62 9.838785169982527354e-62 4.360330207823747823e-61 1.296895953091988128e-60 2.492336429234670297e-60
