# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
0.5 3.54943e-31 3.54943e-31 1.05247e-31 1.92024e-31 4.03562e-31 7.30190e-31 1.12979e-30
0.6 1.09312e-31 1.09312e-31 3.31954e-32 6.36340e-32 1.33819e-31 2.41812e-31 3.52534e-31
0.7 4.51481e-32 4.51481e-32 1.35618e-32 2.70058e-32 5.75958e-32 1.01852e-31 1.52191e-31
0.8 2.25015e-32 2.25015e-32 7.06285e-33 1.44613e-32 3.14695e-32 5.36916e-32 8.34505e-32
0.9 1.28310e-32 1.28310e-32 4.06861e-33 8.60613e-33 1.88959e-32 3.31059e-32 4.94646e-32
1.0 8.25491e-33 8.25491e-33 2.80141e-33 5.57798e-33 1.17846e-32 2.11233e-32 3.09314e-32
1.5 1.79996e-33 1.79996e-33 5.66046e-34 1.20061e-33 2.64948e-33 4.44211e-33 6.63548e-33
2.0 6.79590e-34 6.79590e-34 2.14941e-34 4.52353e-34 9.63571e-34 1.72371e-33 2.51015e-33
2.5 3.31298e-34 3.31298e-34 1.03692e-34 2.19712e-34 4.70849e-34 8.19713e-34 1.20887e-33
3.0 1.88560e-34 1.88560e-34 6.15307e-35 1.25600e-34 2.59365e-34 4.62971e-34 6.74709e-34
3.5 1.17078e-34 1.17078e-34 3.74324e-35 7.62925e-35 1.68506e-34 2.84770e-34 4.11449e-34
4.0 7.97623e-35 7.97623e-35 2.41890e-35 4.93313e-35 1.09359e-34 1.84550e-34 2.68118e-34
4.5 5.65203e-35 5.65203e-35 1.71960e-35 3.36932e-35 7.48764e-35 1.29160e-34 1.83316e-34
5.0 3.92100e-35 3.92100e-35 1.23333e-35 2.45794e-35 5.48419e-35 9.21086e-35 1.29705e-34
5.5 2.81713e-35 2.81713e-35 8.90671e-36 1.75988e-35 3.85402e-35 6.63325e-35 9.47777e-35
6.0 2.19889e-35 2.19889e-35 6.53555e-36 1.32662e-35 2.91303e-35 4.94733e-35 7.06637e-35
6.5 1.62878e-35 1.62878e-35 5.15128e-36 1.00726e-35 2.30544e-35 3.79861e-35 5.35726e-35
7.0 1.25298e-35 1.25298e-35 3.88537e-36 8.38497e-36 1.81663e-35 2.92687e-35 4.33393e-35
7.5 9.93507e-36 9.93507e-36 3.08964e-36 6.47246e-36 1.39295e-35 2.30014e-35 3.31392e-35
8.0 7.58176e-36 7.58176e-36 2.41993e-36 4.93341e-36 1.12567e-35 1.84635e-35 2.69122e-35
8.5 6.32661e-36 6.32661e-36 1.93226e-36 4.09933e-36 8.88214e-36 1.47993e-35 2.17065e-35
9.0 4.86191e-36 4.86191e-36 1.61070e-36 3.20373e-36 7.04765e-36 1.18455e-35 1.76930e-35
