# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
0.5 1.10756e-32 1.10756e-32 3.22181e-33 5.64207e-33 1.26099e-32 2.23766e-32 3.38156e-32
0.6 3.20434e-33 3.20434e-33 9.95490e-34 1.88025e-33 4.02439e-33 7.38647e-33 1.08437e-32
0.7 1.36728e-33 1.36728e-33 4.37990e-34 8.55699e-34 1.85341e-33 3.21533e-33 4.90110e-33
0.8 6.97769e-34 6.97769e-34 2.24860e-34 4.54695e-34 9.93450e-34 1.73366e-33 2.62737e-33
0.9 3.99929e-34 3.99929e-34 1.28395e-34 2.65673e-34 5.78953e-34 1.01211e-33 1.52981e-33
1.0 2.59511e-34 2.59511e-34 8.06918e-35 1.68156e-34 3.66964e-34 6.50796e-34 9.57560e-34
1.5 5.60969e-35 5.60969e-35 1.80358e-35 3.78133e-35 8.17358e-35 1.41719e-34 2.11580e-34
2.0 2.03921e-35 2.03921e-35 6.53790e-36 1.36696e-35 2.99777e-35 5.40532e-35 7.92026e-35
2.5 1.02637e-35 1.02637e-35 3.40457e-36 6.68696e-36 1.42742e-35 2.57821e-35 3.74323e-35
3.0 6.07418e-36 6.07418e-36 1.90849e-36 3.91686e-36 8.17606e-36 1.44401e-35 2.07392e-35
3.5 3.71351e-36 3.71351e-36 1.11981e-36 2.37897e-36 4.96460e-36 8.79606e-36 1.26764e-35
4.0 2.47781e-36 2.47781e-36 7.68554e-37 1.55797e-36 3.27113e-36 5.75638e-36 8.32313e-36
4.5 1.75338e-36 1.75338e-36 5.24973e-37 1.05985e-36 2.33476e-36 3.97253e-36 5.65578e-36
5.0 1.22507e-36 1.22507e-36 3.71267e-37 7.84622e-37 1.65225e-36 2.83064e-36 4.15019e-36
5.5 9.22067e-37 9.22067e-37 2.65730e-37 5.55450e-37 1.24273e-36 2.08071e-36 3.03230e-36
6.0 6.82111e-37 6.82111e-37 2.01787e-37 4.16222e-37 9.07460e-37 1.55239e-36 2.20229e-36
6.5 5.17094e-37 5.17094e-37 1.61391e-37 3.21448e-37 7.06716e-37 1.19059e-36 1.73478e-36
7.0 3.96385e-37 3.96385e-37 1.22386e-37 2.63832e-37 5.56722e-37 9.23200e-37 1.29221e-36
7.5 3.10952e-37 3.10952e-37 9.30114e-38 1.94330e-37 4.36892e-37 7.33180e-37 1.05058e-36
8.0 2.46586e-37 2.46586e-37 7.69279e-38 1.59201e-37 3.50065e-37 5.83845e-37 8.52854e-37
8.5 1.96288e-37 1.96288e-37 6.06417e-38 1.25427e-37 2.79150e-37 4.68606e-37 6.93555e-37
9.0 1.55612e-37 1.55612e-37 5.09978e-38 1.03723e-37 2.28458e-37 3.80912e-37 5.40038e-37
