# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
0.5 7.65821e-38 7.65821e-38 2.24684e-38 4.18087e-38 8.66964e-38 1.52282e-37 2.40676e-37
0.6 2.22331e-38 2.22331e-38 7.05281e-39 1.34707e-38 2.84118e-38 5.15863e-38 7.73147e-38
0.7 9.92004e-39 9.92004e-39 3.11949e-39 6.05061e-39 1.29532e-38 2.26312e-38 3.50517e-38
0.8 4.91135e-39 4.91135e-39 1.44995e-39 3.13512e-39 6.80792e-39 1.17701e-38 1.82461e-38
0.9 2.77505e-39 2.77505e-39 8.41457e-40 1.85529e-39 3.99882e-39 7.06435e-39 1.07334e-38
1.0 1.76781e-39 1.76781e-39 5.39767e-40 1.18833e-39 2.50845e-39 4.58437e-39 6.79417e-39
1.5 3.81723e-40 3.81723e-40 1.24812e-40 2.65381e-40 5.48593e-40 9.34941e-40 1.42688e-39
2.0 1.49257e-40 1.49257e-40 4.66512e-41 1.00333e-40 2.08748e-40 3.65846e-40 5.45870e-40
2.5 7.12809e-41 7.12809e-41 2.24488e-41 4.79747e-41 1.01216e-40 1.78303e-40 2.57435e-40
3.0 4.01122e-41 4.01122e-41 1.29921e-41 2.63930e-41 5.53402e-41 9.78081e-41 1.42804e-40
3.5 2.52003e-41 2.52003e-41 7.69715e-42 1.65898e-41 3.62206e-41 6.06276e-41 8.73812e-41
4.0 1.72009e-41 1.72009e-41 5.17636e-42 1.07042e-41 2.26073e-41 3.93675e-41 5.66966e-41
4.5 1.15494e-41 1.15494e-41 3.54681e-42 7.19688e-42 1.57230e-41 2.68890e-41 3.83142e-41
5.0 8.32501e-42 8.32501e-42 2.59879e-42 5.10346e-42 1.15491e-41 1.93622e-41 2.74543e-41
5.5 6.06599e-42 6.06599e-42 1.90124e-42 3.83343e-42 8.19408e-42 1.41761e-41 2.01636e-41
6.0 4.65447e-42 4.65447e-42 1.39571e-42 2.88970e-42 6.26454e-42 1.06089e-41 1.52768e-41
6.5 3.40830e-42 3.40830e-42 1.08781e-42 2.21764e-42 4.78041e-42 8.08133e-42 1.17770e-41
7.0 2.69121e-42 2.69121e-42 8.46466e-43 1.70031e-42 3.69717e-42 6.28388e-42 9.60968e-42
7.5 2.13349e-42 2.13349e-42 6.69662e-43 1.36779e-42 2.90120e-42 4.89214e-42 6.99958e-42
8.0 1.64392e-42 1.64392e-42 5.15717e-43 1.12222e-42 2.31233e-42 3.89408e-42 5.59765e-42
8.5 1.32677e-42 1.32677e-42 4.18178e-43 8.66582e-43 1.86805e-42 3.14834e-42 4.49919e-42
9.0 1.06535e-42 1.06535e-42 3.51372e-43 6.97372e-43 1.51225e-42 2.54122e-42 3.66665e-42
