Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3,0.33,2.00,22.19,2.63,2.63,1.97
4,3.42,1.30,9.05,31.63,47.457,2.95
5,15.57,21.70,173.61,246.57,420.4777,24.03
6,237.53,238.20,2674.39,21600,21600,239.34
3,2.76,4.12,15.54,1.24918625,70.593,6.05
4,20.08,20.16,109.28,170.5896928,21600,23.26
5,1684.58,377.99,5359.33,21600,21600,1282.72
3,4.25,13.43,53.97,8.06,63.503,4.96
4,53.02,55.88,298.46,1168.32,4593.177,27.86
5,1769.57,680.12,1670.79,14130.66,21600,21600
6,21600.00,8348.19,21600,21600,21600,21600
3,12.88,33.32,451.30,21.21,24.503,37.24
4,352.04,219.35,1864.81,21601.56,21600,315.99
5,21600.00,8560.95,21601.87,21601.87,21600,21600
