Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 cycle,1.00,6.06,67.24,7.97,7.97,5.97
4 cycle,2.63,1.00,6.96,24.33,36.51,2.27
5 cycle,1.00,1.39,11.15,15.84,27.01,1.54
6 cycle,1.00,1.02,71.26,575.54,575.54,1.05
3 cycle,1.00,1.49,5.63,0.45,25.58,2.19
4 cycle,1.00,1.00,5.44,8.50,1075.70,1.16
5 cycle,4.46,1.00,14.18,57.14,57.14,2.60
3 cycle,1.00,3.16,12.70,1.90,14.94,1.17
4 cycle,1.90,2.01,10.71,41.94,164.87,1.00
5 cycle,2.60,1.00,2.46,20.78,31.76,31.76
6 cycle,2.59,1.00,2.59,2.59,2.59,2.59
3 cycle,1.00,2.59,35.04,1.65,1.90,2.89
4 cycle,1.60,1.00,8.50,114.88,114.88,1.44
5 cycle,2.94,1.00,2.94,2.94,2.94,2.94
