arxiv_id,success,runtime_s,mem_before_rss,mem_after_rss,mem_max_rss,mem_avg_rss,size_before_bytes,size_after_bytes,disk_max_bytes,final_output_size_bytes,references_count
2307.11657,True,16.3,33972224,40251392,40243200,39388377,4097842,453563,2020767,458201,12
2307.11658,True,9.03,40267776,40108032,40886272,40474624,327449,117832,606023,579891,9
2307.11659,True,16.83,40108032,41140224,41472000,40913257,602241,585215,1166620,1166622,0
2307.11660,True,18.89,41136128,40079360,41312256,41120606,18873046,1980734,12072402,3149766,0
2307.11661,True,13.37,40079360,40910848,41070592,40695125,8547952,1496879,7802332,4665647,39
2307.11662,True,14.09,40984576,41123840,41136128,41088292,1606260,354606,5867158,5023211,4
2307.11663,True,12.64,41119744,41414656,41431040,41322577,5249282,2696284,7721384,7721386,0
2307.11664,True,9.97,41410560,41570304,41558016,41464422,2996216,75656,10385428,7806030,21
2307.11665,True,14.1,41566208,42082304,41943040,41499501,1358095,441670,8540062,8335130,118
2307.11666,True,15.98,42082304,42287104,42377216,42248576,88850434,362653,63398796,8702468,7
2307.11667,True,14.29,42283008,41836544,42352640,42226395,57915071,465014,37577565,9181141,19
2307.11668,True,9.4,41832448,41893888,42409984,42056650,524545,74015,9518740,9256534,0
2307.11669,True,9.95,41893888,41529344,42254336,41938124,3330165,108800,12499489,9376204,32
2307.11670,True,9.16,41545728,42532864,42532864,42017905,124845,126166,9504166,9506327,7
2307.11671,True,10.8,42528768,42291200,42995712,42664521,28846210,606716,36986585,10121626,15
2307.11672,True,18.83,42287104,42213376,42496000,42306919,3243004,523115,11908607,10666353,55
2307.11673,True,30.81,42209280,42397696,42627072,42552094,25017857,634171,25441621,11313643,35
2307.11674,True,11.74,42397696,41553920,42651648,42285501,3149806,108560,11433298,11426522,10
2307.11675,True,60.78,41553920,41787392,42991616,42493810,52187626,1492552,22041936,12925212,11
2307.11676,True,10.05,41783296,42471424,42471424,42169958,25276,25276,12951546,12951546,1
2307.11677,True,10.73,42467328,42692608,42692608,42524281,53467,54296,13007901,13009614,6
2307.11678,True,15.78,42688512,42827776,43569152,42935910,1835,1835,13011538,13011540,0
2307.11679,True,15.3,42823680,41246720,42827776,42163376,609175,584721,13597704,13600811,10
2307.11680,True,17.14,41246720,41562112,42713088,41757230,498835,484601,14086785,14095526,30
